Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
HANA,2026-09-15,51.25,5.67,72820567,68.0,46.92,41.47,HOLD,2026-09-14,2
IVL,2026-09-15,30.0,5.26,52970819,81.0,25.0,23.82,HOLD,2026-09-10,4
BJC,2026-09-15,16.9,3.68,15086437,59.5,16.29,15.83,HOLD,2026-09-07,7
CRC,2026-09-15,29.5,3.51,13203833,61.5,28.46,26.27,HOLD,2026-09-02,10
SPRC,2026-09-15,13.9,2.96,16245763,68.8,13.02,11.29,HOLD,2026-06-29,57
CK,2026-09-15,17.8,2.89,7530554,44.9,18.32,18.45,HOLD,2026-09-01,11
SAWAD,2026-09-15,22.8,2.7,8498427,43.5,23.2,24.13,HOLD,2026-09-01,11
TTB,2026-09-15,3.1,2.65,736110170,65.1,2.94,2.94,HOLD,2026-09-15,1
BH,2026-09-15,199.5,2.31,3613106,58.3,196.7,190.7,HOLD,2026-08-03,32
ERW,2026-09-15,3.86,2.12,16367123,62.0,3.75,3.51,HOLD,2026-09-11,3
KTC,2026-09-15,37.0,2.07,12985530,47.2,37.19,37.91,HOLD,2026-09-08,6
PTTGC,2026-09-15,50.25,2.03,19523712,76.0,44.94,40.38,HOLD,2026-08-19,20
AWC,2026-09-15,3.06,2.0,52311328,54.9,3.03,2.93,HOLD,2026-07-28,36
CHG,2026-09-15,1.57,1.95,26464605,52.1,1.55,1.57,HOLD,2026-09-10,4
RCL,2026-09-15,43.0,1.78,4090917,58.9,43.27,38.41,HOLD,2026-08-11,26
TIDLOR,2026-09-15,18.1,1.69,18707923,37.3,19.02,19.17,HOLD,2026-09-11,3
SJWD,2026-09-15,9.4,1.62,1092513,47.6,9.54,9.49,HOLD,2026-07-02,54
BDMS,2026-09-15,20.2,1.51,52199944,56.3,19.91,19.64,HOLD,2026-09-04,8
SNNP,2026-09-15,6.75,1.5,187767,46.7,6.75,6.92,HOLD,2026-09-15,1
ICHI,2026-09-15,13.8,1.47,2801577,40.9,14.08,14.48,HOLD,2026-09-04,8
IRPC,2026-09-15,2.96,1.37,73681435,63.8,2.74,2.41,HOLD,2026-09-01,11
RATCH,2026-09-15,38.0,1.33,5006124,53.0,37.5,37.85,HOLD,2026-09-15,1
KKP,2026-09-15,116.5,1.3,8671131,55.0,115.7,112.87,HOLD,2026-08-27,14
PTT,2026-09-15,42.5,1.19,110955326,71.1,41.27,39.78,HOLD,2026-08-17,22
TASCO,2026-09-15,17.5,1.16,4509050,62.8,17.21,15.64,HOLD,2026-07-17,43
CENTEL,2026-09-15,44.0,1.15,1323054,64.2,42.8,40.26,HOLD,2026-09-10,4
KCE,2026-09-15,66.5,1.14,32949443,75.8,57.99,49.39,HOLD,2026-08-06,29
SKY,2026-09-15,17.7,1.14,449937,51.4,17.69,17.63,HOLD,2026-07-13,47
CCET,2026-09-15,9.1,1.11,42308748,50.5,9.17,8.85,HOLD,2026-09-03,9
LH,2026-09-15,3.66,1.1,25765595,46.8,3.65,3.72,HOLD,2026-09-15,1
GUNKUL,2026-09-15,5.05,1.0,44963963,50.1,5.07,5.07,HOLD,2026-09-11,3
STGT,2026-09-15,10.8,0.93,660321,48.6,10.92,10.75,HOLD,2026-09-11,3
TCAP,2026-09-15,83.0,0.91,2180196,49.9,84.54,80.92,HOLD,2026-06-18,64
COCOCO,2026-09-15,5.65,0.89,552781,41.6,5.81,5.89,HOLD,2026-09-10,4
COM7,2026-09-15,28.75,0.88,9998670,44.8,29.3,29.64,HOLD,2026-09-10,4
ROJNA,2026-09-15,5.75,0.88,1014846,43.1,5.83,5.97,HOLD,2026-09-08,6
WHA,2026-09-15,4.7,0.86,79945167,41.2,4.8,4.97,HOLD,2026-09-15,1
MTC,2026-09-15,29.5,0.85,11674713,28.9,30.9,32.6,HOLD,2026-09-03,9
CKP,2026-09-15,2.4,0.84,1191584,41.7,2.47,2.52,HOLD,2026-09-02,10
HMPRO,2026-09-15,6.15,0.82,27168649,35.8,6.39,6.52,HOLD,2026-09-04,8
AOT,2026-09-15,61.5,0.82,17303384,39.9,63.74,63.71,HOLD,2026-08-18,21
GLOBAL,2026-09-15,6.5,0.78,4519394,32.4,6.87,7.2,HOLD,2026-09-04,8
AMATA,2026-09-15,32.5,0.78,3586649,56.9,31.94,29.81,HOLD,2026-09-04,8
AEONTS,2026-09-15,96.75,0.78,332453,35.4,99.66,103.19,HOLD,2026-08-28,13
BEM,2026-09-15,6.7,0.75,26228827,45.5,6.89,6.77,HOLD,2026-06-19,63
BCPG,2026-09-15,7.2,0.7,2620151,48.9,7.23,7.23,BUY,2026-09-15,1
SIRI,2026-09-15,1.46,0.69,16475932,42.9,1.48,1.49,HOLD,2026-09-09,5
MOSHI,2026-09-15,36.25,0.69,355795,33.8,38.59,39.48,HOLD,2026-09-07,7
SPALI,2026-09-15,16.0,0.63,2873323,47.0,16.19,16.06,HOLD,2026-08-14,23
AP,2026-09-15,8.1,0.62,5028419,49.5,8.13,8.08,HOLD,2026-07-14,46
KTB,2026-09-15,44.5,0.56,56525400,59.3,43.76,43.27,BUY,2026-09-15,1
BA,2026-09-15,18.2,0.55,5055745,39.5,18.93,18.84,HOLD,2026-08-04,31
BGRIM,2026-09-15,18.7,0.54,19771103,45.1,19.59,19.14,HOLD,2026-09-10,4
STA,2026-09-15,21.0,0.48,12436222,50.2,21.57,19.74,HOLD,2026-08-20,19
MINT,2026-09-15,21.7,0.46,13328762,35.0,22.21,22.83,HOLD,2026-09-14,2
GULF,2026-09-15,61.0,0.41,27179858,35.9,62.6,64.26,HOLD,2026-09-04,8
KBANK,2026-09-15,252.0,0.4,14182992,59.4,249.5,244.28,HOLD,2026-06-17,65
EGCO,2026-09-15,126.0,0.4,604343,38.2,131.03,131.13,SELL,2026-09-15,1
