Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
VGI,2026-08-18,1.14,11.76,715277033,72.9,1.0,0.97,HOLD,2026-07-10,28
SPRC,2026-08-18,12.0,9.09,38781113,75.4,10.87,9.02,HOLD,2026-06-29,37
BJC,2026-08-18,16.7,5.7,32306181,64.8,15.89,15.08,HOLD,2026-07-27,17
BGRIM,2026-08-18,19.0,4.4,51068700,59.1,18.6,18.0,HOLD,2026-06-15,47
AMATA,2026-08-18,32.25,4.03,11120913,70.8,28.74,27.73,HOLD,2026-08-17,2
RCL,2026-08-18,43.0,3.61,11116051,84.0,36.41,33.9,HOLD,2026-08-11,6
SKY,2026-08-18,18.8,3.3,4472282,62.1,18.17,16.5,HOLD,2026-07-13,27
PLANB,2026-08-18,6.65,3.1,42903805,73.3,5.97,5.23,HOLD,2026-07-06,32
PTT,2026-08-18,40.5,2.53,158194583,70.3,39.06,37.53,HOLD,2026-08-17,2
PRM,2026-08-18,10.2,2.51,2100554,63.4,10.01,9.34,HOLD,2026-07-07,31
CKP,2026-08-18,2.52,2.44,7483055,49.7,2.53,2.5,HOLD,2026-06-18,44
BCP,2026-08-18,48.75,2.09,18337800,71.4,46.01,39.75,HOLD,2026-07-15,25
PTTGC,2026-08-18,39.25,1.95,38923570,61.3,38.24,35.65,BUY,2026-08-18,1
KCE,2026-08-18,53.75,1.9,38701684,74.6,44.35,41.57,HOLD,2026-08-06,9
TASCO,2026-08-18,16.7,1.83,19111524,71.7,14.88,14.25,HOLD,2026-07-17,23
BH,2026-08-18,194.5,1.83,7149725,62.0,187.68,186.37,HOLD,2026-08-03,12
M,2026-08-18,22.6,1.8,9117283,67.7,21.42,21.4,HOLD,2026-08-18,1
IRPC,2026-08-18,2.48,1.64,99047653,69.5,2.29,2.02,HOLD,2026-07-22,20
GPSC,2026-08-18,50.25,1.52,8158727,50.6,51.64,48.23,HOLD,2026-05-11,72
