Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BANPU,2026-09-08,15.3,4.79,12458490,84.6,12.89,11.97,HOLD,2026-07-24,14
SKY,2026-09-08,17.6,4.76,1466405,50.4,17.77,17.36,HOLD,2026-07-13,42
IRPC,2026-09-08,3.14,4.67,373897754,81.8,2.6,2.29,HOLD,2026-09-01,6
TOP,2026-09-08,66.75,4.3,41833917,61.2,63.81,61.16,HOLD,2026-07-09,44
AWC,2026-09-08,3.14,3.97,99448174,63.9,3.01,2.89,HOLD,2026-07-28,31
IVL,2026-09-08,26.25,3.96,41397909,76.2,23.15,23.2,SELL,2026-09-01,6
ERW,2026-09-08,3.92,3.7,51219503,70.9,3.72,3.44,HOLD,2026-07-22,35
CENTEL,2026-09-08,44.25,3.51,2968331,68.5,42.36,39.53,HOLD,2026-08-12,20
PTTGC,2026-09-08,47.0,2.73,29242383,78.3,42.17,38.78,HOLD,2026-08-19,15
EGCO,2026-09-08,132.5,2.71,1906818,53.3,131.55,130.45,HOLD,2026-08-31,7
BH,2026-09-08,198.5,2.58,5553801,58.3,195.45,190.1,HOLD,2026-08-03,27
SPRC,2026-09-08,13.4,2.29,38930579,69.1,12.47,10.71,HOLD,2026-06-29,52
CPF,2026-09-08,23.8,2.15,17810186,63.0,23.15,22.36,HOLD,2026-07-02,49
PTTEP,2026-09-08,153.0,2.0,20419169,62.4,148.97,146.26,BUY,2026-09-08,1
SCC,2026-09-08,266.0,1.92,7304549,61.3,255.5,253.62,HOLD,2026-09-07,2
PTT,2026-09-08,42.25,1.81,77681813,71.1,40.66,39.21,HOLD,2026-08-17,17
CRC,2026-09-08,28.5,1.79,5216591,58.7,27.99,25.72,HOLD,2026-09-02,5
STA,2026-09-08,22.9,1.78,21555739,72.0,20.75,19.29,HOLD,2026-08-20,14
BGRIM,2026-09-08,19.9,1.53,22342668,57.0,19.25,18.95,HOLD,2026-08-21,13
PRM,2026-09-08,10.1,1.51,5554981,59.8,9.86,9.67,BUY,2026-09-08,1
BTG,2026-09-08,20.9,1.46,4629935,51.6,20.75,21.01,HOLD,2026-09-02,5
KTB,2026-09-08,43.75,1.16,47711072,53.8,43.76,42.8,HOLD,2026-06-17,60
BTS,2026-09-08,2.06,0.98,5851918,47.7,2.07,2.09,HOLD,2026-09-02,5
JMT,2026-09-08,10.7,0.94,3607620,38.4,11.18,11.7,HOLD,2026-08-27,9
COCOCO,2026-09-08,5.75,0.88,405096,44.6,5.9,5.9,HOLD,2026-08-06,24
ROJNA,2026-09-08,5.8,0.87,1548418,44.3,5.93,5.96,HOLD,2026-09-08,1
PLANB,2026-09-08,6.2,0.81,10943222,51.7,6.29,5.87,HOLD,2026-07-06,47
AOT,2026-09-08,63.0,0.8,16559362,45.4,64.51,63.97,HOLD,2026-08-18,16
QH,2026-09-08,1.41,0.71,17276311,46.1,1.43,1.41,HOLD,2026-08-03,27
MOSHI,2026-09-08,39.0,0.65,57431,47.8,39.39,39.62,HOLD,2026-09-07,2
CK,2026-09-08,18.0,0.56,5530244,44.9,18.52,18.62,HOLD,2026-09-01,6
CPALL,2026-09-08,46.25,0.54,28858972,45.5,46.59,47.12,HOLD,2026-09-04,3
BA,2026-09-08,19.4,0.52,8412940,56.2,19.18,18.89,HOLD,2026-08-04,26
MINT,2026-09-08,22.3,0.45,24475491,43.7,22.48,23.1,HOLD,2026-08-12,20
