Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
CBG,2026-09-17,55.25,7.8,12193853,57.5,54.35,53.1,HOLD,2026-06-24,62
ITC,2026-09-17,17.7,7.27,23488399,61.0,17.24,17.11,HOLD,2026-08-25,18
TU,2026-09-17,13.1,5.65,56093410,56.3,12.87,12.69,HOLD,2026-07-01,57
STA,2026-09-17,21.5,5.39,17929612,54.3,21.64,19.86,HOLD,2026-08-20,21
PR9,2026-09-17,19.9,4.19,6720434,65.7,19.09,18.44,BUY,2026-09-17,1
AMATA,2026-09-17,33.0,3.94,5350854,58.4,32.09,30.06,HOLD,2026-09-04,10
BA,2026-09-17,18.9,3.85,12734930,51.9,18.87,18.88,SELL,2026-09-17,1
BEM,2026-09-17,6.8,3.82,47664681,50.6,6.84,6.8,HOLD,2026-06-19,65
BJC,2026-09-17,18.0,3.45,23598834,69.2,16.41,15.96,HOLD,2026-09-07,9
COM7,2026-09-17,30.5,3.39,29859844,58.7,29.3,29.72,HOLD,2026-09-10,6
DELTA,2026-09-17,240.0,3.0,37469362,38.9,253.3,271.82,HOLD,2026-09-17,1
SPRC,2026-09-17,13.8,2.99,24182480,64.1,13.18,11.51,HOLD,2026-06-29,59
DOHOME,2026-09-17,3.5,2.94,7210157,41.5,3.55,3.76,HOLD,2026-09-17,1
BGRIM,2026-09-17,18.8,2.73,19734988,46.8,19.56,19.12,HOLD,2026-09-10,6
CPF,2026-09-17,22.8,2.7,19922108,47.4,23.42,22.64,HOLD,2026-07-02,56
KKP,2026-09-17,118.0,2.61,9153476,57.4,116.1,113.42,HOLD,2026-08-27,16
ADVANC,2026-09-17,349.0,2.35,5906580,42.8,353.0,365.62,HOLD,2026-09-17,1
BAM,2026-09-17,6.7,2.29,9322314,59.7,6.45,6.67,HOLD,2026-08-25,18
SJWD,2026-09-17,9.7,2.11,3914616,55.2,9.49,9.54,HOLD,2026-09-17,1
AOT,2026-09-17,61.75,2.07,14648166,43.8,63.2,63.65,HOLD,2026-09-17,1
PTTGC,2026-09-17,49.25,2.07,17701590,67.3,45.88,40.96,HOLD,2026-08-19,22
VGI,2026-09-17,0.99,2.06,44146817,47.0,1.01,1.01,HOLD,2026-09-17,1
JMT,2026-09-17,10.5,1.94,3681674,38.0,10.81,11.55,HOLD,2026-08-27,16
CHG,2026-09-17,1.59,1.92,60668569,55.1,1.55,1.57,HOLD,2026-09-10,6
COCOCO,2026-09-17,5.65,1.8,514043,43.5,5.76,5.89,HOLD,2026-09-10,6
TASCO,2026-09-17,17.1,1.79,4988328,54.7,17.22,15.76,HOLD,2026-07-17,45
BCH,2026-09-17,11.5,1.77,13884121,61.4,11.1,10.84,BUY,2026-09-17,1
WHA,2026-09-17,4.72,1.72,97354233,44.3,4.78,4.95,HOLD,2026-09-15,3
CRC,2026-09-17,29.75,1.71,9718043,62.2,28.64,26.55,HOLD,2026-09-02,12
GUNKUL,2026-09-17,4.96,1.64,52716048,46.8,5.05,5.07,HOLD,2026-09-17,1
HMPRO,2026-09-17,6.25,1.63,10203786,43.0,6.35,6.51,HOLD,2026-09-04,10
TRUE,2026-09-17,12.7,1.6,86002314,38.7,12.99,13.43,HOLD,2026-09-17,1
JMART,2026-09-17,9.75,1.56,5468636,35.1,10.47,10.94,HOLD,2026-09-08,8
SAPPE,2026-09-17,33.0,1.54,243713,43.0,34.09,33.98,HOLD,2026-08-27,16
ICHI,2026-09-17,13.8,1.47,1358765,43.0,13.98,14.46,HOLD,2026-09-04,10
BTG,2026-09-17,20.7,1.47,2162025,47.8,20.84,20.96,HOLD,2026-09-17,1
BANPU,2026-09-17,14.8,1.37,4205384,82.1,12.86,11.96,HOLD,2026-07-24,14
SAWAD,2026-09-17,22.8,1.33,8508479,44.7,23.09,24.09,HOLD,2026-09-01,13
OSP,2026-09-17,16.2,1.25,7488512,39.8,16.56,17.14,HOLD,2026-09-01,13
GULF,2026-09-17,61.0,1.24,23514318,38.9,62.25,64.19,HOLD,2026-09-04,10
KBANK,2026-09-17,253.0,1.2,6436990,59.8,249.55,245.18,HOLD,2026-06-17,67
TISCO,2026-09-17,127.0,1.2,1590298,55.8,125.92,127.25,HOLD,2026-09-09,7
CPN,2026-09-17,63.75,1.19,7509907,40.8,64.86,66.26,HOLD,2026-09-02,12
TOP,2026-09-17,64.0,1.19,12794098,49.4,64.39,63.34,HOLD,2026-09-10,6
RCL,2026-09-17,43.0,1.18,1979907,58.2,43.1,38.83,HOLD,2026-08-11,28
EGCO,2026-09-17,128.5,1.18,1196411,45.6,130.88,131.36,HOLD,2026-09-16,2
SKY,2026-09-17,17.3,1.17,459800,47.0,17.55,17.72,HOLD,2026-09-17,1
CENTEL,2026-09-17,43.25,1.17,6152919,56.7,42.91,40.55,HOLD,2026-09-10,6
KTB,2026-09-17,45.0,1.12,58759421,63.4,43.86,43.47,HOLD,2026-09-16,2
BTS,2026-09-17,2.02,1.0,12337349,42.0,2.04,2.08,HOLD,2026-09-02,12
BDMS,2026-09-17,20.2,1.0,34493358,55.7,19.97,19.67,HOLD,2026-09-04,10
M,2026-09-17,21.1,0.96,328308,45.9,21.25,21.43,HOLD,2026-09-15,3
STGT,2026-09-17,10.7,0.94,1713947,46.7,10.86,10.76,HOLD,2026-09-11,5
TCAP,2026-09-17,83.0,0.91,3066132,50.1,84.0,81.36,HOLD,2026-06-18,66
ROJNA,2026-09-17,5.7,0.88,932552,41.7,5.8,5.98,HOLD,2026-09-08,8
MTC,2026-09-17,29.75,0.85,6860734,33.5,30.6,32.51,HOLD,2026-09-03,11
CKP,2026-09-17,2.38,0.85,1938146,40.8,2.45,2.52,HOLD,2026-09-02,12
IVL,2026-09-17,29.5,0.85,16925400,74.5,25.77,24.09,HOLD,2026-09-10,6
SCGP,2026-09-17,30.75,0.82,13048322,57.4,29.7,29.96,HOLD,2026-09-09,7
OR,2026-09-17,12.4,0.81,5621496,45.5,12.53,12.62,HOLD,2026-09-11,5
MOSHI,2026-09-17,36.0,0.7,436329,33.9,38.09,39.38,HOLD,2026-09-07,9
EA,2026-09-17,2.88,0.7,48174998,46.1,2.9,2.95,HOLD,2026-09-01,13
SIRI,2026-09-17,1.46,0.69,9154474,44.2,1.47,1.49,HOLD,2026-09-09,7
KTC,2026-09-17,37.0,0.68,2736917,47.7,37.12,37.91,HOLD,2026-09-08,8
AP,2026-09-17,8.05,0.63,6242962,47.0,8.12,8.1,HOLD,2026-07-14,48
PTT,2026-09-17,42.25,0.6,61115002,65.0,41.42,39.99,HOLD,2026-08-17,24
CPALL,2026-09-17,45.25,0.56,11928962,38.0,45.98,46.8,HOLD,2026-09-04,10
TIDLOR,2026-09-17,18.0,0.56,8983124,37.1,18.86,19.13,HOLD,2026-09-11,5
SISB,2026-09-17,9.15,0.55,428210,42.4,9.2,9.58,HOLD,2026-09-01,13
BBL,2026-09-17,193.0,0.52,11042352,55.0,191.55,192.75,HOLD,2026-09-10,6
GPSC,2026-09-17,48.25,0.52,8319606,39.4,50.73,51.17,HOLD,2026-09-10,6
MINT,2026-09-17,21.4,0.47,24249324,32.5,22.08,22.75,HOLD,2026-09-14,4
SCC,2026-09-17,259.0,0.39,4802211,49.9,259.35,256.74,HOLD,2026-09-07,9
SCB,2026-09-17,151.0,0.33,7367766,49.8,151.07,152.77,HOLD,2026-09-01,13
IRPC,2026-09-17,2.74,0.0,105999507,51.9,2.78,2.44,HOLD,2026-09-01,13
CK,2026-09-17,17.8,0.0,2657627,44.9,18.14,18.39,HOLD,2026-09-01,13
AEONTS,2026-09-17,97.25,0.0,533486,38.3,99.19,102.92,HOLD,2026-08-28,15
TLI,2026-09-17,11.5,0.0,12810624,54.5,11.29,11.51,HOLD,2026-08-26,17
QH,2026-09-17,1.4,0.0,7601368,42.0,1.41,1.42,HOLD,2026-09-15,3
CCET,2026-09-17,8.95,0.0,31049637,47.3,9.18,8.87,HOLD,2026-09-03,11
BLA,2026-09-17,24.5,0.0,2059699,50.0,24.31,25.17,HOLD,2026-08-31,14
BCPG,2026-09-17,6.95,0.0,4281230,39.5,7.21,7.22,HOLD,2026-09-17,1
AWC,2026-09-17,3.02,0.0,45405955,51.3,3.03,2.95,HOLD,2026-07-28,38
ERW,2026-09-17,3.68,0.0,32411887,49.1,3.74,3.54,HOLD,2026-09-11,5
TTB,2026-09-17,3.08,0.0,555632917,62.6,2.97,2.95,HOLD,2026-09-15,3
SNNP,2026-09-17,6.65,0.0,257014,39.7,6.72,6.91,HOLD,2026-09-15,3
JAS,2026-09-17,0.81,0.0,32275754,18.4,0.9,1.01,HOLD,2026-07-15,47
RATCH,2026-09-17,38.0,0.0,2570224,53.0,37.66,37.97,HOLD,2026-09-15,3
KCE,2026-09-17,65.0,0.0,16763159,70.6,58.95,50.44,HOLD,2026-08-06,31
GLOBAL,2026-09-17,6.4,0.0,11108845,29.8,6.78,7.18,HOLD,2026-09-04,10
PRM,2026-09-17,9.7,0.0,3578095,45.6,9.79,9.79,SELL,2026-09-17,1
BH,2026-09-17,198.0,-0.5,2741698,55.4,196.85,191.25,HOLD,2026-09-17,1
LH,2026-09-17,3.64,-0.55,7089942,42.8,3.65,3.72,HOLD,2026-09-15,3
MEGA,2026-09-17,35.75,-0.69,844640,44.1,35.95,37.14,HOLD,2026-09-02,12
BCP,2026-09-17,54.5,-0.91,16738785,52.6,55.88,49.17,HOLD,2026-07-15,47
SPALI,2026-09-17,16.1,-1.23,3346484,49.6,16.15,16.08,HOLD,2026-08-14,25
PLANB,2026-09-17,6.1,-1.61,13800464,49.1,6.27,6.05,HOLD,2026-07-06,54
PTTEP,2026-09-17,151.0,-1.63,22825069,51.0,150.7,148.97,HOLD,2026-09-09,7
HANA,2026-09-17,48.5,-3.0,42405866,58.0,47.09,42.02,HOLD,2026-09-14,4
AAV,2026-09-17,0.82,-14.58,545239957,8.6,1.0,1.04,HOLD,2026-08-20,21
