Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
STA,2026-08-31,22.9,7.01,40260853,75.7,19.46,18.62,HOLD,2026-08-20,8
KCE,2026-08-31,60.5,6.14,45496105,79.8,50.88,44.94,HOLD,2026-08-06,18
TASCO,2026-08-31,17.8,5.95,43207518,74.0,16.19,14.82,HOLD,2026-07-17,32
CCET,2026-08-31,9.5,5.56,164022459,65.3,8.69,8.74,HOLD,2026-07-28,25
IRPC,2026-08-31,2.68,5.51,237676936,68.7,2.42,2.16,BUY,2026-08-31,1
SPRC,2026-08-31,13.2,4.76,44737995,71.2,11.77,10.01,HOLD,2026-06-29,46
STGT,2026-08-31,11.1,4.72,5744469,57.7,10.84,10.6,HOLD,2026-08-12,14
CRC,2026-08-31,29.0,4.5,24317495,63.4,27.29,25.1,HOLD,2026-07-30,23
COM7,2026-08-31,29.75,4.39,18607371,52.1,29.71,29.39,HOLD,2026-07-28,25
CPN,2026-08-31,67.25,2.67,33797714,54.8,66.56,66.91,HOLD,2026-08-28,2
TOP,2026-08-31,64.0,2.4,35982677,55.1,63.98,58.95,HOLD,2026-07-09,38
TTB,2026-08-31,2.98,2.05,1459489656,56.2,2.98,2.83,HOLD,2026-06-15,56
BCP,2026-08-31,55.75,1.83,32244845,75.0,49.19,43.11,HOLD,2026-07-15,34
CENTEL,2026-08-31,43.25,1.76,2108844,67.9,41.35,38.84,HOLD,2026-08-12,14
COCOCO,2026-08-31,5.95,1.71,247975,50.6,6.0,5.89,HOLD,2026-08-06,18
SKY,2026-08-31,18.0,1.69,787545,51.8,18.14,17.04,HOLD,2026-07-13,36
BCPG,2026-08-31,7.4,1.37,18091539,60.5,7.13,7.18,HOLD,2026-08-24,6
RATCH,2026-08-31,38.5,1.32,14430244,58.8,37.89,36.59,HOLD,2026-06-30,45
DELTA,2026-08-31,249.0,1.22,19121604,35.7,262.2,287.7,HOLD,2026-08-26,4
PTTGC,2026-08-31,44.5,1.14,37828928,72.5,39.84,37.26,HOLD,2026-08-19,9
HANA,2026-08-31,47.25,1.07,39326098,65.5,42.45,39.37,HOLD,2026-08-18,10
PR9,2026-08-31,19.0,1.06,5019393,66.3,18.34,17.99,HOLD,2026-08-21,7
TLI,2026-08-31,11.2,0.9,17035117,42.2,11.46,11.58,HOLD,2026-08-26,4
ADVANC,2026-08-31,355.0,0.85,8561703,36.0,365.75,369.36,HOLD,2026-08-27,3
SCGP,2026-08-31,30.25,0.83,9853815,55.5,30.19,29.53,HOLD,2026-07-21,30
IVL,2026-08-31,24.4,0.83,59894866,68.5,22.14,22.72,HOLD,2026-08-20,8
TISCO,2026-08-31,128.0,0.79,3444285,57.1,127.47,125.63,HOLD,2026-06-08,61
AMATA,2026-08-31,32.75,0.77,8621730,64.2,30.25,28.55,HOLD,2026-08-28,2
TRUE,2026-08-31,13.1,0.77,236058057,41.2,13.35,13.45,HOLD,2026-08-28,2
MOSHI,2026-08-31,38.5,0.65,200672,39.6,40.44,39.5,HOLD,2026-07-28,25
PTT,2026-08-31,40.75,0.62,108957050,66.0,39.79,38.42,HOLD,2026-08-17,11
AP,2026-08-31,8.2,0.61,13821378,53.6,8.23,7.94,HOLD,2026-07-14,35
KTB,2026-08-31,43.25,0.58,71335956,49.4,44.11,41.98,HOLD,2026-06-17,54
ERW,2026-08-31,3.74,0.54,13420056,65.5,3.69,3.36,HOLD,2026-07-22,29
BBL,2026-08-31,191.0,0.53,10445633,50.4,191.28,190.83,HOLD,2026-06-19,52
BDMS,2026-08-31,19.6,0.51,88859223,51.7,19.67,19.43,HOLD,2026-08-25,5
KBANK,2026-08-31,248.0,0.4,22955353,53.4,249.95,238.16,HOLD,2026-06-17,54
AOT,2026-08-31,63.5,0.4,36188571,44.0,64.69,63.85,HOLD,2026-08-18,10
SCB,2026-08-31,151.0,0.0,23520107,45.1,152.25,152.34,SELL,2026-08-31,1
TCAP,2026-08-31,85.75,0.0,5554201,57.5,87.1,77.52,HOLD,2026-06-18,53
SJWD,2026-08-31,9.55,0.0,2558657,46.7,9.94,9.23,HOLD,2026-07-02,43
VGI,2026-08-31,1.01,0.0,45436945,47.4,1.03,1.0,HOLD,2026-07-10,37
SNNP,2026-08-31,6.75,0.0,225613,37.4,6.91,6.94,HOLD,2026-08-31,1
QH,2026-08-31,1.42,0.0,14601356,45.8,1.44,1.41,HOLD,2026-08-03,21
SCC,2026-08-31,261.0,0.0,7734688,59.1,255.85,251.64,HOLD,2026-08-31,1
LH,2026-08-31,3.66,0.0,21209358,39.7,3.72,3.75,HOLD,2026-08-26,4
PLANB,2026-08-31,6.55,0.0,17838963,61.5,6.23,5.67,HOLD,2026-07-06,41
MINT,2026-08-31,22.2,0.0,32033260,37.8,22.84,23.4,HOLD,2026-08-12,14
HMPRO,2026-08-31,6.45,0.0,38056858,43.6,6.6,6.55,HOLD,2026-08-05,19
JAS,2026-08-31,0.9,0.0,15548325,14.6,1.01,1.07,HOLD,2026-07-15,34
GULF,2026-08-31,63.25,0.0,45987194,41.5,64.81,64.27,HOLD,2026-08-03,21
PTTEP,2026-08-31,148.5,0.0,25956912,53.0,148.6,143.99,HOLD,2026-07-28,25
AAV,2026-08-31,1.03,0.0,4879660,34.9,1.05,1.06,HOLD,2026-08-20,8
CPALL,2026-08-31,46.25,0.0,26414742,41.3,47.44,47.09,HOLD,2026-08-03,21
BTS,2026-08-31,2.08,0.0,24556160,48.6,2.08,2.1,HOLD,2026-08-25,5
BH,2026-08-31,191.5,-0.26,4423950,47.2,194.43,189.31,HOLD,2026-08-03,21
M,2026-08-31,21.3,-0.47,978691,46.5,21.54,21.52,HOLD,2026-08-18,10
AEONTS,2026-08-31,101.0,-0.49,482181,41.5,102.8,103.78,HOLD,2026-08-28,2
KTC,2026-08-31,37.25,-0.67,10647112,45.9,37.96,37.19,HOLD,2026-06-15,56
SIRI,2026-08-31,1.46,-0.68,68044460,34.7,1.51,1.49,HOLD,2026-06-18,53
BANPU,2026-08-31,14.5,-0.68,57616832,78.4,12.85,11.95,HOLD,2026-07-24,14
EA,2026-08-31,2.88,-0.69,20086176,43.5,2.92,2.96,SELL,2026-08-31,1
MEGA,2026-08-31,36.0,-0.69,827801,39.2,37.54,37.34,HOLD,2026-07-07,40
BAM,2026-08-31,6.35,-0.78,9175693,33.5,6.58,6.71,HOLD,2026-08-25,5
OR,2026-08-31,12.5,-0.79,31942568,46.0,12.51,12.6,HOLD,2026-08-25,5
BLA,2026-08-31,24.3,-0.82,1949075,40.4,24.88,25.47,HOLD,2026-08-31,1
WHA,2026-08-31,4.82,-0.82,45174571,42.3,4.87,5.06,HOLD,2026-08-12,14
CPF,2026-08-31,23.6,-0.84,44228850,64.4,22.71,21.9,HOLD,2026-07-02,43
ROJNA,2026-08-31,5.9,-0.84,2160406,42.8,6.04,5.92,HOLD,2026-07-13,36
JMART,2026-08-31,10.9,-0.91,5121368,47.3,11.07,10.81,HOLD,2026-08-24,6
PRM,2026-08-31,9.4,-1.05,2996057,37.0,9.89,9.54,HOLD,2026-07-07,40
DOHOME,2026-08-31,3.56,-1.11,7250391,35.6,3.82,3.8,HOLD,2026-08-04,20
RCL,2026-08-31,44.0,-1.12,5377046,65.1,41.16,36.2,HOLD,2026-08-11,15
ITC,2026-08-31,17.3,-1.14,13482746,49.2,17.49,16.96,HOLD,2026-08-25,5
SPALI,2026-08-31,16.1,-1.23,3648711,47.2,16.26,16.06,HOLD,2026-08-14,12
BJC,2026-08-31,15.5,-1.27,12104366,43.9,16.04,15.43,HOLD,2026-08-21,7
AWC,2026-08-31,3.08,-1.28,62593235,61.6,3.0,2.85,HOLD,2026-07-28,25
CBG,2026-08-31,54.5,-1.36,5390030,53.0,54.42,51.32,HOLD,2026-06-24,49
GPSC,2026-08-31,53.0,-1.4,8378169,58.8,50.92,50.02,HOLD,2026-08-27,3
BEM,2026-08-31,6.9,-1.43,65808267,48.6,7.06,6.64,HOLD,2026-06-19,52
BA,2026-08-31,19.1,-1.55,8256657,51.0,19.31,18.76,HOLD,2026-08-04,20
