Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BGRIM,2026-08-26,21.0,11.7,102778695,73.0,18.51,18.44,HOLD,2026-08-21,4
BCP,2026-08-26,54.75,10.05,31878666,75.4,47.7,41.8,HOLD,2026-07-15,31
IRPC,2026-08-26,2.56,5.79,124990916,65.6,2.36,2.1,BUY,2026-08-26,1
SPRC,2026-08-26,12.8,4.92,34712015,70.1,11.48,9.66,HOLD,2026-06-29,43
SCC,2026-08-26,257.0,4.9,8793443,55.0,255.15,250.94,HOLD,2026-07-15,31
CK,2026-08-26,19.4,4.86,14529921,57.1,18.58,18.91,HOLD,2026-08-14,9
GPSC,2026-08-26,54.25,4.33,21302582,66.1,50.71,49.41,BUY,2026-08-26,1
PTTGC,2026-08-26,42.75,4.27,47605369,67.8,38.75,36.6,HOLD,2026-08-19,6
PLANB,2026-08-26,6.7,3.88,30767426,67.5,6.14,5.53,HOLD,2026-07-06,38
TOP,2026-08-26,62.25,3.32,23649129,50.2,64.3,57.88,HOLD,2026-07-09,35
CKP,2026-08-26,2.6,3.17,6772984,57.8,2.53,2.52,HOLD,2026-08-24,3
BA,2026-08-26,19.6,3.16,15672563,59.6,19.3,18.65,HOLD,2026-08-04,17
KKP,2026-08-26,118.0,3.06,16547624,64.6,112.12,107.84,BUY,2026-08-26,1
GUNKUL,2026-08-26,5.15,3.0,48877618,58.3,5.07,4.81,HOLD,2026-06-30,42
BCPG,2026-08-26,7.25,2.84,11240478,55.4,7.11,7.17,HOLD,2026-08-24,3
RATCH,2026-08-26,37.75,2.72,8323015,53.9,37.98,36.17,HOLD,2026-06-30,42
KTC,2026-08-26,38.0,2.7,33076026,54.3,38.11,36.88,HOLD,2026-06-15,53
CRC,2026-08-26,29.25,2.63,26617232,69.3,26.95,24.8,HOLD,2026-07-30,20
TIDLOR,2026-08-26,20.2,2.54,29607130,61.3,19.42,19.28,HOLD,2026-08-21,4
MTC,2026-08-26,32.5,2.36,16474155,44.0,33.64,32.84,HOLD,2026-07-17,29
RCL,2026-08-26,45.0,2.27,5926307,74.6,39.66,35.43,HOLD,2026-08-11,12
OSP,2026-08-26,18.0,2.27,18606747,60.7,17.6,17.42,HOLD,2026-06-17,51
SKY,2026-08-26,18.2,2.25,750883,54.1,18.27,16.85,HOLD,2026-07-13,33
CBG,2026-08-26,57.25,2.23,7489169,66.1,53.81,50.47,HOLD,2026-06-23,47
SAWAD,2026-08-26,24.4,2.09,20803620,52.3,24.39,24.16,HOLD,2026-07-07,37
STA,2026-08-26,20.1,2.03,22966595,60.4,18.98,18.39,HOLD,2026-08-20,5
EGCO,2026-08-26,134.0,1.9,1870351,62.9,131.88,127.98,HOLD,2026-07-01,41
STGT,2026-08-26,10.8,1.89,1828439,50.7,10.79,10.57,HOLD,2026-08-12,11
IVL,2026-08-26,22.2,1.83,55207581,48.7,21.88,22.63,HOLD,2026-08-20,5
JMT,2026-08-26,11.4,1.79,5265188,43.1,11.8,11.8,SELL,2026-08-26,1
TLI,2026-08-26,11.5,1.77,11603079,49.7,11.53,11.57,HOLD,2026-08-26,1
COCOCO,2026-08-26,5.95,1.71,643521,50.1,5.99,5.87,HOLD,2026-08-06,15
ROJNA,2026-08-26,6.0,1.69,893034,49.6,6.07,5.9,HOLD,2026-07-13,33
GULF,2026-08-26,64.25,1.58,41853225,47.0,65.28,64.24,HOLD,2026-08-03,18
BAM,2026-08-26,6.45,1.57,12285469,38.2,6.66,6.73,HOLD,2026-08-25,2
EA,2026-08-26,2.92,1.39,31146539,47.4,2.93,2.97,HOLD,2026-08-25,2
DOHOME,2026-08-26,3.66,1.1,9126523,40.7,3.88,3.79,HOLD,2026-08-04,17
PR9,2026-08-26,18.5,1.09,2141417,58.1,18.22,17.87,HOLD,2026-08-21,4
CPALL,2026-08-26,47.0,1.08,37740608,47.7,47.67,47.09,HOLD,2026-08-03,18
ERW,2026-08-26,3.74,1.08,7192129,68.0,3.66,3.32,HOLD,2026-07-22,26
SISB,2026-08-26,9.5,1.06,1019659,43.5,9.59,9.8,HOLD,2026-08-12,11
AEONTS,2026-08-26,103.0,0.98,293190,49.1,103.47,103.44,HOLD,2026-06-26,44
BTS,2026-08-26,2.08,0.97,5543124,48.6,2.08,2.1,HOLD,2026-08-25,2
AAV,2026-08-26,1.04,0.97,22364954,40.6,1.05,1.07,HOLD,2026-08-20,5
VGI,2026-08-26,1.04,0.97,80118150,52.3,1.02,0.99,HOLD,2026-07-10,34
JMART,2026-08-26,11.3,0.89,5950285,55.6,11.09,10.69,HOLD,2026-08-24,3
BCH,2026-08-26,11.4,0.88,6954402,63.8,11.02,10.43,HOLD,2026-08-21,4
SCGP,2026-08-26,29.0,0.87,10528230,43.1,30.29,29.32,HOLD,2026-07-21,27
TCAP,2026-08-26,87.25,0.87,4770672,62.4,85.86,76.28,HOLD,2026-06-18,50
WHA,2026-08-26,4.86,0.83,98078415,43.9,4.87,5.06,HOLD,2026-08-12,11
TISCO,2026-08-26,127.0,0.79,4349619,52.2,127.65,125.0,HOLD,2026-06-08,58
KBANK,2026-08-26,255.0,0.79,14497141,68.0,249.3,235.76,HOLD,2026-06-17,51
OR,2026-08-26,12.7,0.79,17366436,57.8,12.54,12.58,HOLD,2026-08-25,2
TU,2026-08-26,13.0,0.78,5671431,55.3,13.03,12.3,HOLD,2026-07-01,41
HMPRO,2026-08-26,6.55,0.77,24310816,48.8,6.62,6.53,HOLD,2026-08-05,16
CPN,2026-08-26,66.0,0.76,6187873,46.6,66.91,66.83,HOLD,2026-08-03,18
SAPPE,2026-08-26,35.5,0.71,313336,58.8,34.48,33.34,BUY,2026-08-26,1
TTB,2026-08-26,2.92,0.69,919498295,50.2,3.0,2.79,HOLD,2026-06-15,53
AWC,2026-08-26,3.0,0.67,26862651,57.3,2.99,2.82,HOLD,2026-07-28,22
SPALI,2026-08-26,16.1,0.63,6865989,47.3,16.22,16.03,HOLD,2026-08-14,9
AP,2026-08-26,8.25,0.61,8240937,57.1,8.23,7.88,HOLD,2026-07-14,32
TASCO,2026-08-26,16.9,0.6,7612184,67.6,15.8,14.63,HOLD,2026-07-17,29
CCET,2026-08-26,8.9,0.56,33573449,55.2,8.54,8.73,HOLD,2026-07-28,22
HANA,2026-08-26,46.0,0.55,9200186,63.3,40.69,38.84,HOLD,2026-08-18,7
BH,2026-08-26,205.0,0.49,4667174,74.4,193.38,188.79,HOLD,2026-08-03,18
MINT,2026-08-26,22.7,0.44,13179568,44.7,23.02,23.52,HOLD,2026-08-12,11
BLA,2026-08-26,25.0,0.4,1227684,48.6,25.04,25.43,HOLD,2026-08-19,6
BBL,2026-08-26,192.5,0.26,13720758,54.3,191.4,190.02,HOLD,2026-06-19,49
