Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
TASCO,2026-08-13,16.2,10.2,41557632,72.3,14.55,14.08,HOLD,2026-07-17,19
KCE,2026-08-13,47.75,7.3,58358193,64.8,42.62,40.48,HOLD,2026-08-06,5
IRPC,2026-08-13,2.52,6.78,301241646,76.9,2.23,1.97,HOLD,2026-07-22,16
CENTEL,2026-08-13,43.25,5.49,8365891,73.9,38.6,36.91,HOLD,2026-08-13,1
SJWD,2026-08-13,10.4,5.05,5002548,75.8,9.56,8.62,HOLD,2026-07-02,30
SPALI,2026-08-13,16.7,5.03,19700027,68.7,15.97,15.86,BUY,2026-08-13,1
HANA,2026-08-13,37.75,4.86,48829807,53.9,36.92,37.05,HOLD,2026-08-11,2
BA,2026-08-13,19.7,4.79,15116023,60.1,18.87,18.15,HOLD,2026-08-04,7
AWC,2026-08-13,3.06,4.79,103723226,64.6,2.91,2.71,HOLD,2026-07-28,12
STA,2026-08-13,18.5,4.52,10687614,51.4,18.63,18.29,HOLD,2026-07-31,9
GUNKUL,2026-08-13,5.05,3.48,55369703,56.3,5.13,4.59,HOLD,2026-06-30,32
PTTGC,2026-08-13,39.75,3.25,52681226,67.4,37.92,35.3,BUY,2026-08-13,1
BCP,2026-08-13,49.75,3.11,28719847,84.7,44.96,38.59,HOLD,2026-07-15,21
AP,2026-08-13,8.4,3.07,13648136,66.1,8.13,7.67,HOLD,2026-07-14,22
BJC,2026-08-13,16.0,2.56,6668028,59.6,15.71,14.94,HOLD,2026-07-27,13
CBG,2026-08-13,52.5,2.44,8870021,63.0,51.02,47.33,HOLD,2026-06-23,37
CCET,2026-08-13,8.45,2.42,46035689,48.6,8.53,8.84,HOLD,2026-07-28,12
ERW,2026-08-13,3.72,2.2,29688390,71.0,3.39,3.16,HOLD,2026-07-22,16
SIRI,2026-08-13,1.53,2.0,58931364,59.7,1.51,1.47,HOLD,2026-06-18,40
BTS,2026-08-13,2.1,1.94,38717521,50.5,2.1,2.1,HOLD,2026-07-13,23
CRC,2026-08-13,26.25,1.94,13870262,64.8,24.84,23.53,HOLD,2026-07-30,10
COM7,2026-08-13,30.0,1.69,9827783,54.5,30.18,28.73,HOLD,2026-07-28,12
COCOCO,2026-08-13,6.15,1.65,3830898,60.5,5.96,5.8,HOLD,2026-08-06,5
CPALL,2026-08-13,48.75,1.56,32761383,59.6,47.65,46.84,HOLD,2026-08-03,8
GPSC,2026-08-13,50.0,1.52,7527877,48.0,52.54,47.56,HOLD,2026-06-18,40
SAPPE,2026-08-13,34.75,1.46,470500,60.5,33.98,32.42,HOLD,2026-07-27,13
ICHI,2026-08-13,15.1,1.34,2430290,64.7,14.88,14.14,HOLD,2026-06-15,43
MEGA,2026-08-13,39.0,1.3,652490,60.0,38.16,36.84,HOLD,2026-07-07,27
RATCH,2026-08-13,39.25,1.29,6420195,67.3,38.75,34.79,HOLD,2026-06-30,32
ITC,2026-08-13,17.3,1.17,9027030,54.1,17.12,16.64,HOLD,2026-07-24,14
SKY,2026-08-13,17.9,1.13,1002509,54.9,18.07,16.38,HOLD,2026-07-13,23
BGRIM,2026-08-13,17.9,1.13,6216331,44.0,18.91,17.7,HOLD,2026-06-15,43
STGT,2026-08-13,10.9,0.93,2091377,60.4,10.63,10.57,HOLD,2026-08-13,1
MINT,2026-08-13,23.1,0.87,25524268,46.4,23.29,23.54,HOLD,2026-08-13,1
ROJNA,2026-08-13,6.1,0.83,1742802,58.3,6.13,5.8,HOLD,2026-07-13,23
CKP,2026-08-13,2.52,0.8,3161875,48.5,2.57,2.48,HOLD,2026-06-18,40
AOT,2026-08-13,63.5,0.79,24014794,53.8,63.54,61.99,HOLD,2026-05-18,63
TU,2026-08-13,13.4,0.75,17344508,78.3,12.55,11.95,HOLD,2026-07-01,31
HMPRO,2026-08-13,6.7,0.75,46787207,57.9,6.61,6.42,HOLD,2026-08-05,6
TRUE,2026-08-13,13.5,0.75,269986172,46.4,13.84,13.6,HOLD,2026-07-31,9
EA,2026-08-13,2.94,0.68,23100000,47.0,2.98,3.02,HOLD,2026-07-27,13
GLOBAL,2026-08-13,7.55,0.67,12315710,54.8,7.45,7.03,HOLD,2026-08-04,7
RCL,2026-08-13,39.5,0.64,6987719,76.8,34.83,33.15,HOLD,2026-08-11,2
OSP,2026-08-13,17.5,0.57,5100451,53.2,17.51,16.97,HOLD,2026-06-17,41
PR9,2026-08-13,18.0,0.56,2038626,51.9,18.02,17.52,HOLD,2026-08-07,4
LH,2026-08-13,3.8,0.53,24018170,54.3,3.79,3.74,HOLD,2026-08-04,7
BH,2026-08-13,190.0,0.53,3475000,57.8,186.2,185.35,HOLD,2026-08-03,8
EGCO,2026-08-13,133.0,0.38,1634397,61.2,133.28,125.19,HOLD,2026-07-01,31
SCB,2026-08-13,152.5,0.33,9048970,50.4,154.03,149.35,HOLD,2026-06-15,43
VGI,2026-08-13,0.97,0.0,19882609,46.0,1.0,0.96,HOLD,2026-07-10,24
TIDLOR,2026-08-13,19.3,0.0,5188807,52.4,19.32,18.88,HOLD,2026-08-11,2
WHA,2026-08-13,4.8,0.0,87296892,37.8,5.06,5.09,HOLD,2026-08-13,1
AAV,2026-08-13,1.05,0.0,23475648,42.2,1.06,1.08,HOLD,2026-07-23,15
AMATA,2026-08-13,28.5,0.0,3514009,54.3,28.23,27.36,HOLD,2026-08-10,3
CPF,2026-08-13,21.9,0.0,20081977,54.2,22.02,20.81,HOLD,2026-07-02,30
GULF,2026-08-13,65.0,0.0,27567612,48.2,66.12,64.3,HOLD,2026-08-03,8
JAS,2026-08-13,1.06,0.0,8311482,34.1,1.09,1.13,HOLD,2026-07-15,21
KKP,2026-08-13,110.0,0.0,7003965,50.5,113.22,103.22,HOLD,2026-05-04,73
PRM,2026-08-13,10.3,0.0,4315108,73.5,9.86,9.19,HOLD,2026-07-07,27
MOSHI,2026-08-13,40.25,0.0,180211,50.9,40.45,38.76,HOLD,2026-07-28,12
KBANK,2026-08-13,249.0,0.0,15625741,71.2,242.3,225.73,HOLD,2026-06-17,41
KTC,2026-08-13,38.25,0.0,20718249,56.1,38.86,35.43,HOLD,2026-06-02,52
OR,2026-08-13,12.4,0.0,13016172,38.9,12.76,12.54,HOLD,2026-07-14,22
BCPG,2026-08-13,7.1,0.0,3190081,45.7,7.26,7.09,HOLD,2026-07-09,25
CPN,2026-08-13,66.0,0.0,6950826,42.3,67.6,66.61,HOLD,2026-08-03,8
