Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
RCL,2026-08-11,39.25,7.53,30522890,76.2,34.48,32.98,HOLD,2026-08-11,1
TOP,2026-08-11,68.75,4.96,35941300,76.8,63.81,53.81,HOLD,2026-07-09,24
CENTEL,2026-08-11,41.0,4.46,11282100,67.2,38.26,36.72,BUY,2026-08-11,1
IRPC,2026-08-11,2.36,4.42,278614300,70.3,2.2,1.96,HOLD,2026-07-22,15
SPRC,2026-08-11,11.4,3.64,47375900,79.2,10.32,8.61,HOLD,2026-06-29,32
TCAP,2026-08-11,89.25,3.48,8284800,76.7,77.94,70.45,HOLD,2026-06-18,39
PTTGC,2026-08-11,38.5,2.67,42595200,61.7,37.71,35.19,HOLD,2026-07-23,14
BCP,2026-08-11,48.25,2.66,18468200,82.0,44.48,38.28,HOLD,2026-07-15,20
PRM,2026-08-11,10.3,1.98,7877800,73.5,9.81,9.16,HOLD,2026-07-07,26
PTT,2026-08-11,39.5,1.94,80910200,66.1,38.89,37.22,HOLD,2026-07-20,17
JMART,2026-08-11,10.7,1.9,13588600,48.2,11.2,10.23,HOLD,2026-07-10,23
KCE,2026-08-11,44.5,1.71,23634900,57.9,42.5,40.33,HOLD,2026-08-06,4
PTTEP,2026-08-11,152.0,1.67,24436500,67.7,148.4,141.65,HOLD,2026-07-28,11
QH,2026-08-11,1.47,1.38,22815300,65.3,1.42,1.38,HOLD,2026-08-03,7
COCOCO,2026-08-11,6.05,0.83,2640000,56.7,5.95,5.79,HOLD,2026-08-06,4
ADVANC,2026-08-11,374.0,0.81,4764200,51.3,375.55,368.46,HOLD,2026-07-01,30
BCPG,2026-08-11,7.1,0.71,4193500,45.7,7.26,7.08,HOLD,2026-07-09,24
SPALI,2026-08-11,15.9,0.63,1093800,49.9,15.92,15.84,HOLD,2026-07-30,9
ERW,2026-08-11,3.64,0.55,24771300,68.2,3.36,3.14,HOLD,2026-07-22,15
LH,2026-08-11,3.78,0.53,17921600,51.3,3.79,3.74,HOLD,2026-08-04,6
CPF,2026-08-11,21.9,0.46,20844200,54.2,22.02,20.75,HOLD,2026-07-02,29
KBANK,2026-08-11,249.0,0.4,6829800,71.2,241.4,224.83,HOLD,2026-06-17,40
SCC,2026-08-11,259.0,0.39,2666800,59.7,256.7,247.34,HOLD,2026-07-15,20
BBL,2026-08-11,191.5,0.26,5480300,50.4,194.25,186.02,HOLD,2026-06-19,38
BTG,2026-08-11,20.9,0.0,3089000,46.0,21.12,20.77,HOLD,2026-07-10,23
CBG,2026-08-11,51.25,0.0,3048400,57.5,51.02,47.09,HOLD,2026-06-23,36
OR,2026-08-11,12.4,0.0,10742500,38.9,12.78,12.54,HOLD,2026-07-14,21
AAV,2026-08-11,1.05,0.0,25078400,42.2,1.06,1.08,HOLD,2026-07-23,14
IVL,2026-08-11,22.0,0.0,96666500,39.2,23.41,22.84,HOLD,2026-07-24,13
SCB,2026-08-11,152.0,0.0,11129900,48.7,154.18,149.05,HOLD,2026-06-15,42
SISB,2026-08-11,9.7,0.0,1502500,44.6,9.84,9.86,SELL,2026-08-11,1
TISCO,2026-08-11,129.0,0.0,5513400,61.4,129.12,122.31,HOLD,2026-06-08,47
SCGP,2026-08-11,31.0,0.0,7251100,60.0,30.35,28.34,HOLD,2026-07-21,16
ROJNA,2026-08-11,6.05,0.0,1888900,55.0,6.12,5.79,HOLD,2026-07-13,22
SAPPE,2026-08-11,34.25,0.0,948900,56.8,33.85,32.33,HOLD,2026-07-27,12
KTB,2026-08-11,44.5,0.0,47716500,67.0,43.27,39.65,HOLD,2026-06-17,40
STGT,2026-08-11,10.8,0.0,4460600,57.3,10.62,10.59,BUY,2026-08-11,1
EGCO,2026-08-11,132.5,-0.38,1635200,59.6,132.85,124.86,HOLD,2026-07-01,30
AOT,2026-08-11,63.0,-0.4,16382100,50.3,63.54,61.85,HOLD,2026-05-18,62
BGRIM,2026-08-11,17.7,-0.56,14845600,40.8,18.93,17.62,HOLD,2026-06-15,42
CCET,2026-08-11,8.25,-0.6,75260900,43.8,8.56,8.87,HOLD,2026-07-28,11
CHG,2026-08-11,1.63,-0.61,19656800,59.6,1.58,1.55,HOLD,2026-08-07,3
MOSHI,2026-08-11,40.25,-0.62,272100,50.9,40.36,38.71,HOLD,2026-07-28,11
MEGA,2026-08-11,38.5,-0.65,463600,56.2,38.11,36.77,HOLD,2026-07-07,26
TTB,2026-08-11,3.08,-0.65,304819800,69.2,2.99,2.66,HOLD,2026-06-15,42
ICHI,2026-08-11,14.9,-0.67,6521000,59.6,14.85,14.1,HOLD,2026-06-15,42
BANPU,2026-08-11,14.6,-0.68,24904200,81.0,12.72,11.9,HOLD,2026-07-24,13
AWC,2026-08-11,2.92,-0.68,56470600,56.2,2.9,2.7,HOLD,2026-07-28,11
HANA,2026-08-11,36.0,-0.69,18622100,47.0,37.0,37.08,HOLD,2026-08-11,1
MTC,2026-08-11,34.5,-0.72,4597700,58.5,34.17,31.88,HOLD,2026-07-17,18
TRUE,2026-08-11,13.4,-0.74,74558700,44.3,13.85,13.61,HOLD,2026-07-31,8
BAM,2026-08-11,6.75,-0.74,2484400,44.8,6.88,6.73,HOLD,2026-07-29,10
HMPRO,2026-08-11,6.65,-0.75,42529400,55.4,6.61,6.41,HOLD,2026-08-05,5
TU,2026-08-11,13.3,-0.75,12992300,76.9,12.47,11.91,HOLD,2026-07-01,30
BLA,2026-08-11,24.8,-0.8,967200,40.8,25.91,25.3,HOLD,2026-07-03,28
SAWAD,2026-08-11,24.7,-0.8,11754000,51.3,25.02,23.56,HOLD,2026-07-07,26
JMT,2026-08-11,11.9,-0.83,9538400,48.7,12.11,11.66,HOLD,2026-07-13,22
TLI,2026-08-11,11.5,-0.86,11801900,42.7,11.72,11.51,HOLD,2026-06-30,31
PLANB,2026-08-11,5.75,-0.86,29398600,55.3,5.85,5.04,HOLD,2026-07-06,27
AMATA,2026-08-11,28.5,-0.87,6628500,54.3,28.2,27.29,HOLD,2026-08-10,2
BCH,2026-08-11,10.9,-0.91,9219400,60.0,10.62,10.01,HOLD,2026-08-05,5
JAS,2026-08-11,1.06,-0.93,8680000,34.1,1.09,1.13,HOLD,2026-07-15,20
M,2026-08-11,21.0,-0.94,1175400,41.9,21.42,21.35,HOLD,2026-07-14,21
CRC,2026-08-11,25.75,-0.96,4694100,61.4,24.69,23.43,HOLD,2026-07-30,9
BTS,2026-08-11,2.06,-0.96,30172600,43.6,2.1,2.1,HOLD,2026-07-13,22
SJWD,2026-08-11,9.9,-1.0,1148700,68.4,9.48,8.56,HOLD,2026-07-02,29
BDMS,2026-08-11,19.7,-1.01,84296700,56.7,19.45,19.04,HOLD,2026-08-07,3
TIDLOR,2026-08-11,19.3,-1.03,7440900,52.4,19.31,18.85,HOLD,2026-08-11,1
BH,2026-08-11,189.0,-1.05,4604300,55.8,185.88,185.11,HOLD,2026-08-03,7
OSP,2026-08-11,17.4,-1.14,6591800,50.9,17.5,16.93,HOLD,2026-06-17,40
