Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
IRPC,2026-09-02,2.8,3.7,325429184,72.9,2.47,2.2,HOLD,2026-09-01,2
CCET,2026-09-02,9.4,3.3,130918088,60.4,8.79,8.75,BUY,2026-09-02,1
ICHI,2026-09-02,13.9,2.96,16209674,39.0,14.54,14.51,HOLD,2026-09-02,1
BANPU,2026-09-02,15.0,2.74,37410147,83.3,12.87,11.96,HOLD,2026-07-24,14
TTB,2026-09-02,3.0,2.04,533513193,57.2,2.97,2.85,HOLD,2026-06-15,58
BCP,2026-09-02,58.5,1.74,27608437,78.9,50.55,44.13,HOLD,2026-07-15,36
TU,2026-09-02,12.9,1.57,12008345,52.3,13.06,12.44,HOLD,2026-07-01,46
PRM,2026-09-02,9.8,1.55,8435879,52.4,9.87,9.57,HOLD,2026-07-07,42
KCE,2026-09-02,58.5,1.3,22587973,70.0,52.3,45.76,HOLD,2026-08-06,20
BGRIM,2026-09-02,19.8,1.02,27073716,57.1,18.9,18.75,HOLD,2026-08-21,9
CKP,2026-09-02,2.38,0.85,5222799,36.7,2.52,2.53,HOLD,2026-09-02,1
HMPRO,2026-09-02,6.4,0.79,26396684,42.2,6.57,6.56,HOLD,2026-08-05,21
SAPPE,2026-09-02,33.75,0.75,460382,46.3,34.54,33.76,HOLD,2026-08-27,5
OSP,2026-09-02,16.1,0.63,11217051,33.4,17.31,17.41,HOLD,2026-09-01,2
KTB,2026-09-02,43.75,0.57,50272096,54.1,44.02,42.28,HOLD,2026-06-17,56
BA,2026-09-02,18.8,0.53,7264450,46.7,19.24,18.81,HOLD,2026-08-04,22
CPALL,2026-09-02,45.5,0.0,18062337,35.3,47.09,47.09,HOLD,2026-08-03,23
CBG,2026-09-02,53.75,0.0,2479423,49.8,54.65,51.77,HOLD,2026-06-24,51
BBL,2026-09-02,192.0,0.0,7751534,53.1,191.2,191.43,SELL,2026-09-02,1
EA,2026-09-02,2.86,0.0,40567075,41.5,2.92,2.95,HOLD,2026-09-01,2
HANA,2026-09-02,45.0,0.0,6998438,57.0,43.34,39.69,HOLD,2026-08-18,12
KBANK,2026-09-02,248.0,0.0,6402053,53.4,250.05,239.78,HOLD,2026-06-17,56
LH,2026-09-02,3.64,0.0,11495551,36.9,3.7,3.75,HOLD,2026-08-26,6
MEGA,2026-09-02,35.0,0.0,803327,33.0,37.17,37.37,HOLD,2026-09-02,1
PLANB,2026-09-02,6.15,0.0,11816558,50.0,6.24,5.75,HOLD,2026-07-06,43
AMATA,2026-09-02,31.0,0.0,8243975,54.3,30.55,28.71,HOLD,2026-08-28,4
BCPG,2026-09-02,7.2,0.0,4968289,51.2,7.14,7.19,HOLD,2026-08-24,8
TISCO,2026-09-02,126.5,0.0,2753550,49.0,127.12,126.03,HOLD,2026-06-08,63
ITC,2026-09-02,17.3,0.0,1916623,49.2,17.44,17.0,HOLD,2026-08-25,7
ERW,2026-09-02,3.6,0.0,22495594,50.9,3.69,3.39,HOLD,2026-07-22,31
IVL,2026-09-02,25.0,0.0,53778253,71.9,22.45,22.88,SELL,2026-09-01,2
SPRC,2026-09-02,13.1,0.0,26235029,69.5,12.02,10.25,HOLD,2026-06-29,48
SPALI,2026-09-02,15.9,0.0,4164743,43.5,16.26,16.07,HOLD,2026-08-14,14
PTTGC,2026-09-02,44.25,0.0,21772045,70.8,40.55,37.75,HOLD,2026-08-19,11
TOP,2026-09-02,64.75,0.0,23035966,57.1,64.05,59.77,HOLD,2026-07-09,40
SCB,2026-09-02,151.5,-0.33,10116358,47.6,152.05,152.69,HOLD,2026-09-01,2
EGCO,2026-09-02,132.5,-0.38,765003,53.5,131.85,129.49,HOLD,2026-08-31,3
CPN,2026-09-02,64.75,-0.38,4668856,41.9,66.15,66.89,HOLD,2026-09-02,1
CPF,2026-09-02,23.1,-0.43,29123529,55.5,22.81,22.05,HOLD,2026-07-02,45
M,2026-09-02,21.0,-0.47,1471044,42.6,21.51,21.53,SELL,2026-09-02,1
TIDLOR,2026-09-02,18.9,-0.53,16369620,43.1,19.46,19.33,HOLD,2026-08-21,9
TCAP,2026-09-02,82.25,-0.6,3202263,46.6,86.74,78.24,HOLD,2026-06-18,55
CENTEL,2026-09-02,41.75,-0.6,2867705,55.5,41.64,39.08,HOLD,2026-08-12,16
BJC,2026-09-02,15.3,-0.65,6057814,41.1,15.95,15.48,HOLD,2026-08-21,9
SIRI,2026-09-02,1.44,-0.69,33761017,30.3,1.51,1.49,HOLD,2026-06-18,55
QH,2026-09-02,1.39,-0.71,14169660,36.0,1.44,1.41,HOLD,2026-08-03,23
SCC,2026-09-02,258.0,-0.77,3615337,54.6,255.45,252.3,HOLD,2026-08-31,3
BH,2026-09-02,190.5,-0.78,3415314,45.8,194.68,189.6,HOLD,2026-08-03,23
OR,2026-09-02,12.5,-0.79,17764226,46.5,12.5,12.62,HOLD,2026-08-25,7
BAM,2026-09-02,6.3,-0.79,6978853,31.2,6.53,6.71,HOLD,2026-08-25,7
MTC,2026-09-02,30.0,-0.83,15492047,27.5,32.77,32.98,SELL,2026-09-02,1
KKP,2026-09-02,116.5,-0.85,5476626,57.7,113.3,110.2,HOLD,2026-08-27,5
CRC,2026-09-02,28.75,-0.86,6994166,61.4,27.52,25.34,HOLD,2026-09-02,1
COM7,2026-09-02,28.5,-0.87,5717062,41.8,29.56,29.41,HOLD,2026-07-28,27
COCOCO,2026-09-02,5.7,-0.87,1092859,40.9,5.97,5.9,HOLD,2026-08-06,20
MINT,2026-09-02,21.9,-0.9,27763840,33.8,22.69,23.31,HOLD,2026-08-12,16
GPSC,2026-09-02,50.75,-0.98,6797074,48.5,50.83,50.33,HOLD,2026-08-27,5
BTG,2026-09-02,20.0,-0.99,2868673,36.1,20.79,20.99,HOLD,2026-09-02,1
BDMS,2026-09-02,19.8,-1.0,103933495,55.4,19.71,19.5,HOLD,2026-08-25,7
AEONTS,2026-09-02,97.5,-1.02,701368,31.3,102.05,103.89,HOLD,2026-08-28,4
DOHOME,2026-09-02,3.48,-1.14,11409000,31.8,3.76,3.81,HOLD,2026-09-02,1
PTT,2026-09-02,41.0,-1.2,124673840,63.9,40.1,38.67,HOLD,2026-08-17,13
AOT,2026-09-02,61.75,-1.2,19660377,35.9,64.55,63.96,HOLD,2026-08-18,12
GULF,2026-09-02,61.25,-1.21,39503380,32.2,64.33,64.3,HOLD,2026-08-03,23
AP,2026-09-02,8.0,-1.23,6613885,42.9,8.21,7.97,HOLD,2026-07-14,37
CHG,2026-09-02,1.51,-1.31,51319251,43.0,1.58,1.58,HOLD,2026-09-02,1
STA,2026-09-02,22.5,-1.32,18542413,71.0,19.87,18.82,HOLD,2026-08-20,10
MOSHI,2026-09-02,37.25,-1.32,503773,33.2,39.95,39.52,HOLD,2026-07-28,27
AWC,2026-09-02,2.96,-1.33,46065315,49.8,3.0,2.86,HOLD,2026-07-28,27
KTC,2026-09-02,36.75,-1.34,12728352,40.6,37.77,37.4,HOLD,2026-06-16,57
RATCH,2026-09-02,36.75,-1.34,5063219,45.4,37.74,36.87,HOLD,2026-06-30,47
ADVANC,2026-09-02,349.0,-1.41,6210407,30.6,363.75,369.2,HOLD,2026-08-27,5
GLOBAL,2026-09-02,6.65,-1.48,9812699,31.7,7.29,7.27,HOLD,2026-08-04,22
TRUE,2026-09-02,12.8,-1.54,169887848,34.8,13.29,13.43,HOLD,2026-08-28,4
PR9,2026-09-02,18.6,-1.59,1858374,55.8,18.41,18.07,HOLD,2026-08-21,9
SISB,2026-09-02,9.0,-1.64,5984988,27.8,9.46,9.76,HOLD,2026-09-01,2
SKY,2026-09-02,16.9,-1.74,1166650,41.0,18.0,17.15,HOLD,2026-07-13,38
TLI,2026-09-02,11.0,-1.79,8430029,37.3,11.39,11.58,HOLD,2026-08-26,6
BTS,2026-09-02,2.02,-1.94,62940018,36.8,2.07,2.1,HOLD,2026-09-02,1
DELTA,2026-09-02,246.0,-1.99,13150363,34.9,260.45,285.02,HOLD,2026-08-26,6
SJWD,2026-09-02,9.1,-2.15,2500263,37.0,9.87,9.28,HOLD,2026-07-02,45
SAWAD,2026-09-02,22.5,-2.17,10145812,33.8,24.0,24.3,HOLD,2026-09-01,2
CK,2026-09-02,17.6,-2.22,6879152,39.3,18.62,18.77,HOLD,2026-09-01,2
SNNP,2026-09-02,6.6,-2.22,478444,29.0,6.87,6.94,HOLD,2026-08-31,3
TASCO,2026-09-02,17.2,-2.27,7225834,63.6,16.4,14.97,HOLD,2026-07-17,34
GUNKUL,2026-09-02,4.86,-2.41,189183681,42.8,5.08,4.93,HOLD,2026-06-30,47
SCGP,2026-09-02,29.5,-2.48,10260399,47.9,30.02,29.61,HOLD,2026-07-21,32
ROJNA,2026-09-02,5.6,-2.61,4987405,29.0,6.0,5.93,BUY,2026-09-02,1
BCH,2026-09-02,10.8,-2.7,5755911,47.6,11.11,10.59,HOLD,2026-08-21,9
STGT,2026-09-02,10.7,-2.73,4971080,47.9,10.86,10.63,HOLD,2026-08-12,16
BLA,2026-09-02,23.4,-2.9,4066854,32.0,24.68,25.45,HOLD,2026-08-31,3
AAV,2026-09-02,1.0,-2.91,93399108,22.8,1.04,1.06,HOLD,2026-08-20,10
WHA,2026-09-02,4.62,-2.94,227048647,32.3,4.85,5.04,SELL,2026-09-02,1
RCL,2026-09-02,41.0,-2.96,6392706,51.4,41.8,36.59,HOLD,2026-08-11,17
BEM,2026-09-02,6.65,-3.62,25423824,37.4,7.06,6.67,HOLD,2026-06-19,54
JMART,2026-09-02,10.4,-3.7,6019649,38.5,11.0,10.86,HOLD,2026-08-24,8
JMT,2026-09-02,10.4,-3.7,11902363,28.2,11.49,11.79,HOLD,2026-08-27,5
VGI,2026-09-02,0.97,-3.96,131034491,40.9,1.03,1.0,HOLD,2026-07-10,39
JAS,2026-09-02,0.85,-4.49,48770264,11.0,0.99,1.06,HOLD,2026-07-15,36
