Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BLA,2026-09-14,24.9,3.32,5221423,55.0,24.35,25.29,HOLD,2026-08-31,11
KBANK,2026-09-14,251.0,2.87,18469982,57.9,249.25,243.84,HOLD,2026-06-17,64
BBL,2026-09-14,192.0,2.13,12595572,52.5,191.07,192.82,HOLD,2026-09-10,3
KKP,2026-09-14,115.0,1.77,6805640,51.8,115.3,112.62,HOLD,2026-08-27,13
TLI,2026-09-14,11.5,1.77,39213323,54.8,11.28,11.53,HOLD,2026-08-26,14
SCB,2026-09-14,150.5,1.35,19985613,47.4,151.15,152.93,HOLD,2026-09-01,10
BCP,2026-09-14,56.75,1.34,10517716,61.2,54.77,47.98,HOLD,2026-07-15,44
TTB,2026-09-14,3.02,1.34,600907024,58.8,2.93,2.92,BUY,2026-09-14,1
KTB,2026-09-14,44.25,1.14,75696283,57.3,43.71,43.17,HOLD,2026-06-17,64
PTTEP,2026-09-14,155.0,0.98,13453420,64.0,150.12,148.08,HOLD,2026-09-09,4
TCAP,2026-09-14,82.25,0.92,2503051,46.9,84.65,80.67,HOLD,2026-06-18,63
BCH,2026-09-14,11.0,0.92,1845559,51.3,11.09,10.75,HOLD,2026-08-21,17
OR,2026-09-14,12.4,0.81,8530611,44.0,12.54,12.63,HOLD,2026-09-11,2
SPRC,2026-09-14,13.5,0.75,11001186,65.1,12.93,11.18,HOLD,2026-06-29,56
IRPC,2026-09-14,2.92,0.69,62530563,62.4,2.72,2.39,HOLD,2026-09-01,10
BANPU,2026-09-14,14.7,0.68,17314412,81.7,12.86,11.96,HOLD,2026-07-24,14
DOHOME,2026-09-14,3.52,0.57,5044501,38.6,3.59,3.77,HOLD,2026-09-02,9
PTTGC,2026-09-14,49.25,0.51,17106978,73.9,44.39,40.06,HOLD,2026-08-19,19
TISCO,2026-09-14,125.0,0.4,3121407,44.3,125.83,127.02,HOLD,2026-09-09,4
AP,2026-09-14,8.05,0.0,5897599,46.2,8.14,8.07,HOLD,2026-07-14,45
GLOBAL,2026-09-14,6.45,0.0,6278033,29.5,6.92,7.22,HOLD,2026-09-04,7
ITC,2026-09-14,16.6,0.0,3659426,34.0,17.32,17.09,HOLD,2026-08-25,15
EA,2026-09-14,2.96,0.0,192844167,55.5,2.91,2.95,HOLD,2026-09-01,10
ADVANC,2026-09-14,354.0,0.0,4855710,44.5,355.45,367.34,HOLD,2026-08-27,13
BTS,2026-09-14,2.02,0.0,11122327,39.5,2.06,2.09,HOLD,2026-09-02,9
BEM,2026-09-14,6.65,0.0,31378074,43.1,6.92,6.76,HOLD,2026-06-19,62
KTC,2026-09-14,36.25,0.0,5961520,36.3,37.21,37.91,HOLD,2026-09-08,5
PLANB,2026-09-14,6.05,0.0,10419794,47.1,6.34,5.98,HOLD,2026-07-06,51
SKY,2026-09-14,17.5,0.0,354724,48.9,17.74,17.57,HOLD,2026-07-13,46
SAPPE,2026-09-14,33.0,0.0,95126,41.1,34.35,33.91,HOLD,2026-08-27,13
TIDLOR,2026-09-14,17.8,0.0,8223381,30.8,19.09,19.2,HOLD,2026-09-11,2
PTT,2026-09-14,42.0,0.0,69939198,67.1,41.17,39.66,HOLD,2026-08-17,21
RCL,2026-09-14,42.25,0.0,2756983,55.5,43.27,38.2,HOLD,2026-08-11,25
QH,2026-09-14,1.4,0.0,3924874,42.0,1.42,1.42,SELL,2026-09-14,1
SCC,2026-09-14,265.0,0.0,2463213,58.1,257.65,255.5,HOLD,2026-09-07,6
IVL,2026-09-14,28.5,0.0,24668857,76.8,24.6,23.68,HOLD,2026-09-10,3
MTC,2026-09-14,29.25,0.0,6779940,24.5,31.06,32.69,HOLD,2026-09-03,8
BH,2026-09-14,195.0,-0.26,1877114,51.6,196.45,190.51,HOLD,2026-08-03,31
KCE,2026-09-14,65.75,-0.38,34118443,74.9,57.35,48.84,HOLD,2026-08-06,28
CPN,2026-09-14,64.0,-0.39,8685883,39.1,65.21,66.44,HOLD,2026-09-02,9
SAWAD,2026-09-14,22.2,-0.45,3643257,34.4,23.25,24.16,HOLD,2026-09-01,10
BDMS,2026-09-14,19.9,-0.5,38267006,51.3,19.87,19.63,HOLD,2026-09-04,7
CPALL,2026-09-14,45.25,-0.55,18318277,36.1,46.2,46.91,HOLD,2026-09-04,7
