Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
CHG,2026-08-06,1.6,3.9,19453611,57.4,1.57,1.53,HOLD,2026-06-17,37
PR9,2026-08-06,18.6,3.33,6371704,66.4,17.91,17.38,BUY,2026-08-06,1
SCGP,2026-08-06,32.0,3.23,4023291,68.3,30.01,27.93,HOLD,2026-07-21,13
SPRC,2026-08-06,10.8,2.86,12699747,73.5,9.89,8.39,HOLD,2026-06-29,29
KBANK,2026-08-06,254.0,2.83,12329182,82.2,238.95,222.05,HOLD,2026-06-17,37
BCH,2026-08-06,11.2,2.75,18189458,70.7,10.46,9.91,HOLD,2026-08-05,2
RATCH,2026-08-06,39.5,2.6,11985980,74.2,38.3,34.12,HOLD,2026-06-30,28
BDMS,2026-08-06,20.1,2.55,122187450,67.2,19.39,18.95,BUY,2026-08-06,1
GULF,2026-08-06,68.0,2.26,72392623,65.3,65.7,64.11,HOLD,2026-08-03,4
KTB,2026-08-06,45.75,2.23,55104331,78.5,42.76,39.06,HOLD,2026-06-17,37
WHA,2026-08-06,4.92,2.07,147705453,42.6,5.17,5.1,HOLD,2026-07-13,19
PTT,2026-08-06,39.0,1.96,140848206,60.8,38.73,37.06,HOLD,2026-07-20,14
TTB,2026-08-06,3.16,1.94,279533652,81.7,2.93,2.61,HOLD,2026-06-15,39
ADVANC,2026-08-06,376.0,1.9,12567292,53.4,376.2,367.5,HOLD,2026-07-01,27
AMATA,2026-08-06,28.75,1.77,6493843,57.8,28.06,27.04,HOLD,2026-07-21,13
OSP,2026-08-06,17.7,1.72,8367999,59.5,17.49,16.8,HOLD,2026-06-17,37
COM7,2026-08-06,30.5,1.67,7734123,61.5,30.06,28.43,HOLD,2026-07-28,8
BBL,2026-08-06,195.5,1.56,15221951,58.3,194.97,184.92,HOLD,2026-06-19,35
TRUE,2026-08-06,13.5,1.5,158548261,45.5,13.87,13.63,HOLD,2026-07-31,5
BAM,2026-08-06,6.9,1.47,6695309,53.1,6.9,6.7,HOLD,2026-07-29,7
TCAP,2026-08-06,87.75,1.45,7975301,79.8,75.56,68.8,HOLD,2026-06-18,36
PTTEP,2026-08-06,148.5,1.37,13440914,59.8,147.07,141.15,HOLD,2026-07-28,8
ICHI,2026-08-06,15.0,1.35,3894189,63.9,14.76,13.98,HOLD,2026-06-15,39
BH,2026-08-06,192.0,1.32,4773912,64.8,185.05,184.43,HOLD,2026-08-03,4
TOP,2026-08-06,63.75,1.19,21809099,66.8,61.46,52.62,HOLD,2026-07-09,21
AOT,2026-08-06,63.75,1.19,8246509,55.0,63.62,61.41,HOLD,2026-05-18,59
CBG,2026-08-06,51.0,0.99,2335008,56.5,51.3,46.45,HOLD,2026-06-23,33
GUNKUL,2026-08-06,5.15,0.98,29645205,65.9,5.1,4.5,HOLD,2026-06-30,28
STGT,2026-08-06,10.7,0.94,708096,54.4,10.59,10.63,HOLD,2026-07-29,7
JMART,2026-08-06,11.2,0.9,2695772,55.7,11.44,10.13,HOLD,2026-07-10,20
KKP,2026-08-06,114.5,0.88,10802810,61.5,112.15,101.47,HOLD,2026-04-27,74
ROJNA,2026-08-06,6.15,0.82,1072699,61.5,6.1,5.74,HOLD,2026-07-13,19
COCOCO,2026-08-06,6.2,0.81,7254340,66.2,5.94,5.77,HOLD,2026-08-06,1
OR,2026-08-06,12.7,0.79,15384507,49.3,12.82,12.54,HOLD,2026-07-14,18
TU,2026-08-06,13.3,0.76,10600882,80.5,12.25,11.78,HOLD,2026-07-01,27
SIRI,2026-08-06,1.54,0.65,15849408,66.0,1.5,1.46,HOLD,2026-06-18,36
