Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
RCL,2026-08-10,36.5,6.57,9611744,67.4,34.12,32.83,BUY,2026-08-10,1
DELTA,2026-08-10,279.0,6.49,30284718,43.6,287.45,314.7,HOLD,2026-07-28,10
BCP,2026-08-10,47.0,3.3,25704657,79.2,43.94,38.01,HOLD,2026-07-15,19
CENTEL,2026-08-10,39.25,2.61,4156908,59.8,38.02,36.57,HOLD,2026-07-30,8
TOP,2026-08-10,65.5,1.95,19938349,70.9,62.94,53.37,HOLD,2026-07-09,23
SPRC,2026-08-10,11.0,1.85,27687088,75.7,10.16,8.53,HOLD,2026-06-29,31
CCET,2026-08-10,8.3,1.84,40025854,44.8,8.61,8.91,HOLD,2026-07-28,10
CKP,2026-08-10,2.56,1.59,2526667,53.6,2.57,2.48,HOLD,2026-06-18,38
PRM,2026-08-10,10.1,1.51,2240284,69.3,9.75,9.12,HOLD,2026-07-07,25
GPSC,2026-08-10,50.5,1.51,7438193,50.0,52.5,47.23,HOLD,2026-05-11,66
QH,2026-08-10,1.45,1.4,28546439,61.3,1.42,1.38,HOLD,2026-08-03,6
AP,2026-08-10,8.25,1.23,3126673,63.6,8.07,7.63,HOLD,2026-07-14,20
KCE,2026-08-10,43.75,1.16,13025117,56.0,42.52,40.23,HOLD,2026-08-06,3
AEONTS,2026-08-10,105.5,0.96,562379,53.2,106.3,101.67,HOLD,2026-06-26,32
CPF,2026-08-10,21.8,0.93,9768133,52.7,22.02,20.69,HOLD,2026-07-02,28
IRPC,2026-08-10,2.26,0.89,68175618,64.3,2.18,1.95,HOLD,2026-07-22,14
EGCO,2026-08-10,133.0,0.76,1084040,62.0,132.5,124.54,HOLD,2026-07-01,29
TU,2026-08-10,13.4,0.75,14632479,81.7,12.4,11.87,HOLD,2026-07-01,29
TRUE,2026-08-10,13.5,0.75,87056629,45.9,13.86,13.62,HOLD,2026-07-31,7
HMPRO,2026-08-10,6.7,0.75,48172588,58.6,6.6,6.39,HOLD,2026-08-05,4
BEM,2026-08-10,7.1,0.71,20605197,82.0,6.71,6.15,HOLD,2026-06-19,37
PTTGC,2026-08-10,37.5,0.67,40629236,56.0,37.51,35.11,HOLD,2026-07-23,13
GLOBAL,2026-08-10,7.7,0.65,14695883,59.9,7.45,7.02,HOLD,2026-08-04,5
BGRIM,2026-08-10,17.8,0.56,10558536,41.9,18.99,17.55,HOLD,2026-06-15,41
CK,2026-08-10,18.7,0.54,6424398,52.4,18.41,18.93,HOLD,2026-07-30,8
AOT,2026-08-10,63.25,0.4,9550610,52.2,63.54,61.72,HOLD,2026-05-18,61
PTTEP,2026-08-10,149.5,0.34,11452177,62.1,148.0,141.47,HOLD,2026-07-28,10
COM7,2026-08-10,30.25,0.0,5093160,59.4,30.14,28.59,HOLD,2026-07-28,10
CBG,2026-08-10,51.25,0.0,1378150,57.5,51.15,46.89,HOLD,2026-06-23,35
BTG,2026-08-10,20.9,0.0,796714,46.0,21.14,20.75,HOLD,2026-07-10,22
BTS,2026-08-10,2.08,0.0,14989831,46.7,2.11,2.1,HOLD,2026-07-13,21
BCPG,2026-08-10,7.05,0.0,2631868,42.6,7.27,7.07,HOLD,2026-07-09,23
BA,2026-08-10,19.7,0.0,4923993,64.6,18.77,18.01,HOLD,2026-08-04,5
SCGP,2026-08-10,31.0,0.0,5757703,60.0,30.24,28.22,HOLD,2026-07-21,15
SAPPE,2026-08-10,34.25,0.0,296716,56.8,33.77,32.24,HOLD,2026-07-27,11
RATCH,2026-08-10,39.25,0.0,4279557,70.7,38.55,34.46,HOLD,2026-06-30,30
PTT,2026-08-10,38.75,0.0,143962999,58.4,38.83,37.16,HOLD,2026-07-20,16
TISCO,2026-08-10,129.0,0.0,1856522,61.4,128.9,122.01,HOLD,2026-06-08,46
STA,2026-08-10,18.3,0.0,4770913,47.3,18.69,18.36,HOLD,2026-07-31,7
STGT,2026-08-10,10.8,0.0,1245445,57.3,10.61,10.61,HOLD,2026-07-29,9
SJWD,2026-08-10,10.0,0.0,2398079,72.5,9.43,8.52,HOLD,2026-07-02,28
JAS,2026-08-10,1.07,0.0,16001055,37.3,1.09,1.13,HOLD,2026-07-15,19
KTC,2026-08-10,39.0,0.0,9646922,66.2,38.79,35.13,HOLD,2026-06-15,41
HANA,2026-08-10,36.25,0.0,14518993,48.0,37.1,37.14,SELL,2026-08-10,1
TTB,2026-08-10,3.1,0.0,280058330,72.3,2.97,2.65,HOLD,2026-06-15,41
SCC,2026-08-10,258.0,-0.39,940818,58.3,256.25,246.74,HOLD,2026-07-15,19
SAWAD,2026-08-10,24.9,-0.4,16212634,53.7,25.01,23.5,HOLD,2026-07-07,25
MINT,2026-08-10,23.3,-0.43,21592079,48.5,23.31,23.5,HOLD,2026-08-04,5
KKP,2026-08-10,112.0,-0.44,7052268,55.2,112.85,102.44,HOLD,2026-04-30,73
IVL,2026-08-10,22.0,-0.45,16925181,39.2,23.47,22.88,HOLD,2026-07-24,12
SISB,2026-08-10,9.7,-0.51,1747416,44.6,9.88,9.86,HOLD,2026-07-15,19
CPALL,2026-08-10,48.75,-0.51,23946772,61.9,47.44,46.78,HOLD,2026-08-03,6
LH,2026-08-10,3.76,-0.53,23002849,48.0,3.79,3.73,HOLD,2026-08-04,5
PR9,2026-08-10,18.4,-0.54,1747432,61.1,18.0,17.46,HOLD,2026-08-07,2
ERW,2026-08-10,3.62,-0.55,14052710,67.5,3.33,3.12,HOLD,2026-07-22,14
CHG,2026-08-10,1.64,-0.61,21322655,61.6,1.58,1.54,HOLD,2026-08-07,2
SPALI,2026-08-10,15.8,-0.63,1590126,46.1,15.91,15.83,HOLD,2026-07-30,8
BJC,2026-08-10,15.8,-0.63,4860991,57.0,15.61,14.88,HOLD,2026-07-27,11
SIRI,2026-08-10,1.52,-0.65,14108683,58.7,1.51,1.46,HOLD,2026-06-18,38
TASCO,2026-08-10,15.1,-0.66,6676994,65.3,14.4,14.01,HOLD,2026-07-17,17
SNNP,2026-08-10,7.05,-0.7,560054,52.4,7.08,6.88,HOLD,2026-07-09,23
MTC,2026-08-10,34.75,-0.71,4795885,61.4,34.06,31.77,HOLD,2026-07-17,17
BAM,2026-08-10,6.8,-0.73,5869023,47.6,6.89,6.72,HOLD,2026-07-29,9
BH,2026-08-10,191.0,-0.78,4829212,61.2,185.57,184.89,HOLD,2026-08-03,6
ADVANC,2026-08-10,371.0,-0.8,4703725,47.7,375.95,368.26,HOLD,2026-07-01,29
KBANK,2026-08-10,248.0,-0.8,7372571,70.2,240.5,223.93,HOLD,2026-06-17,39
OR,2026-08-10,12.4,-0.8,25384596,38.9,12.79,12.55,HOLD,2026-07-14,20
