Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
DELTA,2026-09-07,276.0,7.81,32122335,56.8,259.05,281.42,HOLD,2026-08-26,9
IRPC,2026-09-07,3.0,6.38,254149875,78.8,2.56,2.27,HOLD,2026-09-01,5
BANPU,2026-09-07,15.3,4.79,9297443,84.7,12.89,11.97,HOLD,2026-07-24,14
ADVANC,2026-09-07,357.0,3.18,6588484,46.2,360.1,368.9,HOLD,2026-08-27,8
GUNKUL,2026-09-07,5.1,2.82,75971167,53.7,5.05,4.97,HOLD,2026-06-30,50
BEM,2026-09-07,6.85,2.24,17838437,49.2,7.01,6.71,HOLD,2026-06-19,57
BCPG,2026-09-07,7.45,2.05,8580468,60.3,7.17,7.21,HOLD,2026-08-24,11
TOP,2026-09-07,64.0,1.99,20826850,53.9,63.91,60.79,HOLD,2026-07-09,43
JMART,2026-09-07,10.3,1.98,4738276,40.9,10.89,10.9,SELL,2026-09-07,1
JMT,2026-09-07,10.6,1.92,4838970,35.7,11.24,11.72,HOLD,2026-08-27,8
AP,2026-09-07,8.15,1.87,8106187,52.2,8.18,8.02,HOLD,2026-07-14,40
KKP,2026-09-07,118.5,1.72,8464580,60.7,113.97,111.27,HOLD,2026-08-27,8
HANA,2026-09-07,46.5,1.64,12548837,60.3,44.74,40.16,HOLD,2026-08-18,15
ERW,2026-09-07,3.78,1.61,18104797,64.1,3.7,3.42,HOLD,2026-07-22,34
HMPRO,2026-09-07,6.5,1.56,38919789,49.7,6.53,6.55,HOLD,2026-09-04,2
EA,2026-09-07,2.92,1.39,46555976,50.5,2.9,2.96,HOLD,2026-09-01,5
WHA,2026-09-07,4.84,1.26,125050670,48.0,4.84,5.02,HOLD,2026-09-03,3
CK,2026-09-07,17.9,1.13,4296453,43.5,18.52,18.65,HOLD,2026-09-01,5
JAS,2026-09-07,0.9,1.12,8511634,30.6,0.96,1.05,HOLD,2026-07-15,39
PTTGC,2026-09-07,45.75,1.1,30396917,75.2,41.75,38.51,HOLD,2026-08-19,14
BA,2026-09-07,19.3,1.05,6190861,54.6,19.15,18.87,HOLD,2026-08-04,25
PRM,2026-09-07,9.95,1.02,5856017,55.8,9.87,9.64,HOLD,2026-07-07,45
M,2026-09-07,21.3,0.95,348474,48.1,21.48,21.53,HOLD,2026-09-03,3
CBG,2026-09-07,54.25,0.93,2897128,52.3,55.04,52.29,HOLD,2026-06-24,54
BCH,2026-09-07,11.0,0.92,4122504,51.2,11.09,10.65,HOLD,2026-08-21,12
ROJNA,2026-09-07,5.75,0.88,1436803,41.1,5.94,5.95,SELL,2026-09-07,1
SCGP,2026-09-07,29.5,0.85,5539593,48.9,29.71,29.7,HOLD,2026-07-21,35
PLANB,2026-09-07,6.15,0.82,13336070,50.3,6.27,5.84,HOLD,2026-07-06,46
GULF,2026-09-07,62.25,0.81,60885694,40.6,63.58,64.38,HOLD,2026-09-04,2
TRUE,2026-09-07,13.1,0.77,99846791,45.0,13.22,13.45,HOLD,2026-08-28,7
SCC,2026-09-07,261.0,0.77,3806573,56.7,255.15,253.18,HOLD,2026-09-07,1
TU,2026-09-07,13.2,0.76,4726492,57.8,13.04,12.54,HOLD,2026-07-01,49
AWC,2026-09-07,3.02,0.67,45245240,55.1,3.0,2.88,HOLD,2026-07-28,30
PTTEP,2026-09-07,150.0,0.67,14832592,55.4,148.93,145.88,HOLD,2026-07-28,30
CHG,2026-09-07,1.57,0.64,33651722,51.6,1.57,1.58,HOLD,2026-09-02,4
SPALI,2026-09-07,16.1,0.63,2984602,48.8,16.28,16.09,HOLD,2026-08-14,17
TCAP,2026-09-07,83.5,0.6,1897863,50.7,86.11,79.3,HOLD,2026-06-18,58
DOHOME,2026-09-07,3.58,0.56,4763694,41.3,3.67,3.8,HOLD,2026-09-02,4
BH,2026-09-07,193.5,0.52,1181549,50.9,194.97,189.89,HOLD,2026-08-03,26
KBANK,2026-09-07,249.0,0.4,6171687,55.0,249.85,241.82,HOLD,2026-06-17,59
CPN,2026-09-07,65.0,0.39,5118817,44.4,65.66,66.75,HOLD,2026-09-02,4
SCB,2026-09-07,152.0,0.33,14184686,50.4,151.82,153.09,HOLD,2026-09-01,5
SIRI,2026-09-07,1.46,0.0,45707610,39.6,1.5,1.49,HOLD,2026-06-18,58
SNNP,2026-09-07,6.75,0.0,234033,43.1,6.81,6.94,HOLD,2026-08-31,6
STGT,2026-09-07,11.0,0.0,2911764,54.3,10.89,10.68,HOLD,2026-09-07,1
RATCH,2026-09-07,38.25,0.0,4639535,55.7,37.52,37.3,BUY,2026-09-07,1
STA,2026-09-07,22.5,0.0,17867607,69.7,20.49,19.17,HOLD,2026-08-20,13
GLOBAL,2026-09-07,6.8,0.0,7159942,38.2,7.15,7.26,HOLD,2026-09-04,2
BTG,2026-09-07,20.6,0.0,1247469,46.8,20.75,21.0,HOLD,2026-09-02,4
COM7,2026-09-07,30.0,0.0,9080586,53.5,29.56,29.57,SELL,2026-09-07,1
CKP,2026-09-07,2.42,0.0,2333141,41.7,2.5,2.53,HOLD,2026-09-02,4
CENTEL,2026-09-07,42.75,0.0,1254373,61.3,42.2,39.39,HOLD,2026-08-12,19
BDMS,2026-09-07,20.4,0.0,86708805,63.5,19.78,19.59,HOLD,2026-09-04,2
BAM,2026-09-07,6.4,0.0,6475702,40.7,6.46,6.7,HOLD,2026-08-25,10
AMATA,2026-09-07,33.0,0.0,2909973,62.1,31.14,29.09,HOLD,2026-09-04,2
BTS,2026-09-07,2.04,0.0,12188393,42.3,2.07,2.1,HOLD,2026-09-02,4
AEONTS,2026-09-07,98.5,0.0,203724,36.6,101.06,103.92,HOLD,2026-08-28,7
RCL,2026-09-07,41.25,0.0,2073878,52.3,42.73,37.15,HOLD,2026-08-11,20
QH,2026-09-07,1.4,0.0,5518861,41.1,1.43,1.41,HOLD,2026-08-03,26
MOSHI,2026-09-07,38.75,0.0,96499,45.8,39.45,39.6,HOLD,2026-09-07,1
KTC,2026-09-07,37.5,0.0,4820270,50.4,37.52,37.69,SELL,2026-09-07,1
LH,2026-09-07,3.66,0.0,7760941,41.8,3.68,3.74,HOLD,2026-08-26,9
MINT,2026-09-07,22.2,0.0,8907279,41.2,22.51,23.15,HOLD,2026-08-12,19
GPSC,2026-09-07,50.25,0.0,3334587,46.9,50.76,50.69,HOLD,2026-08-27,8
OSP,2026-09-07,16.5,0.0,7175204,41.2,17.12,17.33,HOLD,2026-09-01,5
MTC,2026-09-07,30.25,0.0,7119257,30.9,32.06,32.93,HOLD,2026-09-03,3
ICHI,2026-09-07,14.0,0.0,1401828,42.1,14.4,14.52,HOLD,2026-09-04,2
EGCO,2026-09-07,129.0,0.0,726738,42.8,131.55,130.2,HOLD,2026-08-31,6
SAPPE,2026-09-07,34.5,0.0,154315,51.4,34.58,33.89,HOLD,2026-08-27,8
PTT,2026-09-07,41.5,0.0,62179649,65.8,40.52,39.08,HOLD,2026-08-17,16
BBL,2026-09-07,193.0,-0.26,7409786,55.4,191.15,192.44,HOLD,2026-09-03,3
CPF,2026-09-07,23.3,-0.43,9914127,56.9,23.06,22.28,HOLD,2026-07-02,48
PR9,2026-09-07,19.5,-0.51,1494270,67.0,18.55,18.17,HOLD,2026-08-21,12
BGRIM,2026-09-07,19.6,-0.51,13580379,54.3,19.14,18.89,HOLD,2026-08-21,12
SJWD,2026-09-07,9.3,-0.53,1436442,43.3,9.77,9.36,HOLD,2026-07-02,48
CPALL,2026-09-07,46.0,-0.54,21914759,42.4,46.67,47.12,HOLD,2026-09-04,2
SISB,2026-09-07,9.1,-0.55,792396,35.2,9.37,9.73,HOLD,2026-09-01,5
KTB,2026-09-07,43.25,-0.57,11023034,48.5,43.8,42.69,HOLD,2026-06-17,59
ITC,2026-09-07,17.3,-0.57,1250764,49.1,17.41,17.06,HOLD,2026-08-25,10
TASCO,2026-09-07,17.2,-0.58,3468004,62.7,16.7,15.19,HOLD,2026-07-17,37
SKY,2026-09-07,16.8,-0.59,371841,40.4,17.78,17.29,HOLD,2026-07-13,41
MEGA,2026-09-07,35.75,-0.69,734348,42.1,36.69,37.39,HOLD,2026-09-02,4
TISCO,2026-09-07,126.0,-0.79,3069126,46.3,126.78,126.58,HOLD,2026-06-08,66
SAWAD,2026-09-07,22.9,-0.87,5866111,40.2,23.69,24.28,HOLD,2026-09-01,5
CRC,2026-09-07,28.0,-0.88,5818153,55.5,27.85,25.62,HOLD,2026-09-02,4
TLI,2026-09-07,11.1,-0.89,3857844,41.6,11.32,11.57,HOLD,2026-08-26,9
IVL,2026-09-07,25.25,-0.98,21501147,70.8,22.93,23.11,SELL,2026-09-01,5
AAV,2026-09-07,1.0,-0.99,8760676,28.3,1.03,1.06,HOLD,2026-08-20,13
VGI,2026-09-07,0.99,-1.0,22347208,45.4,1.03,1.0,HOLD,2026-07-10,42
CCET,2026-09-07,9.6,-1.03,115519270,61.6,8.99,8.79,HOLD,2026-09-03,3
TIDLOR,2026-09-07,18.8,-1.05,10517726,42.1,19.37,19.31,HOLD,2026-08-21,12
BLA,2026-09-07,23.7,-1.25,2405433,38.2,24.48,25.42,HOLD,2026-08-31,6
SPRC,2026-09-07,13.1,-1.5,20007716,66.4,12.37,10.59,HOLD,2026-06-29,51
OR,2026-09-07,12.6,-1.56,25265335,50.6,12.52,12.65,HOLD,2026-08-25,10
AOT,2026-09-07,62.5,-1.57,14961805,42.4,64.51,63.99,HOLD,2026-08-18,15
BCP,2026-09-07,59.75,-1.65,33018580,76.1,52.64,45.74,HOLD,2026-07-15,39
COCOCO,2026-09-07,5.7,-1.72,391954,42.0,5.91,5.9,HOLD,2026-08-06,23
KCE,2026-09-07,56.25,-1.75,23047548,61.6,54.34,46.84,HOLD,2026-08-06,23
BJC,2026-09-07,16.7,-1.76,7948098,59.4,16.07,15.62,HOLD,2026-09-07,1
TTB,2026-09-07,2.92,-2.01,444765030,48.5,2.95,2.88,HOLD,2026-06-15,61
