Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BJC,2026-09-03,16.5,7.84,36250892,59.0,15.97,15.53,HOLD,2026-08-21,10
COM7,2026-09-03,30.5,7.02,24645702,57.3,29.59,29.46,HOLD,2026-07-28,28
AMATA,2026-09-03,32.75,5.65,12170293,61.2,30.75,28.83,BUY,2026-09-03,1
BDMS,2026-09-03,20.6,4.04,242484717,68.5,19.74,19.54,BUY,2026-09-03,1
PR9,2026-09-03,19.3,3.76,7641563,66.1,18.44,18.1,HOLD,2026-08-21,10
BCH,2026-09-03,11.2,3.7,22031353,55.1,11.11,10.61,HOLD,2026-08-21,10
BTG,2026-09-03,20.7,3.5,7140469,48.2,20.78,21.0,HOLD,2026-09-02,2
CHG,2026-09-03,1.56,3.31,78181708,50.2,1.57,1.58,HOLD,2026-09-02,2
STGT,2026-09-03,11.0,2.8,3034878,54.3,10.87,10.65,HOLD,2026-08-12,17
BANPU,2026-09-03,15.0,2.74,12416307,83.3,12.87,11.96,HOLD,2026-07-24,14
ROJNA,2026-09-03,5.75,2.68,2391057,39.9,5.98,5.94,HOLD,2026-09-03,1
WHA,2026-09-03,4.74,2.6,96975377,41.4,4.85,5.03,HOLD,2026-09-03,1
JAS,2026-09-03,0.87,2.35,22171668,19.6,0.98,1.06,HOLD,2026-07-15,37
TU,2026-09-03,13.2,2.33,31483117,58.3,13.06,12.47,HOLD,2026-07-01,47
PRM,2026-09-03,10.0,2.04,14984847,58.2,9.88,9.6,HOLD,2026-07-07,43
BH,2026-09-03,194.0,1.84,6208338,51.7,194.85,189.76,HOLD,2026-08-03,24
PTT,2026-09-03,41.75,1.83,113014466,69.5,40.25,38.82,HOLD,2026-08-17,14
TLI,2026-09-03,11.2,1.82,22820387,44.2,11.37,11.58,HOLD,2026-08-26,7
CPF,2026-09-03,23.5,1.73,13819738,60.5,22.89,22.13,HOLD,2026-07-02,46
BLA,2026-09-03,23.8,1.71,2399109,38.2,24.61,25.45,HOLD,2026-08-31,4
SJWD,2026-09-03,9.25,1.65,2141389,41.6,9.83,9.31,HOLD,2026-07-02,46
AOT,2026-09-03,62.75,1.62,20052719,42.7,64.53,63.98,HOLD,2026-08-18,13
BA,2026-09-03,19.1,1.6,8051206,51.5,19.21,18.83,HOLD,2026-08-04,23
SNNP,2026-09-03,6.7,1.52,86042,38.9,6.85,6.94,HOLD,2026-08-31,4
ICHI,2026-09-03,14.1,1.44,8819717,44.0,14.5,14.52,SELL,2026-09-03,1
RATCH,2026-09-03,37.25,1.36,7427141,49.2,37.62,37.01,HOLD,2026-06-30,48
CK,2026-09-03,17.8,1.14,3432088,41.8,18.6,18.73,HOLD,2026-09-01,3
CPALL,2026-09-03,46.0,1.1,30045140,41.8,46.95,47.1,SELL,2026-09-03,1
TCAP,2026-09-03,83.0,0.91,2128936,49.0,86.47,78.61,HOLD,2026-06-18,56
