Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
PLANB,2026-09-25,6.05,5.22,17691634,48.8,6.12,6.1,HOLD,2026-07-06,60
DELTA,2026-09-25,263.0,3.14,30586909,54.1,253.5,265.04,HOLD,2026-09-17,7
GUNKUL,2026-09-25,5.3,2.91,231388798,58.2,5.08,5.1,HOLD,2026-09-17,7
AWC,2026-09-25,3.14,1.95,70058439,61.4,3.05,3.0,BUY,2026-09-25,1
SKY,2026-09-25,17.9,1.7,599922,53.5,17.49,17.89,HOLD,2026-09-17,7
CCET,2026-09-25,9.05,1.69,33168467,50.5,9.19,8.86,HOLD,2026-09-03,17
SJWD,2026-09-25,9.95,1.53,1270075,57.3,9.55,9.67,HOLD,2026-09-17,7
CHG,2026-09-25,1.58,1.28,56847453,52.1,1.56,1.57,HOLD,2026-09-10,12
SPALI,2026-09-25,16.2,1.25,3948659,52.8,16.05,16.11,HOLD,2026-09-23,3
CK,2026-09-25,17.9,1.13,6672184,48.1,17.81,18.27,HOLD,2026-09-01,19
BGRIM,2026-09-25,19.3,1.05,15345734,51.1,19.38,19.11,HOLD,2026-09-10,12
VGI,2026-09-25,0.98,1.03,24790440,46.4,0.99,1.01,HOLD,2026-09-17,7
BDMS,2026-09-25,20.2,1.0,23123318,55.1,20.06,19.73,HOLD,2026-09-04,16
ROJNA,2026-09-25,5.75,0.88,551627,46.3,5.74,5.95,HOLD,2026-09-08,14
BCH,2026-09-25,11.4,0.88,38116403,57.8,11.09,10.95,HOLD,2026-09-18,6
OR,2026-09-25,12.4,0.81,10562714,47.5,12.47,12.57,HOLD,2026-09-25,1
GLOBAL,2026-09-25,6.45,0.78,11641086,37.6,6.58,7.06,HOLD,2026-09-04,16
BH,2026-09-25,197.5,0.77,2453191,53.9,195.85,192.7,HOLD,2026-09-17,7
BAM,2026-09-25,6.8,0.74,15325426,58.4,6.58,6.66,HOLD,2026-08-25,24
MEGA,2026-09-25,34.75,0.72,438571,37.0,35.65,36.88,HOLD,2026-09-25,1
EA,2026-09-25,2.82,0.71,26367711,41.0,2.88,2.92,HOLD,2026-09-23,3
SIRI,2026-09-25,1.46,0.69,5691692,47.1,1.46,1.49,HOLD,2026-09-23,3
TASCO,2026-09-25,16.9,0.6,6539218,51.3,17.22,16.11,HOLD,2026-07-17,51
TIDLOR,2026-09-25,17.3,0.58,15735391,31.0,18.22,18.94,HOLD,2026-09-11,11
SISB,2026-09-25,8.85,0.57,1417722,32.1,9.04,9.38,HOLD,2026-09-01,19
ERW,2026-09-25,3.7,0.54,5947354,49.8,3.74,3.62,HOLD,2026-09-11,11
GPSC,2026-09-25,48.75,0.52,6013235,44.3,49.59,50.94,HOLD,2026-09-10,12
RCL,2026-09-25,49.75,0.51,10161925,71.9,44.06,40.76,HOLD,2026-08-11,34
GULF,2026-09-25,60.75,0.41,26253652,39.9,61.64,63.89,HOLD,2026-09-04,16
KBANK,2026-09-25,252.0,0.4,8649353,53.6,250.15,247.78,HOLD,2026-09-21,5
AOT,2026-09-25,62.25,0.4,9410985,47.8,62.12,63.45,HOLD,2026-09-17,7
BBL,2026-09-25,193.0,0.26,5132391,51.4,192.57,192.2,HOLD,2026-09-25,1
CRC,2026-09-25,30.0,0.0,2505846,59.2,29.26,27.39,HOLD,2026-09-21,5
COM7,2026-09-25,30.75,0.0,4089851,58.0,29.77,29.87,HOLD,2026-09-10,12
AEONTS,2026-09-25,95.5,0.0,505543,33.1,97.54,101.39,SELL,2026-09-25,1
ADVANC,2026-09-25,345.0,0.0,4474128,41.6,349.7,362.0,HOLD,2026-09-21,5
RATCH,2026-09-25,38.25,0.0,3128471,53.8,37.98,38.1,HOLD,2026-09-15,9
SCB,2026-09-25,156.0,0.0,10361133,62.3,152.15,152.62,HOLD,2026-09-23,3
TRUE,2026-09-25,12.7,0.0,32985006,40.8,12.87,13.32,HOLD,2026-09-17,7
BANPU,2026-09-25,14.6,0.0,11329094,81.0,12.85,11.95,HOLD,2026-07-24,14
MOSHI,2026-09-25,34.75,0.0,286688,30.5,36.77,38.92,HOLD,2026-09-07,15
STGT,2026-09-25,10.9,0.0,1349205,52.7,10.86,10.77,BUY,2026-09-25,1
KTC,2026-09-25,36.75,0.0,2502476,44.7,37.01,37.8,HOLD,2026-09-08,14
LH,2026-09-25,3.62,0.0,7671080,42.5,3.64,3.7,HOLD,2026-09-22,4
PR9,2026-09-25,19.3,0.0,1443685,53.6,19.34,18.63,HOLD,2026-09-18,6
OSP,2026-09-25,16.3,0.0,6901598,44.7,16.21,16.99,HOLD,2026-09-01,19
JMT,2026-09-25,10.5,0.0,2038080,40.4,10.58,11.33,HOLD,2026-08-27,22
MINT,2026-09-25,21.6,0.0,10792531,40.5,21.85,22.54,HOLD,2026-09-14,10
BTS,2026-09-25,2.0,0.0,33702614,41.2,2.02,2.06,HOLD,2026-09-02,18
COCOCO,2026-09-25,5.6,0.0,102495,43.1,5.68,5.84,HOLD,2026-09-10,12
CPN,2026-09-25,63.0,0.0,4995056,39.0,64.31,65.84,HOLD,2026-09-25,1
CKP,2026-09-25,2.42,0.0,2940300,46.8,2.41,2.5,HOLD,2026-09-02,18
BJC,2026-09-25,17.9,0.0,3887325,65.1,16.94,16.33,HOLD,2026-09-07,15
AP,2026-09-25,7.9,0.0,5556616,40.0,8.04,8.11,HOLD,2026-09-22,4
BA,2026-09-25,19.5,0.0,3927837,58.5,18.94,18.99,HOLD,2026-09-18,6
HMPRO,2026-09-25,6.2,0.0,10382894,41.8,6.27,6.46,HOLD,2026-09-04,16
JMART,2026-09-25,10.1,0.0,847724,45.7,10.11,10.72,HOLD,2026-09-08,14
ICHI,2026-09-25,13.8,0.0,1796350,44.6,13.81,14.37,HOLD,2026-09-04,16
HANA,2026-09-25,50.5,0.0,14845076,61.1,48.17,43.49,HOLD,2026-09-24,2
EGCO,2026-09-25,129.5,-0.38,460979,48.1,130.12,131.67,HOLD,2026-09-16,8
TISCO,2026-09-25,127.0,-0.39,1815237,51.9,126.42,127.51,HOLD,2026-09-09,13
KKP,2026-09-25,115.0,-0.43,3946807,49.2,116.25,114.68,HOLD,2026-08-27,22
SAWAD,2026-09-25,22.3,-0.45,4377052,39.1,22.72,23.83,HOLD,2026-09-01,19
CBG,2026-09-25,55.25,-0.45,3978531,56.0,54.15,53.48,HOLD,2026-09-22,4
M,2026-09-25,20.8,-0.48,368094,39.0,21.1,21.35,HOLD,2026-09-25,1
BTG,2026-09-25,20.3,-0.49,2300686,41.9,20.71,20.89,HOLD,2026-09-24,2
CPALL,2026-09-25,44.0,-0.56,29780464,31.5,45.35,46.55,HOLD,2026-09-04,16
CENTEL,2026-09-25,43.75,-0.57,619252,56.8,43.36,41.38,HOLD,2026-09-10,12
PTT,2026-09-25,43.0,-0.58,159410891,67.9,41.99,40.49,HOLD,2026-08-17,30
ITC,2026-09-25,16.6,-0.6,7838511,42.9,16.96,17.18,HOLD,2026-09-23,3
QH,2026-09-25,1.37,-0.72,8556536,35.3,1.39,1.42,HOLD,2026-09-15,9
BCPG,2026-09-25,6.7,-0.74,7541028,36.3,7.08,7.15,HOLD,2026-09-17,7
SNNP,2026-09-25,6.65,-0.75,205609,41.7,6.69,6.86,HOLD,2026-09-21,5
BEM,2026-09-25,6.55,-0.76,33604141,41.6,6.74,6.86,SELL,2026-09-25,1
SCGP,2026-09-25,30.25,-0.82,5689836,50.7,30.19,30.18,HOLD,2026-09-25,1
WHA,2026-09-25,4.76,-0.83,80835910,47.3,4.75,4.88,HOLD,2026-09-15,9
MTC,2026-09-25,29.0,-0.85,6491162,28.7,29.82,32.12,HOLD,2026-09-03,17
IVL,2026-09-25,28.5,-0.87,17823470,62.2,27.72,24.72,HOLD,2026-09-10,12
TLI,2026-09-25,11.4,-0.87,12006345,49.8,11.32,11.47,HOLD,2026-08-26,23
