Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
IRPC,2026-09-23,3.08,7.69,342586926,63.7,2.86,2.52,HOLD,2026-09-01,17
STGT,2026-09-23,11.0,3.77,2769864,55.5,10.83,10.76,HOLD,2026-09-11,9
STA,2026-09-23,22.0,3.77,19739459,58.1,21.86,20.11,HOLD,2026-08-20,25
TOP,2026-09-23,71.0,3.27,23772160,64.5,65.62,64.66,HOLD,2026-09-22,2
JMART,2026-09-23,10.3,3.0,6890381,49.8,10.21,10.78,HOLD,2026-09-08,12
GUNKUL,2026-09-23,5.3,2.91,89509062,59.9,5.07,5.1,HOLD,2026-09-17,5
CCET,2026-09-23,9.15,2.23,57503962,53.0,9.2,8.86,HOLD,2026-09-03,15
SPRC,2026-09-23,14.3,2.14,22258365,66.7,13.48,11.98,HOLD,2026-06-29,63
BANPU,2026-09-23,14.9,2.05,9050219,82.7,12.87,11.96,HOLD,2026-07-24,14
PTTGC,2026-09-23,50.5,2.02,30776370,67.2,47.26,42.09,HOLD,2026-08-19,26
OSP,2026-09-23,16.4,1.86,24494442,47.0,16.27,17.04,HOLD,2026-09-01,17
CK,2026-09-23,18.1,1.69,7016544,50.8,17.92,18.29,HOLD,2026-09-01,17
CRC,2026-09-23,30.25,1.68,9815412,61.3,29.05,27.12,HOLD,2026-09-21,3
DELTA,2026-09-23,256.0,1.59,25633972,49.7,252.6,266.76,HOLD,2026-09-17,5
RCL,2026-09-23,48.0,1.59,8084761,68.2,43.62,40.06,HOLD,2026-08-11,32
BDMS,2026-09-23,20.2,1.51,52044860,55.7,20.01,19.71,HOLD,2026-09-04,14
ICHI,2026-09-23,13.9,1.46,5975954,47.2,13.84,14.41,HOLD,2026-09-04,14
SIRI,2026-09-23,1.46,1.39,9569371,46.5,1.46,1.49,HOLD,2026-09-23,1
CPN,2026-09-23,64.5,1.18,5766558,47.6,64.59,66.05,HOLD,2026-09-02,16
AAV,2026-09-23,0.87,1.16,51301956,27.8,0.97,1.02,HOLD,2026-08-20,25
CPALL,2026-09-23,44.75,1.13,32262001,37.4,45.56,46.66,HOLD,2026-09-04,14
PR9,2026-09-23,19.5,1.04,2729845,57.3,19.28,18.58,HOLD,2026-09-18,4
GPSC,2026-09-23,49.25,1.03,7430082,46.7,50.09,51.12,HOLD,2026-09-10,10
VGI,2026-09-23,0.99,1.02,14144099,48.3,0.99,1.01,HOLD,2026-09-17,5
BTS,2026-09-23,2.02,1.0,24084415,45.3,2.03,2.07,HOLD,2026-09-02,16
JMT,2026-09-23,10.7,0.94,6115394,45.1,10.65,11.4,HOLD,2026-08-27,20
COCOCO,2026-09-23,5.7,0.88,385830,47.8,5.71,5.86,HOLD,2026-09-10,10
IVL,2026-09-23,29.25,0.86,21620741,69.5,27.19,24.56,HOLD,2026-09-10,10
WHA,2026-09-23,4.82,0.84,90836867,51.9,4.76,4.9,HOLD,2026-09-15,7
CKP,2026-09-23,2.44,0.83,3204696,49.1,2.43,2.5,HOLD,2026-09-02,16
GLOBAL,2026-09-23,6.5,0.78,13236945,38.0,6.65,7.1,HOLD,2026-09-04,14
KCE,2026-09-23,67.5,0.75,33276015,73.7,61.3,52.23,HOLD,2026-08-06,35
BCPG,2026-09-23,6.8,0.74,3766920,39.3,7.13,7.18,HOLD,2026-09-17,5
BEM,2026-09-23,6.95,0.72,42957709,55.7,6.79,6.86,HOLD,2026-09-21,3
BAM,2026-09-23,6.95,0.72,22467906,69.7,6.54,6.66,HOLD,2026-08-25,22
MOSHI,2026-09-23,35.75,0.7,381897,35.5,37.16,39.1,HOLD,2026-09-07,13
EA,2026-09-23,2.86,0.7,33881571,44.4,2.89,2.93,HOLD,2026-09-23,1
AWC,2026-09-23,3.1,0.65,69100476,58.6,3.05,2.98,HOLD,2026-07-28,42
RATCH,2026-09-23,38.5,0.65,3769424,56.4,37.91,38.09,HOLD,2026-09-15,7
AP,2026-09-23,7.95,0.63,11111507,42.7,8.06,8.12,HOLD,2026-09-22,2
SPALI,2026-09-23,16.0,0.63,2160684,47.4,16.07,16.11,HOLD,2026-09-23,1
TCAP,2026-09-23,84.25,0.6,1693757,54.3,83.44,82.33,HOLD,2026-06-18,70
DOHOME,2026-09-23,3.48,0.58,9221861,41.2,3.51,3.73,HOLD,2026-09-17,5
SKY,2026-09-23,17.8,0.56,302110,52.4,17.5,17.86,HOLD,2026-09-17,5
LH,2026-09-23,3.64,0.55,16079009,46.3,3.64,3.71,HOLD,2026-09-22,2
BGRIM,2026-09-23,19.5,0.52,22919590,53.0,19.53,19.12,HOLD,2026-09-10,10
BA,2026-09-23,19.7,0.51,5568688,62.4,18.93,18.95,HOLD,2026-09-18,4
AOT,2026-09-23,62.5,0.4,13922374,49.0,62.33,63.52,HOLD,2026-09-17,5
EGCO,2026-09-23,130.5,0.38,863084,51.0,130.55,131.69,HOLD,2026-09-16,6
