Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
SAPPE,2026-08-20,35.75,5.93,744382,64.4,34.31,32.94,HOLD,2026-07-27,19
CPF,2026-08-20,23.7,5.33,75987105,74.7,22.13,21.25,HOLD,2026-07-02,36
TIDLOR,2026-08-20,20.0,4.17,54254799,62.4,19.29,19.15,BUY,2026-08-20,1
CHG,2026-08-20,1.61,3.87,90968793,55.4,1.58,1.57,HOLD,2026-08-07,10
CK,2026-08-20,19.9,3.65,31694786,67.0,18.42,18.93,HOLD,2026-08-14,5
BCH,2026-08-20,11.4,3.64,20809100,66.6,10.8,10.26,BUY,2026-08-20,1
STA,2026-08-20,20.6,3.52,39354936,72.6,18.64,18.27,HOLD,2026-08-20,1
BTG,2026-08-20,20.9,2.96,6499843,50.4,20.94,20.88,HOLD,2026-07-10,30
TCAP,2026-08-20,89.25,2.88,5213507,69.5,83.25,74.25,HOLD,2026-06-17,47
CKP,2026-08-20,2.58,2.38,9433424,56.9,2.53,2.51,HOLD,2026-06-18,46
CBG,2026-08-20,58.75,2.17,10007879,77.8,52.67,49.19,HOLD,2026-06-23,43
BDMS,2026-08-20,19.8,2.06,164491949,58.7,19.47,19.24,HOLD,2026-08-07,10
MOSHI,2026-08-20,41.25,1.85,1680570,57.3,40.83,39.13,HOLD,2026-07-28,18
M,2026-08-20,22.3,1.83,1980193,59.9,21.51,21.47,HOLD,2026-08-18,3
SPALI,2026-08-20,16.8,1.82,7304150,68.9,16.13,15.98,HOLD,2026-08-14,5
CENTEL,2026-08-20,42.25,1.81,2965131,63.9,39.89,37.88,HOLD,2026-08-12,7
JMT,2026-08-20,11.7,1.74,15281734,47.4,11.92,11.76,HOLD,2026-07-13,29
ITC,2026-08-20,17.7,1.72,14327247,59.5,17.38,16.78,HOLD,2026-07-24,20
KBANK,2026-08-20,253.0,1.61,6789083,71.8,246.65,231.7,HOLD,2026-06-17,47
TU,2026-08-20,13.2,1.54,16687058,60.7,12.89,12.17,HOLD,2026-07-01,37
TTB,2026-08-20,2.84,1.43,2062101642,42.1,3.03,2.75,HOLD,2026-06-15,49
ICHI,2026-08-20,14.8,1.37,2520171,53.3,14.85,14.36,HOLD,2026-06-15,49
AP,2026-08-20,8.2,1.23,14328363,54.7,8.19,7.81,HOLD,2026-07-14,28
BJC,2026-08-20,16.6,1.22,9363135,61.9,16.06,15.18,BUY,2026-08-20,1
RCL,2026-08-20,44.75,1.13,11298493,86.5,37.45,34.4,HOLD,2026-08-11,8
BH,2026-08-20,198.0,1.02,8227934,66.7,189.22,187.22,HOLD,2026-08-03,14
BTS,2026-08-20,2.1,0.96,23225229,51.4,2.08,2.1,HOLD,2026-08-14,5
VGI,2026-08-20,1.12,0.9,185230220,67.5,1.01,0.98,HOLD,2026-07-10,30
MINT,2026-08-20,22.7,0.89,20409320,42.3,23.07,23.61,HOLD,2026-08-12,7
JMART,2026-08-20,11.4,0.88,19101179,58.7,11.05,10.51,HOLD,2026-07-10,30
MTC,2026-08-20,32.75,0.77,16665414,42.7,34.01,32.6,HOLD,2026-07-17,25
CPN,2026-08-20,66.0,0.76,6590250,44.2,67.2,66.83,HOLD,2026-08-03,14
HMPRO,2026-08-20,6.6,0.76,16078908,50.1,6.62,6.5,HOLD,2026-08-05,12
AOT,2026-08-20,66.75,0.75,24653527,69.5,64.16,63.02,HOLD,2026-08-18,3
BCPG,2026-08-20,7.1,0.71,2197726,47.7,7.15,7.14,HOLD,2026-07-09,31
QH,2026-08-20,1.45,0.69,9980967,56.3,1.44,1.4,HOLD,2026-08-03,14
MEGA,2026-08-20,36.75,0.68,1373036,41.2,38.05,37.14,HOLD,2026-07-07,33
PTTEP,2026-08-20,149.5,0.67,26923121,56.0,149.18,142.28,HOLD,2026-07-28,18
SIRI,2026-08-20,1.53,0.66,39786319,57.5,1.52,1.48,HOLD,2026-06-18,46
PTT,2026-08-20,40.75,0.62,83490599,72.1,39.19,37.7,HOLD,2026-08-17,4
TASCO,2026-08-20,16.9,0.6,9651942,73.1,15.17,14.38,HOLD,2026-07-17,25
LH,2026-08-20,3.66,0.55,40813700,37.2,3.76,3.75,HOLD,2026-08-04,13
PR9,2026-08-20,18.6,0.54,11401570,63.1,18.09,17.73,BUY,2026-08-20,1
CPALL,2026-08-20,46.75,0.54,19480006,44.3,47.62,47.03,HOLD,2026-08-03,14
BBL,2026-08-20,190.5,0.53,9016639,49.4,191.75,188.59,HOLD,2026-06-19,45
SAWAD,2026-08-20,23.7,0.42,22268422,41.9,24.6,23.99,HOLD,2026-07-07,33
SCB,2026-08-20,151.5,0.33,12629263,47.7,152.88,150.87,HOLD,2026-06-15,49
SISB,2026-08-20,9.45,0.0,1480770,39.2,9.63,9.82,HOLD,2026-08-12,7
WHA,2026-08-20,4.88,0.0,82350465,44.0,4.89,5.08,HOLD,2026-08-12,7
CRC,2026-08-20,27.75,0.0,14956113,63.1,26.08,24.3,HOLD,2026-07-30,16
BAM,2026-08-20,6.45,0.0,7946678,34.1,6.77,6.75,HOLD,2026-07-29,17
BEM,2026-08-20,7.25,0.0,36978161,74.9,6.93,6.45,HOLD,2026-06-19,45
AAV,2026-08-20,1.04,0.0,6674100,36.4,1.05,1.07,HOLD,2026-08-20,1
AEONTS,2026-08-20,102.0,0.0,319309,44.1,103.92,102.92,HOLD,2026-06-26,40
KKP,2026-08-20,112.5,0.0,13975854,56.6,113.08,105.89,HOLD,2026-05-11,74
OSP,2026-08-20,17.5,0.0,12142920,50.8,17.55,17.25,HOLD,2026-06-17,47
COM7,2026-08-20,30.0,0.0,8136203,52.7,30.15,29.14,HOLD,2026-07-28,18
KTB,2026-08-20,43.75,0.0,51390313,57.4,44.05,40.88,HOLD,2026-06-17,47
KTC,2026-08-20,37.5,0.0,27640627,47.4,38.36,36.35,HOLD,2026-06-02,58
OR,2026-08-20,12.4,0.0,7707833,41.1,12.58,12.56,HOLD,2026-07-14,28
BGRIM,2026-08-20,18.8,0.0,16239174,56.2,18.53,18.2,BUY,2026-08-20,1
DELTA,2026-08-20,263.0,-0.38,10115344,38.1,273.05,301.28,HOLD,2026-07-28,18
EGCO,2026-08-20,129.0,-0.39,528384,43.9,132.43,126.94,HOLD,2026-07-01,37
BLA,2026-08-20,24.9,-0.4,2636225,45.9,25.21,25.38,HOLD,2026-08-19,2
KCE,2026-08-20,55.25,-0.45,32740441,75.7,45.71,42.35,HOLD,2026-08-06,11
ERW,2026-08-20,3.72,-0.53,26970569,67.8,3.57,3.26,HOLD,2026-07-22,22
AWC,2026-08-20,2.96,-0.67,38261841,54.6,2.98,2.79,HOLD,2026-07-28,18
RATCH,2026-08-20,36.25,-0.68,3740538,39.5,38.34,35.66,HOLD,2026-06-30,38
EA,2026-08-20,2.92,-0.68,18774109,46.4,2.93,2.98,HOLD,2026-08-17,4
GLOBAL,2026-08-20,7.3,-0.68,11957771,47.2,7.48,7.15,HOLD,2026-08-04,13
SNNP,2026-08-20,6.9,-0.72,379406,43.0,7.02,6.92,HOLD,2026-07-09,31
TRUE,2026-08-20,13.3,-0.75,28029282,42.3,13.68,13.55,HOLD,2026-07-31,15
TISCO,2026-08-20,124.5,-0.8,4331984,38.3,128.32,124.15,HOLD,2026-06-08,54
COCOCO,2026-08-20,6.05,-0.82,4276933,54.1,5.98,5.84,HOLD,2026-08-06,11
ROJNA,2026-08-20,6.0,-0.83,3140781,48.0,6.1,5.87,HOLD,2026-07-13,29
SPRC,2026-08-20,11.9,-0.83,18075018,72.9,11.08,9.2,HOLD,2026-06-29,39
STGT,2026-08-20,11.2,-0.88,5601228,64.3,10.71,10.54,HOLD,2026-08-12,7
TLI,2026-08-20,11.3,-0.88,6990764,41.1,11.6,11.55,HOLD,2026-08-17,4
IVL,2026-08-20,21.6,-0.92,21291970,39.9,22.33,22.64,HOLD,2026-08-20,1
GUNKUL,2026-08-20,5.1,-0.97,23160500,56.5,5.08,4.73,HOLD,2026-06-30,38
PRM,2026-08-20,9.85,-1.01,1498007,50.8,10.02,9.41,HOLD,2026-07-07,33
GPSC,2026-08-20,49.25,-1.01,5561716,46.0,51.17,48.64,HOLD,2026-05-11,74
BA,2026-08-20,19.0,-1.04,7045294,51.2,19.12,18.5,HOLD,2026-08-04,13
BCP,2026-08-20,47.5,-1.04,21845634,63.1,46.3,40.31,HOLD,2026-07-15,27
DOHOME,2026-08-20,3.7,-1.07,20965028,41.3,3.91,3.77,HOLD,2026-08-04,13
ADVANC,2026-08-20,358.0,-1.1,6341689,34.3,372.15,369.74,HOLD,2026-07-01,37
GULF,2026-08-20,63.75,-1.16,44193442,41.3,65.64,64.3,HOLD,2026-08-03,14
SCC,2026-08-20,246.0,-1.2,2343539,36.4,255.7,250.22,HOLD,2026-07-15,27
BANPU,2026-08-20,14.4,-1.37,4114507,75.9,12.84,11.95,HOLD,2026-07-24,14
SKY,2026-08-20,18.4,-1.6,2257795,57.1,18.33,16.64,HOLD,2026-07-13,29
IRPC,2026-08-20,2.4,-1.64,72638157,61.5,2.3,2.04,HOLD,2026-07-22,22
PTTGC,2026-08-20,39.0,-1.89,27147883,58.0,38.12,35.86,HOLD,2026-08-19,2
SJWD,2026-08-20,10.0,-1.96,2154961,59.6,9.86,8.93,HOLD,2026-07-02,36
JAS,2026-08-20,0.98,-2.0,37666901,21.0,1.06,1.11,HOLD,2026-07-15,27
TOP,2026-08-20,61.25,-2.39,22540556,47.0,64.62,56.44,HOLD,2026-07-09,31
PLANB,2026-08-20,6.45,-3.73,51752324,65.0,6.06,5.34,HOLD,2026-07-06,34
CCET,2026-08-20,8.7,-3.87,63616698,51.4,8.5,8.78,HOLD,2026-07-28,18
AMATA,2026-08-20,30.25,-3.97,10449702,56.9,28.94,27.88,HOLD,2026-08-17,4
SCGP,2026-08-20,28.5,-5.0,28533620,36.9,30.48,29.02,HOLD,2026-07-21,23
HANA,2026-08-20,46.25,-5.61,57400516,67.0,38.92,38.15,HOLD,2026-08-18,3
