Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
CHG,2026-09-01,1.53,5.52,106228658,45.5,1.58,1.58,SELL,2026-09-01,1
BCH,2026-09-01,11.1,3.74,20562052,53.9,11.12,10.56,HOLD,2026-08-21,8
BCP,2026-09-01,57.5,3.14,24137744,77.6,49.84,43.61,HOLD,2026-07-15,35
PRM,2026-09-01,9.65,2.66,5683362,47.4,9.88,9.56,HOLD,2026-07-07,41
IVL,2026-09-01,25.0,2.46,48116303,71.9,22.29,22.8,SELL,2026-09-01,1
BDMS,2026-09-01,20.0,2.04,162624111,61.4,19.7,19.47,HOLD,2026-08-25,6
PTT,2026-09-01,41.5,1.84,200477881,72.0,39.96,38.55,HOLD,2026-08-17,12
PTTEP,2026-09-01,151.0,1.68,20524227,59.3,148.7,144.36,HOLD,2026-07-28,26
KKP,2026-09-01,117.5,1.29,6522979,60.2,113.15,109.79,HOLD,2026-08-27,4
TOP,2026-09-01,64.75,1.17,25612853,57.0,63.96,59.36,HOLD,2026-07-09,39
DELTA,2026-09-01,251.0,0.8,18482530,37.5,261.4,286.38,HOLD,2026-08-26,5
OR,2026-09-01,12.6,0.8,25697796,51.6,12.5,12.61,HOLD,2026-08-25,6
TU,2026-09-01,12.7,0.79,12427521,47.7,13.07,12.42,HOLD,2026-07-01,45
IRPC,2026-09-01,2.7,0.75,162134127,69.4,2.44,2.18,HOLD,2026-09-01,1
BANPU,2026-09-01,14.7,0.68,10794756,81.6,12.86,11.96,HOLD,2026-07-24,14
SCB,2026-09-01,152.0,0.66,9779041,49.8,152.15,152.52,HOLD,2026-09-01,1
KTB,2026-09-01,43.5,0.58,42356599,51.8,44.08,42.13,HOLD,2026-06-17,55
BBL,2026-09-01,192.0,0.52,9191029,53.1,191.22,191.12,HOLD,2026-06-19,53
BH,2026-09-01,192.0,0.26,2711434,48.1,194.62,189.48,HOLD,2026-08-03,22
