Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
SPRC,2026-08-21,13.0,9.24,66884896,80.5,11.2,9.32,HOLD,2026-06-29,40
PTTGC,2026-08-21,41.75,7.05,111423407,68.8,38.23,36.02,HOLD,2026-08-19,3
BCP,2026-08-21,50.0,5.26,25802480,70.8,46.55,40.66,HOLD,2026-07-15,28
TOP,2026-08-21,64.0,4.49,41904691,55.3,64.64,56.83,HOLD,2026-07-09,32
IRPC,2026-08-21,2.5,4.17,140670693,66.9,2.31,2.06,HOLD,2026-07-22,23
RCL,2026-08-21,46.25,3.35,8410963,88.3,38.05,34.65,HOLD,2026-08-11,9
HANA,2026-08-21,47.75,3.24,30038297,69.4,39.4,38.38,HOLD,2026-08-18,4
SCC,2026-08-21,253.0,2.85,4682842,49.7,255.65,250.54,HOLD,2026-07-15,28
TTB,2026-08-21,2.92,2.82,1183438517,49.9,3.03,2.76,HOLD,2026-06-15,50
GPSC,2026-08-21,50.5,2.54,12996682,52.1,50.98,48.83,HOLD,2026-05-11,75
TASCO,2026-08-21,17.3,2.37,12657911,75.7,15.33,14.45,HOLD,2026-07-17,26
RATCH,2026-08-21,37.0,2.07,4831353,46.9,38.23,35.8,HOLD,2026-06-30,39
IVL,2026-08-21,22.0,1.85,63044091,45.4,22.19,22.63,HOLD,2026-08-20,2
KKP,2026-08-21,114.5,1.78,6513841,60.7,112.9,106.41,HOLD,2026-05-11,75
TLI,2026-08-21,11.5,1.77,6321336,48.6,11.58,11.55,HOLD,2026-08-17,5
SCGP,2026-08-21,29.0,1.75,19489482,42.1,30.43,29.11,HOLD,2026-07-21,24
CCET,2026-08-21,8.85,1.72,36406847,54.3,8.5,8.77,HOLD,2026-07-28,19
KBANK,2026-08-21,257.0,1.58,8357397,75.9,247.5,232.78,HOLD,2026-06-17,48
EGCO,2026-08-21,131.0,1.55,785009,52.9,132.25,127.24,HOLD,2026-07-01,38
STA,2026-08-21,20.9,1.46,20118100,74.4,18.75,18.3,HOLD,2026-08-20,2
BCPG,2026-08-21,7.2,1.41,7715160,53.4,7.14,7.16,SELL,2026-08-21,1
BEM,2026-08-21,7.35,1.38,48188109,77.6,6.96,6.49,HOLD,2026-06-19,46
AWC,2026-08-21,3.0,1.35,35016594,57.7,3.0,2.8,HOLD,2026-07-28,19
KTB,2026-08-21,44.25,1.14,34363368,61.4,44.09,41.06,HOLD,2026-06-17,48
JAS,2026-08-21,0.99,1.02,29197134,26.1,1.05,1.1,HOLD,2026-07-15,28
BH,2026-08-21,200.0,1.01,4624177,69.2,190.28,187.66,HOLD,2026-08-03,15
AEONTS,2026-08-21,103.0,0.98,255705,48.3,103.88,103.06,HOLD,2026-06-26,41
BCH,2026-08-21,11.5,0.88,7191827,68.2,10.87,10.31,HOLD,2026-08-21,1
JMART,2026-08-21,11.5,0.88,22380368,60.2,11.07,10.56,BUY,2026-08-21,1
AMATA,2026-08-21,30.5,0.83,5117434,58.1,29.05,27.96,HOLD,2026-08-17,5
OR,2026-08-21,12.5,0.81,19515466,47.4,12.57,12.56,HOLD,2026-07-14,29
TISCO,2026-08-21,125.5,0.8,1985222,44.1,128.1,124.37,HOLD,2026-06-08,55
PLANB,2026-08-21,6.5,0.78,22133936,65.9,6.08,5.38,HOLD,2026-07-06,35
SNNP,2026-08-21,6.95,0.72,488552,47.8,7.01,6.93,HOLD,2026-07-09,32
MEGA,2026-08-21,37.0,0.68,629651,43.7,38.04,37.2,HOLD,2026-07-07,34
ADVANC,2026-08-21,360.0,0.56,3333726,37.4,371.35,369.62,HOLD,2026-07-01,38
LH,2026-08-21,3.68,0.55,30684118,40.9,3.76,3.75,HOLD,2026-08-04,14
SKY,2026-08-21,18.5,0.54,540901,58.0,18.39,16.7,HOLD,2026-07-13,30
PR9,2026-08-21,18.7,0.54,3244401,64.7,18.14,17.78,HOLD,2026-08-21,1
BGRIM,2026-08-21,18.9,0.53,13024981,57.4,18.5,18.28,HOLD,2026-08-21,1
BDMS,2026-08-21,19.9,0.51,124596070,60.8,19.52,19.28,HOLD,2026-08-07,11
GULF,2026-08-21,64.0,0.39,23039650,43.2,65.54,64.3,HOLD,2026-08-03,15
AOT,2026-08-21,67.0,0.37,33099216,70.5,64.34,63.2,HOLD,2026-08-18,4
SCB,2026-08-21,152.0,0.33,12220008,49.7,152.72,151.11,HOLD,2026-06-15,50
TRUE,2026-08-21,13.3,0.0,62346519,42.3,13.65,13.54,HOLD,2026-07-31,16
WHA,2026-08-21,4.88,0.0,45611834,44.0,4.88,5.08,HOLD,2026-08-12,8
SJWD,2026-08-21,10.0,0.0,1648665,59.6,9.91,8.98,HOLD,2026-07-02,37
SISB,2026-08-21,9.45,0.0,1304617,39.2,9.62,9.81,HOLD,2026-08-12,8
QH,2026-08-21,1.45,0.0,7280688,56.3,1.44,1.4,HOLD,2026-08-03,15
PTTEP,2026-08-21,149.5,0.0,17663892,56.0,149.15,142.42,HOLD,2026-07-28,19
SIRI,2026-08-21,1.53,0.0,54460805,57.5,1.52,1.48,HOLD,2026-06-18,47
DOHOME,2026-08-21,3.7,0.0,11222264,41.3,3.91,3.77,HOLD,2026-08-04,14
BA,2026-08-21,19.0,0.0,4509158,51.2,19.18,18.54,HOLD,2026-08-04,14
CKP,2026-08-21,2.58,0.0,3361026,56.9,2.53,2.51,BUY,2026-08-21,1
CPALL,2026-08-21,46.75,0.0,17024026,44.3,47.64,47.05,HOLD,2026-08-03,15
COM7,2026-08-21,30.0,0.0,5396923,52.7,30.16,29.2,HOLD,2026-07-28,19
AP,2026-08-21,8.2,0.0,10265658,54.7,8.21,7.83,HOLD,2026-07-14,29
BAM,2026-08-21,6.45,0.0,9828236,34.1,6.75,6.74,HOLD,2026-07-29,18
AAV,2026-08-21,1.04,0.0,16431728,36.4,1.05,1.07,HOLD,2026-08-20,2
SAWAD,2026-08-21,23.7,0.0,10831356,41.9,24.56,24.05,HOLD,2026-07-07,34
SPALI,2026-08-21,16.8,0.0,10338620,68.9,16.18,16.01,HOLD,2026-08-14,6
OSP,2026-08-21,17.5,0.0,10937281,50.8,17.56,17.3,HOLD,2026-06-17,48
GUNKUL,2026-08-21,5.1,0.0,26020393,56.5,5.08,4.75,HOLD,2026-06-30,39
ERW,2026-08-21,3.72,0.0,17661482,67.8,3.59,3.27,HOLD,2026-07-22,23
JMT,2026-08-21,11.7,0.0,8961776,47.4,11.91,11.78,HOLD,2026-07-13,30
PTT,2026-08-21,40.75,0.0,130096420,72.1,39.25,37.8,HOLD,2026-08-17,5
KTC,2026-08-21,37.5,0.0,16084942,47.4,38.29,36.49,HOLD,2026-06-02,59
KCE,2026-08-21,55.25,0.0,22097353,75.7,46.38,42.72,HOLD,2026-08-06,12
BBL,2026-08-21,190.0,-0.26,7992174,48.2,191.7,188.94,HOLD,2026-06-19,46
CPN,2026-08-21,65.75,-0.38,6250770,42.8,67.26,66.83,HOLD,2026-08-03,15
BLA,2026-08-21,24.8,-0.4,2042040,44.7,25.15,25.38,HOLD,2026-08-19,3
MINT,2026-08-21,22.6,-0.44,21832734,40.8,23.09,23.62,HOLD,2026-08-12,8
ITC,2026-08-21,17.6,-0.56,7585206,57.5,17.39,16.81,HOLD,2026-07-24,21
CENTEL,2026-08-21,42.0,-0.59,1037853,62.2,40.17,38.05,HOLD,2026-08-12,8
BJC,2026-08-21,16.5,-0.6,9593475,60.2,16.12,15.23,HOLD,2026-08-21,1
CHG,2026-08-21,1.6,-0.62,43129715,53.5,1.58,1.57,HOLD,2026-08-07,11
BANPU,2026-08-21,14.5,-0.68,6319275,78.4,12.85,11.95,HOLD,2026-07-24,14
EA,2026-08-21,2.9,-0.68,21032309,44.7,2.93,2.98,HOLD,2026-08-17,5
ICHI,2026-08-21,14.7,-0.68,3129753,50.3,14.85,14.4,HOLD,2026-06-15,50
GLOBAL,2026-08-21,7.25,-0.68,8980684,45.8,7.49,7.17,HOLD,2026-08-04,14
MTC,2026-08-21,32.5,-0.76,5101891,40.6,33.98,32.7,HOLD,2026-07-17,26
ROJNA,2026-08-21,5.95,-0.83,2980366,44.9,6.08,5.88,HOLD,2026-07-13,30
COCOCO,2026-08-21,6.0,-0.83,1888865,51.6,5.98,5.85,HOLD,2026-08-06,12
VGI,2026-08-21,1.11,-0.89,283016655,65.3,1.02,0.98,HOLD,2026-07-10,31
CRC,2026-08-21,27.5,-0.9,13716071,61.1,26.31,24.43,HOLD,2026-07-30,17
BTS,2026-08-21,2.08,-0.95,45511003,47.8,2.08,2.1,HOLD,2026-08-14,6
TIDLOR,2026-08-21,19.8,-1.0,16933105,58.4,19.32,19.2,HOLD,2026-08-21,1
PRM,2026-08-21,9.75,-1.02,4657549,47.8,10.0,9.43,HOLD,2026-07-07,34
MOSHI,2026-08-21,40.75,-1.21,253253,53.5,40.9,39.21,HOLD,2026-07-28,19
CPF,2026-08-21,23.4,-1.27,31503596,68.7,22.21,21.33,HOLD,2026-07-02,37
SAPPE,2026-08-21,35.25,-1.4,356092,59.8,34.38,33.05,BUY,2026-08-21,1
BTG,2026-08-21,20.6,-1.44,3168906,44.1,20.91,20.89,HOLD,2026-07-10,31
TU,2026-08-21,13.0,-1.52,12943990,55.7,12.92,12.21,HOLD,2026-07-01,38
HMPRO,2026-08-21,6.5,-1.52,34976151,44.4,6.63,6.51,HOLD,2026-08-05,13
STGT,2026-08-21,11.0,-1.79,6815047,56.9,10.73,10.55,HOLD,2026-08-12,8
M,2026-08-21,21.9,-1.79,2292216,54.0,21.53,21.49,HOLD,2026-08-18,4
DELTA,2026-08-21,258.0,-1.9,11601421,35.7,270.6,299.18,HOLD,2026-07-28,19
TCAP,2026-08-21,87.25,-2.24,4463287,63.1,83.9,74.78,HOLD,2026-06-17,48
CBG,2026-08-21,57.0,-2.98,10833485,67.5,53.02,49.52,HOLD,2026-06-23,44
CK,2026-08-21,19.2,-3.52,13232633,56.2,18.46,18.94,HOLD,2026-08-14,6
