Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
SAPPE,2026-08-25,35.25,3.68,504711,57.5,34.41,33.23,HOLD,2026-08-24,2
CRC,2026-08-25,28.5,3.64,19507699,66.1,26.69,24.68,HOLD,2026-07-30,19
BTG,2026-08-25,21.4,3.38,14885124,59.6,20.91,20.92,HOLD,2026-08-25,1
GPSC,2026-08-25,52.0,2.97,20622007,58.6,50.7,49.2,HOLD,2026-06-18,49
SAWAD,2026-08-25,23.9,2.58,19253738,46.3,24.42,24.13,HOLD,2026-07-07,36
KKP,2026-08-25,114.5,2.23,11315617,58.8,112.22,107.31,HOLD,2026-05-15,73
CPF,2026-08-25,24.0,2.13,42042565,73.6,22.4,21.52,HOLD,2026-07-02,39
TIDLOR,2026-08-25,19.7,2.07,19723314,55.5,19.36,19.26,HOLD,2026-08-21,3
BLA,2026-08-25,24.9,2.05,1915391,47.3,25.07,25.41,HOLD,2026-08-19,5
PLANB,2026-08-25,6.45,1.57,34535969,62.9,6.11,5.48,HOLD,2026-07-06,37
HMPRO,2026-08-25,6.5,1.56,23027976,45.9,6.62,6.53,HOLD,2026-08-05,15
TRUE,2026-08-25,13.3,1.53,74204097,44.1,13.58,13.51,HOLD,2026-07-31,18
GLOBAL,2026-08-25,7.15,1.42,12391311,44.1,7.48,7.2,HOLD,2026-08-04,16
MINT,2026-08-25,22.6,1.35,27065554,42.8,23.03,23.55,HOLD,2026-08-12,10
CPN,2026-08-25,65.5,1.16,7113658,43.1,67.0,66.82,HOLD,2026-08-03,17
OSP,2026-08-25,17.6,1.15,9583127,53.1,17.57,17.38,HOLD,2026-06-17,50
KTB,2026-08-25,44.5,1.14,61436100,62.3,44.16,41.4,HOLD,2026-06-17,50
BGRIM,2026-08-25,18.8,1.08,53366880,55.3,18.43,18.36,HOLD,2026-08-21,3
BH,2026-08-25,204.0,0.99,4267653,73.4,192.28,188.39,HOLD,2026-08-03,17
SCB,2026-08-25,153.5,0.99,14301471,55.7,152.55,151.57,HOLD,2026-06-15,52
KCE,2026-08-25,55.25,0.91,14403805,74.3,47.73,43.47,HOLD,2026-08-06,14
COCOCO,2026-08-25,5.85,0.86,830077,45.6,5.98,5.86,HOLD,2026-08-06,14
TISCO,2026-08-25,126.0,0.8,3829102,47.4,127.75,124.77,HOLD,2026-06-08,57
EGCO,2026-08-25,131.5,0.77,747702,54.7,131.9,127.75,HOLD,2026-07-01,40
ICHI,2026-08-25,14.6,0.69,9040775,47.8,14.82,14.45,HOLD,2026-06-15,52
MEGA,2026-08-25,37.0,0.68,446014,44.4,37.98,37.28,HOLD,2026-07-07,36
CENTEL,2026-08-25,42.5,0.59,1044569,64.2,40.59,38.3,HOLD,2026-08-12,10
CCET,2026-08-25,8.85,0.57,27423442,54.2,8.53,8.74,HOLD,2026-07-28,21
