Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
RCL,2026-09-18,46.75,8.72,11852781,70.7,43.12,39.12,HOLD,2026-08-11,29
AAV,2026-09-18,0.85,3.66,242714070,19.4,0.99,1.03,HOLD,2026-08-20,22
SKY,2026-09-18,17.9,3.47,1423850,54.0,17.52,17.76,HOLD,2026-09-17,2
CRC,2026-09-18,30.75,3.36,15313631,67.1,28.8,26.7,BUY,2026-09-18,1
CKP,2026-09-18,2.46,3.36,8775488,50.9,2.45,2.52,HOLD,2026-09-02,13
SPRC,2026-09-18,14.2,2.9,24369610,67.5,13.24,11.63,HOLD,2026-06-29,60
TTB,2026-09-18,3.16,2.6,948920916,68.4,2.98,2.96,HOLD,2026-09-15,4
GLOBAL,2026-09-18,6.55,2.34,9986941,38.4,6.74,7.16,HOLD,2026-09-04,11
SCC,2026-09-18,265.0,2.32,5719477,56.8,259.95,257.14,HOLD,2026-09-07,10
TOP,2026-09-18,65.25,1.95,22908634,52.7,64.45,63.65,HOLD,2026-09-10,7
SCGP,2026-09-18,31.25,1.63,17606281,60.8,29.81,30.02,HOLD,2026-09-09,8
BTG,2026-09-18,21.0,1.45,2781319,52.5,20.86,20.96,HOLD,2026-09-17,2
BANPU,2026-09-18,14.8,1.37,22685141,82.1,12.86,11.96,HOLD,2026-07-24,14
CPF,2026-09-18,23.1,1.32,49889603,51.2,23.41,22.65,HOLD,2026-07-02,57
RATCH,2026-09-18,38.5,1.32,7030240,57.1,37.74,38.02,HOLD,2026-09-15,4
TCAP,2026-09-18,84.0,1.2,4407159,53.9,83.84,81.61,HOLD,2026-06-18,67
BA,2026-09-18,19.1,1.06,5006196,54.7,18.88,18.88,HOLD,2026-09-18,1
JMART,2026-09-18,9.85,1.03,5215448,38.0,10.38,10.9,HOLD,2026-09-08,9
SCB,2026-09-18,152.5,0.99,13281731,56.2,151.1,152.69,HOLD,2026-09-01,14
JMT,2026-09-18,10.6,0.95,3036443,41.2,10.75,11.51,HOLD,2026-08-27,17
CBG,2026-09-18,55.75,0.9,7545309,59.3,54.29,53.19,HOLD,2026-06-24,63
ROJNA,2026-09-18,5.75,0.88,654906,45.3,5.79,5.98,HOLD,2026-09-08,9
WHA,2026-09-18,4.76,0.85,59238843,47.3,4.77,4.94,HOLD,2026-09-15,4
GUNKUL,2026-09-18,5.0,0.81,139312988,48.7,5.05,5.08,HOLD,2026-09-17,2
HMPRO,2026-09-18,6.3,0.8,42628893,46.3,6.34,6.5,HOLD,2026-09-04,11
CPN,2026-09-18,64.25,0.78,14462500,44.6,64.79,66.2,HOLD,2026-09-02,13
AMATA,2026-09-18,33.25,0.76,3411471,59.6,32.23,30.16,HOLD,2026-09-04,11
KTC,2026-09-18,37.25,0.68,16478463,50.8,37.11,37.91,HOLD,2026-09-08,9
SIRI,2026-09-18,1.47,0.68,42429714,48.2,1.47,1.49,HOLD,2026-09-09,8
