Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
RCL,2026-08-11,39.25,7.53,12724303,76.2,34.48,32.98,HOLD,2026-08-11,1
TOP,2026-08-11,68.75,4.96,37143764,76.8,63.81,53.81,HOLD,2026-07-09,24
CENTEL,2026-08-11,41.0,4.46,11772305,67.2,38.26,36.72,BUY,2026-08-11,1
IRPC,2026-08-11,2.36,4.42,302105608,70.3,2.2,1.96,HOLD,2026-07-22,15
SPRC,2026-08-11,11.4,3.64,49669428,79.2,10.32,8.61,HOLD,2026-06-29,32
TCAP,2026-08-11,89.25,3.48,8380771,76.7,77.94,70.45,HOLD,2026-06-18,39
PTTGC,2026-08-11,38.5,2.67,49354686,61.7,37.71,35.19,HOLD,2026-07-23,14
BCP,2026-08-11,48.25,2.66,19138301,82.0,44.48,38.28,HOLD,2026-07-15,20
PRM,2026-08-11,10.3,1.98,7886956,73.5,9.81,9.16,HOLD,2026-07-07,26
PTT,2026-08-11,39.5,1.94,114176269,66.1,38.89,37.22,HOLD,2026-07-20,17
JMART,2026-08-11,10.7,1.9,13742990,48.2,11.2,10.23,HOLD,2026-07-10,23
KCE,2026-08-11,44.5,1.71,23874284,57.9,42.5,40.33,HOLD,2026-08-06,4
PTTEP,2026-08-11,152.0,1.67,24455699,67.7,148.4,141.65,HOLD,2026-07-28,11
QH,2026-08-11,1.47,1.38,22817258,65.3,1.42,1.38,HOLD,2026-08-03,7
COCOCO,2026-08-11,6.05,0.83,2757417,56.6,5.95,5.79,HOLD,2026-08-06,4
ADVANC,2026-08-11,374.0,0.81,5249169,51.3,375.55,368.46,HOLD,2026-07-01,30
BCPG,2026-08-11,7.1,0.71,4212215,45.7,7.26,7.08,HOLD,2026-07-09,24
SPALI,2026-08-11,15.9,0.63,1096067,49.8,15.92,15.84,HOLD,2026-07-30,9
ERW,2026-08-11,3.64,0.55,25706207,68.2,3.36,3.14,HOLD,2026-07-22,15
LH,2026-08-11,3.78,0.53,17957107,51.3,3.79,3.74,HOLD,2026-08-04,6
CPF,2026-08-11,21.9,0.46,20881987,54.2,22.02,20.75,HOLD,2026-07-02,29
KBANK,2026-08-11,249.0,0.4,7050243,71.2,241.4,224.83,HOLD,2026-06-17,40
SCC,2026-08-11,259.0,0.39,2679188,59.7,256.7,247.34,HOLD,2026-07-15,20
BBL,2026-08-11,191.5,0.26,5497028,50.4,194.25,186.02,HOLD,2026-06-19,38
BTG,2026-08-11,20.9,0.0,3092416,46.0,21.12,20.77,HOLD,2026-07-10,23
CBG,2026-08-11,51.25,0.0,3098136,57.5,51.02,47.09,HOLD,2026-06-23,36
OR,2026-08-11,12.4,0.0,10783690,38.9,12.78,12.54,HOLD,2026-07-14,21
AAV,2026-08-11,1.05,0.0,25086677,42.2,1.06,1.08,HOLD,2026-07-23,14
IVL,2026-08-11,22.0,0.0,99107535,39.2,23.41,22.84,HOLD,2026-07-24,13
SCB,2026-08-11,152.0,0.0,11159883,48.7,154.18,149.05,HOLD,2026-06-15,42
SISB,2026-08-11,9.7,0.0,1548256,44.6,9.84,9.86,SELL,2026-08-11,1
TISCO,2026-08-11,129.0,0.0,5545777,61.4,129.12,122.31,HOLD,2026-06-08,47
