Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BCP,2026-08-24,51.25,2.5,28255971,73.7,46.9,41.02,HOLD,2026-07-15,29
PTTGC,2026-08-24,42.25,1.2,42148355,70.3,38.41,36.22,HOLD,2026-08-19,4
ITC,2026-08-24,17.8,1.14,11775712,60.4,17.43,16.84,BUY,2026-08-24,1
BH,2026-08-24,202.0,1.0,5501414,71.4,191.22,188.0,HOLD,2026-08-03,16
IRPC,2026-08-24,2.52,0.8,145531190,67.8,2.33,2.07,HOLD,2026-07-22,24
OR,2026-08-24,12.6,0.8,14438396,52.8,12.56,12.57,SELL,2026-08-24,1
BBL,2026-08-24,191.5,0.79,6783078,51.9,191.57,189.32,HOLD,2026-06-19,47
PTT,2026-08-24,41.0,0.61,48328719,73.8,39.35,37.92,HOLD,2026-08-17,6
CENTEL,2026-08-24,42.25,0.6,1208762,63.3,40.38,38.17,HOLD,2026-08-12,9
BTG,2026-08-24,20.7,0.49,2909545,46.4,20.89,20.9,SELL,2026-08-24,1
CPF,2026-08-24,23.5,0.43,15642673,69.6,22.29,21.43,HOLD,2026-07-02,38
ADVANC,2026-08-24,360.0,0.0,2898741,37.3,370.7,369.62,HOLD,2026-07-01,39
CRC,2026-08-24,27.5,0.0,8819728,61.1,26.48,24.55,HOLD,2026-07-30,18
IVL,2026-08-24,22.0,0.0,20738446,45.4,22.09,22.63,HOLD,2026-08-20,3
JAS,2026-08-24,0.99,0.0,17559547,26.1,1.05,1.1,HOLD,2026-07-15,29
AAV,2026-08-24,1.04,0.0,8326834,36.3,1.05,1.07,HOLD,2026-08-20,3
CPALL,2026-08-24,46.75,0.0,13393464,44.3,47.65,47.08,HOLD,2026-08-03,16
AMATA,2026-08-24,30.5,0.0,6240437,58.1,29.23,28.04,HOLD,2026-08-17,6
BA,2026-08-24,19.0,0.0,5613769,51.2,19.21,18.57,HOLD,2026-08-04,15
AP,2026-08-24,8.2,0.0,7396791,54.7,8.21,7.85,HOLD,2026-07-14,30
EA,2026-08-24,2.9,0.0,19364395,44.8,2.93,2.98,SELL,2026-08-24,1
TU,2026-08-24,13.0,0.0,5302834,55.7,12.96,12.24,HOLD,2026-07-01,39
PTTEP,2026-08-24,149.5,0.0,11986011,56.0,149.12,142.7,HOLD,2026-07-28,20
GPSC,2026-08-24,50.5,0.0,10228089,52.1,50.8,49.01,HOLD,2026-05-14,73
STA,2026-08-24,20.9,0.0,21042012,74.4,18.86,18.35,HOLD,2026-08-20,3
SCB,2026-08-24,152.0,0.0,10427548,49.7,152.6,151.35,HOLD,2026-06-15,51
SPALI,2026-08-24,16.8,0.0,9536237,68.9,16.22,16.03,HOLD,2026-08-14,7
EGCO,2026-08-24,130.5,-0.38,943041,50.7,132.05,127.49,HOLD,2026-07-01,39
TISCO,2026-08-24,125.0,-0.4,2383393,41.9,127.9,124.57,HOLD,2026-06-08,56
BDMS,2026-08-24,19.8,-0.5,121930082,57.7,19.56,19.31,BUY,2026-08-24,1
PRM,2026-08-24,9.7,-0.51,5765158,46.2,9.99,9.46,HOLD,2026-07-07,35
SISB,2026-08-24,9.4,-0.53,1390595,37.4,9.61,9.81,HOLD,2026-08-12,9
LH,2026-08-24,3.66,-0.54,16380354,38.5,3.75,3.75,HOLD,2026-08-04,15
ERW,2026-08-24,3.7,-0.54,7729113,65.6,3.62,3.29,HOLD,2026-07-22,24
CCET,2026-08-24,8.8,-0.56,44199164,53.2,8.51,8.75,HOLD,2026-07-28,20
KTB,2026-08-24,44.0,-0.56,38707190,58.4,44.11,41.23,HOLD,2026-06-17,49
TCAP,2026-08-24,86.75,-0.57,2122662,61.6,84.55,75.29,HOLD,2026-06-17,49
OSP,2026-08-24,17.4,-0.57,13180359,48.4,17.56,17.34,HOLD,2026-06-17,49
MOSHI,2026-08-24,40.5,-0.61,391880,51.6,40.94,39.28,HOLD,2026-07-28,20
SIRI,2026-08-24,1.52,-0.65,38204511,53.5,1.52,1.49,HOLD,2026-06-18,48
AWC,2026-08-24,2.98,-0.67,34781085,55.6,2.99,2.8,HOLD,2026-07-28,20
TTB,2026-08-24,2.9,-0.68,1541549316,48.2,3.02,2.77,HOLD,2026-06-15,51
MEGA,2026-08-24,36.75,-0.68,568501,41.8,38.0,37.26,HOLD,2026-07-07,35
BANPU,2026-08-24,14.5,-0.68,5954694,78.3,12.85,11.95,HOLD,2026-07-24,14
RATCH,2026-08-24,36.75,-0.68,4345331,44.9,38.12,35.92,HOLD,2026-06-30,40
QH,2026-08-24,1.44,-0.69,12177303,52.6,1.44,1.4,HOLD,2026-08-03,16
BAM,2026-08-24,6.4,-0.78,8924517,32.0,6.72,6.74,SELL,2026-08-24,1
WHA,2026-08-24,4.84,-0.82,39216334,41.6,4.88,5.07,HOLD,2026-08-12,9
ROJNA,2026-08-24,5.9,-0.84,3885923,42.0,6.08,5.89,HOLD,2026-07-13,31
SCGP,2026-08-24,28.75,-0.86,17772403,40.3,30.38,29.18,HOLD,2026-07-21,25
KCE,2026-08-24,54.75,-0.9,13516323,73.5,47.04,43.08,HOLD,2026-08-06,13
STGT,2026-08-24,10.9,-0.91,3575049,53.6,10.76,10.56,HOLD,2026-08-12,9
M,2026-08-24,21.7,-0.91,977818,51.3,21.55,21.5,HOLD,2026-08-18,5
BTS,2026-08-24,2.06,-0.96,14805027,44.4,2.08,2.1,SELL,2026-08-24,1
AEONTS,2026-08-24,102.0,-0.97,230591,44.6,103.72,103.19,HOLD,2026-06-26,42
PR9,2026-08-24,18.5,-1.07,2604570,59.3,18.17,17.81,HOLD,2026-08-21,2
KBANK,2026-08-24,254.0,-1.17,9654160,68.0,248.1,233.82,HOLD,2026-06-17,49
SCC,2026-08-24,250.0,-1.19,2780006,45.3,255.45,250.72,HOLD,2026-07-15,29
BJC,2026-08-24,16.3,-1.21,6685190,56.8,16.12,15.27,HOLD,2026-08-21,2
CHG,2026-08-24,1.58,-1.25,18919866,49.8,1.59,1.58,HOLD,2026-08-07,12
CBG,2026-08-24,56.25,-1.32,9019842,63.7,53.27,49.84,HOLD,2026-06-23,45
KTC,2026-08-24,37.0,-1.33,20628490,41.8,38.21,36.63,HOLD,2026-06-02,60
MINT,2026-08-24,22.3,-1.33,21026462,36.8,23.05,23.58,HOLD,2026-08-12,9
ICHI,2026-08-24,14.5,-1.36,6559237,44.8,14.83,14.43,HOLD,2026-06-15,51
BCPG,2026-08-24,7.1,-1.39,9183039,47.8,7.12,7.16,HOLD,2026-08-24,1
