Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
AMATA,2026-08-14,31.25,9.65,31135380,68.2,28.45,27.52,BUY,2026-08-14,1
KCE,2026-08-14,51.75,8.38,48109283,71.9,43.16,40.9,HOLD,2026-08-06,7
HANA,2026-08-14,39.75,5.3,64778540,61.0,36.96,37.08,HOLD,2026-08-11,4
CBG,2026-08-14,55.0,4.76,21450275,71.7,51.19,47.78,HOLD,2026-06-23,39
RCL,2026-08-14,41.0,3.8,6315155,80.4,35.6,33.49,HOLD,2026-08-11,4
PLANB,2026-08-14,5.75,3.6,48659541,54.4,5.86,5.13,HOLD,2026-07-06,30
CCET,2026-08-14,8.75,3.55,134326665,55.6,8.49,8.79,HOLD,2026-07-28,14
M,2026-08-14,21.6,3.35,8835958,55.0,21.36,21.34,HOLD,2026-07-14,24
BH,2026-08-14,195.0,2.63,9918227,66.7,186.78,185.8,HOLD,2026-08-03,10
AOT,2026-08-14,65.0,2.36,66456922,63.1,63.52,62.23,HOLD,2026-05-18,65
VGI,2026-08-14,0.99,2.06,106462151,51.1,1.0,0.96,HOLD,2026-07-10,26
JMART,2026-08-14,10.8,1.89,12448643,50.1,11.04,10.31,HOLD,2026-07-10,26
ROJNA,2026-08-14,6.2,1.64,8001298,64.6,6.13,5.82,HOLD,2026-07-13,25
PTT,2026-08-14,39.75,1.27,173169824,66.5,39.01,37.39,BUY,2026-08-14,1
WHA,2026-08-14,4.86,1.25,175617283,42.1,5.0,5.08,HOLD,2026-08-12,3
GUNKUL,2026-08-14,5.1,0.99,82754880,59.0,5.11,4.62,HOLD,2026-06-30,34
BCH,2026-08-14,11.0,0.92,13435382,62.1,10.67,10.11,HOLD,2026-08-05,8
SPRC,2026-08-14,11.4,0.88,20842493,77.0,10.67,8.85,HOLD,2026-06-29,35
CPN,2026-08-14,66.5,0.76,10223373,45.8,67.4,66.67,HOLD,2026-08-03,10
DELTA,2026-08-14,270.0,0.75,12975310,40.3,279.9,308.04,HOLD,2026-07-28,14
TRUE,2026-08-14,13.6,0.74,135867251,48.8,13.8,13.58,HOLD,2026-07-31,11
BEM,2026-08-14,7.0,0.72,48204474,70.7,6.82,6.29,HOLD,2026-06-19,41
QH,2026-08-14,1.47,0.68,14895132,63.8,1.43,1.39,HOLD,2026-08-03,10
OSP,2026-08-14,17.6,0.57,10590653,55.7,17.52,17.05,HOLD,2026-06-17,43
STA,2026-08-14,18.6,0.54,6764787,53.6,18.56,18.24,HOLD,2026-07-31,11
ADVANC,2026-08-14,371.0,0.27,3319757,47.8,374.9,369.06,HOLD,2026-07-01,33
CK,2026-08-14,18.0,0.0,5423516,42.7,18.31,18.82,HOLD,2026-08-14,1
AAV,2026-08-14,1.05,0.0,15856148,42.2,1.06,1.08,HOLD,2026-07-23,17
HMPRO,2026-08-14,6.7,0.0,44263956,58.1,6.61,6.45,HOLD,2026-08-05,8
TOP,2026-08-14,66.25,0.0,25999052,65.0,64.95,55.06,HOLD,2026-07-09,27
KBANK,2026-08-14,248.0,-0.4,9573273,68.2,243.7,227.59,HOLD,2026-06-17,43
MINT,2026-08-14,23.0,-0.43,20920589,45.2,23.22,23.56,HOLD,2026-08-12,3
CPF,2026-08-14,21.8,-0.46,13327829,52.2,22.01,20.92,HOLD,2026-07-02,32
BTG,2026-08-14,20.6,-0.48,2352724,38.9,21.06,20.83,HOLD,2026-07-10,26
BCP,2026-08-14,49.5,-0.5,16470694,82.5,45.61,39.19,HOLD,2026-07-15,23
BDMS,2026-08-14,19.5,-0.51,70861962,51.5,19.45,19.12,HOLD,2026-08-07,6
ERW,2026-08-14,3.7,-0.54,32332817,69.4,3.45,3.18,HOLD,2026-07-22,18
PR9,2026-08-14,17.9,-0.56,2033538,49.9,18.01,17.58,HOLD,2026-08-07,6
KTB,2026-08-14,43.75,-0.57,57355797,58.8,43.69,40.17,HOLD,2026-06-17,43
AP,2026-08-14,8.35,-0.6,11383180,63.8,8.14,7.71,HOLD,2026-07-14,24
SNNP,2026-08-14,6.85,-0.72,615306,37.3,7.05,6.9,HOLD,2026-07-09,27
GULF,2026-08-14,64.5,-0.77,44700529,45.3,66.08,64.2,HOLD,2026-08-03,10
CKP,2026-08-14,2.5,-0.79,4966017,46.1,2.55,2.49,HOLD,2026-06-18,42
SCGP,2026-08-14,30.5,-0.81,5090873,54.7,30.57,28.66,HOLD,2026-07-21,19
OR,2026-08-14,12.3,-0.81,8977080,35.3,12.7,12.54,HOLD,2026-07-14,24
JMT,2026-08-14,11.4,-0.87,7537980,40.3,12.02,11.68,HOLD,2026-07-13,25
JAS,2026-08-14,1.05,-0.94,7924054,30.8,1.08,1.12,HOLD,2026-07-15,23
BTS,2026-08-14,2.08,-0.95,34352030,47.6,2.09,2.1,HOLD,2026-08-14,1
SJWD,2026-08-14,10.3,-0.96,3700802,72.3,9.68,8.71,HOLD,2026-07-02,32
SCB,2026-08-14,151.0,-0.98,13187429,45.3,153.43,149.77,HOLD,2026-06-15,45
AEONTS,2026-08-14,100.5,-0.99,694723,37.9,104.83,102.27,HOLD,2026-06-26,36
BBL,2026-08-14,189.5,-1.04,7973575,46.2,192.7,186.98,HOLD,2026-06-19,41
BGRIM,2026-08-14,17.7,-1.12,17563899,41.6,18.72,17.83,HOLD,2026-06-15,45
TISCO,2026-08-14,127.0,-1.17,2295300,49.2,129.32,123.18,HOLD,2026-06-08,50
SCC,2026-08-14,254.0,-1.17,3711648,49.4,257.05,248.96,HOLD,2026-07-15,23
SPALI,2026-08-14,16.5,-1.2,7168621,62.9,15.99,15.89,HOLD,2026-08-14,1
CHG,2026-08-14,1.59,-1.24,45035201,51.4,1.57,1.56,HOLD,2026-08-07,6
AWC,2026-08-14,3.02,-1.31,124045039,61.3,2.93,2.74,HOLD,2026-07-28,14
SIRI,2026-08-14,1.51,-1.31,52323199,52.8,1.51,1.47,HOLD,2026-06-18,42
KKP,2026-08-14,108.5,-1.36,6558494,46.8,113.53,103.99,HOLD,2026-05-04,75
BANPU,2026-08-14,14.4,-1.37,11590855,75.9,12.84,11.95,HOLD,2026-07-24,14
IVL,2026-08-14,21.2,-1.4,50997853,32.3,22.98,22.72,HOLD,2026-07-24,16
BCPG,2026-08-14,7.0,-1.41,4280236,40.3,7.23,7.1,HOLD,2026-07-09,27
BA,2026-08-14,19.4,-1.52,6675831,56.8,18.92,18.26,HOLD,2026-08-04,9
DOHOME,2026-08-14,3.72,-1.59,18968645,40.7,3.93,3.73,HOLD,2026-08-04,9
STGT,2026-08-14,10.7,-1.83,1844252,51.8,10.63,10.54,HOLD,2026-08-12,3
EGCO,2026-08-14,130.5,-1.88,1378732,49.8,133.4,125.77,HOLD,2026-07-01,33
CRC,2026-08-14,25.75,-1.9,18402189,59.0,25.09,23.71,HOLD,2026-07-30,12
KTC,2026-08-14,37.5,-1.96,24416907,47.2,38.75,35.73,HOLD,2026-06-02,54
TCAP,2026-08-14,87.5,-1.96,9050318,70.2,80.42,72.1,HOLD,2026-06-18,42
BLA,2026-08-14,24.2,-2.02,2229328,34.8,25.54,25.37,HOLD,2026-07-03,31
EA,2026-08-14,2.88,-2.04,48062659,42.7,2.96,3.0,SELL,2026-08-14,1
TIDLOR,2026-08-14,18.9,-2.07,14151895,43.7,19.3,18.94,HOLD,2026-08-11,4
SAPPE,2026-08-14,34.0,-2.16,568611,53.0,34.14,32.59,HOLD,2026-07-27,15
MTC,2026-08-14,33.0,-2.22,21004816,43.9,34.31,32.17,HOLD,2026-07-17,21
SKY,2026-08-14,17.5,-2.23,2229633,50.3,18.12,16.4,HOLD,2026-07-13,25
ITC,2026-08-14,16.9,-2.31,6158831,47.5,17.2,16.67,HOLD,2026-07-24,16
MOSHI,2026-08-14,39.25,-2.48,548530,43.9,40.5,38.84,HOLD,2026-07-28,14
MEGA,2026-08-14,38.0,-2.56,2864002,50.2,38.2,36.96,HOLD,2026-07-07,29
TTB,2026-08-14,2.98,-2.61,826660633,54.8,3.04,2.71,HOLD,2026-06-15,45
TLI,2026-08-14,11.1,-2.63,14084404,29.9,11.67,11.53,BUY,2026-08-14,1
LH,2026-08-14,3.7,-2.63,54699092,40.0,3.78,3.74,HOLD,2026-08-04,9
ICHI,2026-08-14,14.7,-2.65,13664830,50.4,14.88,14.22,HOLD,2026-06-15,45
CENTEL,2026-08-14,42.0,-2.89,4771512,65.8,38.96,37.21,HOLD,2026-08-12,3
PRM,2026-08-14,10.0,-2.91,6524978,58.4,9.94,9.26,HOLD,2026-07-07,29
BAM,2026-08-14,6.45,-3.01,21276566,31.1,6.84,6.74,HOLD,2026-07-29,13
TASCO,2026-08-14,15.7,-3.09,20693228,64.0,14.64,14.14,HOLD,2026-07-17,21
SISB,2026-08-14,9.35,-3.11,11995133,34.0,9.71,9.84,HOLD,2026-08-12,3
GLOBAL,2026-08-14,7.3,-3.31,19335887,47.3,7.44,7.06,HOLD,2026-08-04,9
PTTEP,2026-08-14,145.5,-3.32,14568319,46.1,149.15,141.98,HOLD,2026-07-28,14
COM7,2026-08-14,29.0,-3.33,12579053,43.2,30.11,28.83,HOLD,2026-07-28,14
GPSC,2026-08-14,48.25,-3.5,16559333,40.3,52.09,47.86,HOLD,2026-06-18,42
CPALL,2026-08-14,47.0,-3.59,39733333,45.3,47.71,46.91,HOLD,2026-08-03,10
SAWAD,2026-08-14,23.6,-3.67,27014894,39.2,24.94,23.72,HOLD,2026-07-07,29
PTTGC,2026-08-14,38.25,-3.77,29334923,56.3,38.08,35.45,HOLD,2026-08-14,1
IRPC,2026-08-14,2.42,-3.97,145427338,66.7,2.26,1.99,HOLD,2026-07-22,18
COCOCO,2026-08-14,5.9,-4.07,2623504,48.4,5.96,5.81,HOLD,2026-08-06,7
BJC,2026-08-14,15.3,-4.37,16684177,45.6,15.76,14.99,HOLD,2026-07-27,15
RATCH,2026-08-14,37.5,-4.46,11449307,48.7,38.77,35.1,HOLD,2026-06-30,34
TU,2026-08-14,12.7,-5.22,24367851,52.8,12.66,12.02,HOLD,2026-07-01,33
