Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BCP,2026-09-24,56.25,3.69,32910587,58.4,56.48,50.72,HOLD,2026-07-15,52
RCL,2026-09-24,49.5,3.12,6443050,71.4,43.8,40.41,HOLD,2026-08-11,33
PTT,2026-09-24,43.25,2.98,222273465,72.1,41.86,40.41,HOLD,2026-08-17,29
AMATA,2026-09-24,34.25,2.24,4714490,64.8,32.73,30.62,BUY,2026-09-24,1
IRPC,2026-09-24,3.14,1.95,283244617,65.4,2.89,2.55,HOLD,2026-09-01,18
PTTEP,2026-09-24,150.5,1.69,12798807,50.6,151.18,149.68,HOLD,2026-09-09,12
SPRC,2026-09-24,14.5,1.4,25632721,68.5,13.57,12.09,HOLD,2026-06-29,64
TOP,2026-09-24,71.75,1.06,32104923,65.8,66.11,64.89,HOLD,2026-09-22,3
BCH,2026-09-24,11.3,0.89,7618512,55.6,11.08,10.94,HOLD,2026-09-18,5
BLA,2026-09-24,24.3,0.83,2275164,48.0,24.17,24.9,HOLD,2026-08-31,19
SAPPE,2026-09-24,32.0,0.79,281921,37.3,33.35,33.91,HOLD,2026-09-21,4
TU,2026-09-24,13.3,0.76,26919446,57.0,12.91,12.82,HOLD,2026-09-22,3
BANPU,2026-09-24,14.7,0.68,2742585,81.6,12.86,11.96,HOLD,2026-07-24,14
TTB,2026-09-24,3.12,0.65,179760926,62.2,3.02,3.0,HOLD,2026-09-15,8
QH,2026-09-24,1.38,0.0,11103892,39.1,1.4,1.42,HOLD,2026-09-15,8
BJC,2026-09-24,17.9,0.0,4426124,65.1,16.83,16.26,HOLD,2026-09-07,14
SCB,2026-09-24,156.0,0.0,14922970,62.3,151.9,152.64,HOLD,2026-09-23,2
SPALI,2026-09-24,16.0,0.0,3275411,47.4,16.05,16.11,HOLD,2026-09-23,2
SNNP,2026-09-24,6.7,0.0,201546,45.9,6.7,6.87,HOLD,2026-09-21,4
TLI,2026-09-24,11.5,0.0,11487068,54.5,11.31,11.48,HOLD,2026-08-26,22
EGCO,2026-09-24,130.0,-0.38,486742,49.6,130.43,131.71,HOLD,2026-09-16,7
DELTA,2026-09-24,255.0,-0.39,25627705,49.1,252.65,265.78,HOLD,2026-09-17,6
WHA,2026-09-24,4.8,-0.41,178276963,50.4,4.76,4.89,HOLD,2026-09-15,8
KKP,2026-09-24,115.5,-0.43,2835750,50.6,116.45,114.5,HOLD,2026-08-27,21
CPF,2026-09-24,22.0,-0.45,36253844,39.2,23.1,22.68,HOLD,2026-07-02,61
CBG,2026-09-24,55.5,-0.45,4147932,57.7,54.15,53.41,HOLD,2026-09-22,3
M,2026-09-24,20.9,-0.48,249742,41.2,21.13,21.36,SELL,2026-09-24,1
LH,2026-09-24,3.62,-0.55,6475363,42.5,3.64,3.7,HOLD,2026-09-22,3
KTB,2026-09-24,44.75,-0.56,31640309,57.1,44.11,43.85,HOLD,2026-09-16,7
DOHOME,2026-09-24,3.46,-0.57,3147253,39.6,3.51,3.72,HOLD,2026-09-17,6
ADVANC,2026-09-24,345.0,-0.58,8545071,41.6,350.05,362.68,HOLD,2026-09-21,4
TCAP,2026-09-24,83.75,-0.59,1631416,52.0,83.34,82.56,HOLD,2026-06-18,71
ITC,2026-09-24,16.7,-0.6,17078107,44.4,17.01,17.18,HOLD,2026-09-23,2
OSP,2026-09-24,16.3,-0.61,9928999,44.7,16.23,17.02,HOLD,2026-09-01,18
AP,2026-09-24,7.9,-0.63,5809174,40.0,8.05,8.12,HOLD,2026-09-22,3
AWC,2026-09-24,3.08,-0.65,30879208,56.1,3.05,2.99,HOLD,2026-07-28,43
RATCH,2026-09-24,38.25,-0.65,5063742,53.8,37.96,38.09,HOLD,2026-09-15,8
SIRI,2026-09-24,1.45,-0.68,10023716,43.5,1.46,1.49,HOLD,2026-09-23,2
ICHI,2026-09-24,13.8,-0.72,1562430,44.6,13.82,14.39,HOLD,2026-09-04,15
SCC,2026-09-24,267.0,-0.74,3644222,57.6,263.1,258.4,HOLD,2026-09-22,3
BCPG,2026-09-24,6.75,-0.74,4354904,37.8,7.11,7.17,HOLD,2026-09-17,6
KCE,2026-09-24,67.0,-0.74,12703828,71.6,61.81,52.69,HOLD,2026-08-06,36
BH,2026-09-24,196.0,-0.76,2821579,50.7,195.57,192.48,HOLD,2026-09-17,6
TISCO,2026-09-24,127.5,-0.78,2455075,54.8,126.42,127.54,HOLD,2026-09-09,12
TRUE,2026-09-24,12.7,-0.78,79709899,40.8,12.88,13.34,HOLD,2026-09-17,6
AOT,2026-09-24,62.0,-0.8,11431525,46.2,62.17,63.48,HOLD,2026-09-17,6
HMPRO,2026-09-24,6.2,-0.8,11907317,41.8,6.28,6.47,HOLD,2026-09-04,15
COM7,2026-09-24,30.75,-0.81,4148597,58.0,29.66,29.86,HOLD,2026-09-10,11
SCGP,2026-09-24,30.5,-0.81,5636429,53.3,30.18,30.15,BUY,2026-09-24,1
OR,2026-09-24,12.3,-0.81,7340607,43.4,12.48,12.58,SELL,2026-09-24,1
CKP,2026-09-24,2.42,-0.82,4161014,46.8,2.42,2.5,HOLD,2026-09-02,17
CRC,2026-09-24,30.0,-0.83,4663674,59.2,29.15,27.25,HOLD,2026-09-21,4
ROJNA,2026-09-24,5.7,-0.87,1259687,41.8,5.75,5.95,HOLD,2026-09-08,13
STGT,2026-09-24,10.9,-0.91,2473675,52.7,10.84,10.76,HOLD,2026-09-11,10
STA,2026-09-24,21.8,-0.91,11443802,56.1,21.89,20.16,HOLD,2026-08-20,26
BTG,2026-09-24,20.4,-0.97,1609131,43.3,20.75,20.91,HOLD,2026-09-24,1
HANA,2026-09-24,50.5,-0.98,19932763,61.1,47.99,43.22,HOLD,2026-09-24,1
PTTGC,2026-09-24,50.0,-0.99,21874837,64.7,47.6,42.36,HOLD,2026-08-19,27
BDMS,2026-09-24,20.0,-0.99,21257678,51.6,20.02,19.72,HOLD,2026-09-04,15
BTS,2026-09-24,2.0,-0.99,26483098,41.2,2.03,2.06,HOLD,2026-09-02,17
BA,2026-09-24,19.5,-1.02,4820515,58.5,18.93,18.96,HOLD,2026-09-18,5
PR9,2026-09-24,19.3,-1.03,1192339,53.6,19.31,18.61,HOLD,2026-09-18,5
AEONTS,2026-09-24,95.5,-1.04,567746,33.1,97.84,101.64,HOLD,2026-08-28,20
CENTEL,2026-09-24,44.0,-1.12,2219653,58.9,43.3,41.27,HOLD,2026-09-10,11
