Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
IRPC,2026-09-21,2.94,7.3,179767235,60.3,2.81,2.48,HOLD,2026-09-01,15
TOP,2026-09-21,69.0,5.75,39393625,61.0,64.76,64.02,BUY,2026-09-21,1
RCL,2026-09-21,49.0,4.81,11222358,75.4,43.31,39.45,HOLD,2026-08-11,30
TU,2026-09-21,13.3,4.72,65085961,58.0,12.87,12.73,BUY,2026-09-21,1
HANA,2026-09-21,50.0,4.71,28967141,60.9,47.3,42.48,HOLD,2026-09-14,6
SJWD,2026-09-21,10.2,4.62,6452450,65.1,9.5,9.59,HOLD,2026-09-17,3
GUNKUL,2026-09-21,5.2,4.0,113026312,56.9,5.06,5.09,HOLD,2026-09-17,3
KCE,2026-09-21,67.25,3.46,16980605,73.9,60.06,51.35,HOLD,2026-08-06,33
BAM,2026-09-21,6.9,2.99,37982371,67.9,6.49,6.66,HOLD,2026-08-25,20
BGRIM,2026-09-21,19.1,2.69,30135470,49.7,19.57,19.09,HOLD,2026-09-10,8
SCB,2026-09-21,156.5,2.62,38779053,67.9,151.32,152.65,HOLD,2026-09-01,15
JMART,2026-09-21,10.1,2.54,5234005,44.6,10.32,10.86,HOLD,2026-09-08,10
DELTA,2026-09-21,247.0,2.49,23754443,43.8,252.1,269.06,HOLD,2026-09-17,3
OR,2026-09-21,12.6,2.44,16556064,54.1,12.52,12.61,HOLD,2026-09-11,7
AAV,2026-09-21,0.87,2.35,135713125,25.7,0.99,1.03,HOLD,2026-08-20,23
BCPG,2026-09-21,6.75,2.27,9067261,37.0,7.17,7.19,HOLD,2026-09-17,3
BEM,2026-09-21,6.95,2.21,45290833,56.0,6.8,6.83,HOLD,2026-09-21,1
VGI,2026-09-21,0.99,2.06,36878869,47.9,1.0,1.01,HOLD,2026-09-17,3
KBANK,2026-09-21,258.0,1.98,21947821,66.5,249.55,246.1,HOLD,2026-09-21,1
CHG,2026-09-21,1.6,1.91,45944609,56.1,1.55,1.57,HOLD,2026-09-10,8
BCP,2026-09-21,54.0,1.89,30436816,50.9,56.16,49.82,HOLD,2026-07-15,49
COCOCO,2026-09-21,5.65,1.8,323162,45.0,5.73,5.87,HOLD,2026-09-10,8
PLANB,2026-09-21,6.1,1.67,15668592,49.4,6.23,6.07,HOLD,2026-07-06,56
GULF,2026-09-21,62.25,1.63,31578663,48.4,62.08,64.12,HOLD,2026-09-04,12
EGCO,2026-09-21,131.0,1.55,1883237,52.4,130.8,131.48,HOLD,2026-09-16,4
SNNP,2026-09-21,6.7,1.52,344173,45.9,6.7,6.9,HOLD,2026-09-21,1
BANPU,2026-09-21,14.8,1.37,8404327,82.3,12.86,11.96,HOLD,2026-07-24,14
JAS,2026-09-21,0.8,1.27,13296116,20.9,0.88,0.99,HOLD,2026-07-15,49
AOT,2026-09-21,62.0,1.22,10827592,46.1,62.71,63.56,HOLD,2026-09-17,3
CENTEL,2026-09-21,43.5,1.16,1055353,57.8,43.02,40.81,HOLD,2026-09-10,8
CK,2026-09-21,17.8,1.14,5380302,45.7,18.02,18.32,HOLD,2026-09-01,15
SCC,2026-09-21,268.0,1.13,2343993,59.8,260.85,257.5,BUY,2026-09-21,1
KTB,2026-09-21,45.5,1.11,85826945,67.2,43.98,43.64,HOLD,2026-09-16,4
BA,2026-09-21,19.3,1.05,7861029,57.4,18.89,18.89,HOLD,2026-09-18,2
PTTGC,2026-09-21,48.0,1.05,20942315,60.6,46.45,41.49,HOLD,2026-08-19,24
BBL,2026-09-21,195.5,1.03,19950865,61.5,191.93,192.65,HOLD,2026-09-10,8
BTS,2026-09-21,2.02,1.0,18644559,43.8,2.04,2.08,HOLD,2026-09-02,14
JMT,2026-09-21,10.7,0.94,4828153,44.3,10.71,11.47,HOLD,2026-08-27,18
SAWAD,2026-09-21,22.9,0.88,11155020,46.4,23.02,24.01,HOLD,2026-09-01,15
IVL,2026-09-21,29.25,0.86,17879135,70.8,26.48,24.34,HOLD,2026-09-10,8
MTC,2026-09-21,29.75,0.85,8545130,35.8,30.35,32.38,HOLD,2026-09-03,13
COM7,2026-09-21,30.5,0.83,9704410,58.2,29.36,29.77,HOLD,2026-09-10,8
TRUE,2026-09-21,12.7,0.79,134893323,40.1,12.94,13.4,HOLD,2026-09-17,3
QH,2026-09-21,1.37,0.74,13470711,33.3,1.4,1.42,HOLD,2026-09-15,5
ITC,2026-09-21,16.8,0.6,6317034,45.7,17.14,17.14,HOLD,2026-08-25,20
TCAP,2026-09-21,84.5,0.6,2098768,55.7,83.72,81.85,HOLD,2026-06-18,68
ADVANC,2026-09-21,346.0,0.58,4342544,41.2,351.5,364.44,HOLD,2026-09-21,1
CCET,2026-09-21,8.9,0.56,44860596,46.5,9.18,8.86,HOLD,2026-09-03,13
SKY,2026-09-21,18.0,0.56,1075184,55.0,17.53,17.8,HOLD,2026-09-17,3
TIDLOR,2026-09-21,17.9,0.56,15658595,36.9,18.69,19.07,HOLD,2026-09-11,7
ERW,2026-09-21,3.72,0.54,9125785,51.8,3.74,3.57,HOLD,2026-09-11,7
PRM,2026-09-21,9.6,0.52,5707276,43.1,9.78,9.82,HOLD,2026-09-18,2
AEONTS,2026-09-21,97.75,0.51,277184,41.5,98.69,102.42,HOLD,2026-08-28,17
BTG,2026-09-21,21.1,0.48,2385361,54.0,20.88,20.95,HOLD,2026-09-17,3
MINT,2026-09-21,21.6,0.47,22545344,38.0,21.99,22.67,HOLD,2026-09-14,6
TISCO,2026-09-21,128.0,0.39,2529003,60.4,126.17,127.37,HOLD,2026-09-09,9
ROJNA,2026-09-21,5.75,0.0,1633930,45.3,5.78,5.97,HOLD,2026-09-08,10
TLI,2026-09-21,11.5,0.0,11149636,54.5,11.3,11.49,HOLD,2026-08-26,19
STGT,2026-09-21,10.6,0.0,2311912,44.5,10.82,10.76,HOLD,2026-09-11,7
SPRC,2026-09-21,14.2,0.0,35011115,67.5,13.32,11.75,HOLD,2026-06-29,61
GPSC,2026-09-21,48.25,0.0,10621760,39.4,50.5,51.13,HOLD,2026-09-10,8
GLOBAL,2026-09-21,6.55,0.0,4530386,38.4,6.72,7.14,HOLD,2026-09-04,12
AWC,2026-09-21,3.04,0.0,36426875,53.1,3.04,2.97,HOLD,2026-07-28,40
BDMS,2026-09-21,19.9,0.0,25231192,50.1,19.97,19.68,HOLD,2026-09-04,12
CBG,2026-09-21,55.75,0.0,3502928,59.3,54.26,53.23,BUY,2026-09-21,1
DOHOME,2026-09-21,3.46,0.0,3806788,38.9,3.53,3.75,HOLD,2026-09-17,3
AMATA,2026-09-21,33.25,0.0,4226504,59.6,32.36,30.27,HOLD,2026-09-04,12
TASCO,2026-09-21,17.0,0.0,4567678,53.2,17.2,15.89,HOLD,2026-07-17,47
LH,2026-09-21,3.6,0.0,25240272,36.1,3.65,3.71,SELL,2026-09-21,1
PTTEP,2026-09-21,150.0,0.0,7404964,48.3,150.75,149.36,HOLD,2026-09-09,9
OSP,2026-09-21,16.1,0.0,10139808,38.0,16.42,17.08,HOLD,2026-09-01,15
EA,2026-09-21,2.88,0.0,39463954,46.1,2.89,2.94,HOLD,2026-09-01,15
MEGA,2026-09-21,35.75,0.0,692753,44.1,35.84,37.09,HOLD,2026-09-02,14
M,2026-09-21,21.2,0.0,586679,48.5,21.19,21.4,HOLD,2026-09-15,5
CPN,2026-09-21,64.0,-0.39,6432569,43.1,64.75,66.15,HOLD,2026-09-02,14
WHA,2026-09-21,4.74,-0.42,63980020,46.0,4.77,4.93,HOLD,2026-09-15,5
KKP,2026-09-21,117.5,-0.42,6269558,56.0,116.55,113.92,HOLD,2026-08-27,18
CPALL,2026-09-21,44.75,-0.56,10381194,33.3,45.79,46.73,HOLD,2026-09-04,12
PTT,2026-09-21,42.0,-0.59,27782462,60.8,41.55,40.17,HOLD,2026-08-17,26
SPALI,2026-09-21,16.1,-0.62,2488763,49.4,16.09,16.1,SELL,2026-09-21,1
TTB,2026-09-21,3.14,-0.63,646468407,65.6,2.99,2.97,HOLD,2026-09-15,5
AP,2026-09-21,7.95,-0.63,6826198,41.4,8.09,8.11,SELL,2026-09-21,1
KTC,2026-09-21,37.0,-0.67,11573250,47.8,37.11,37.91,HOLD,2026-09-08,10
SIRI,2026-09-21,1.46,-0.68,13037119,44.7,1.47,1.49,HOLD,2026-09-09,9
ICHI,2026-09-21,13.7,-0.72,4880161,40.7,13.9,14.44,HOLD,2026-09-04,12
BH,2026-09-21,196.5,-0.76,1586783,52.3,196.47,191.71,HOLD,2026-09-17,3
SAPPE,2026-09-21,32.25,-0.77,102662,37.7,33.86,33.94,HOLD,2026-09-21,1
BLA,2026-09-21,24.3,-0.82,1515095,47.2,24.29,25.06,HOLD,2026-08-31,16
