Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
PTTGC,2026-09-22,49.5,3.12,25318731,64.7,46.88,41.8,HOLD,2026-08-19,25
COM7,2026-09-22,31.25,2.46,21306511,62.9,29.48,29.8,HOLD,2026-09-10,9
CENTEL,2026-09-22,44.5,2.3,2876151,63.4,43.12,40.98,HOLD,2026-09-10,9
DELTA,2026-09-22,252.0,2.02,33273036,47.1,252.2,267.88,HOLD,2026-09-17,4
HANA,2026-09-22,51.0,2.0,45216023,63.1,47.56,42.73,HOLD,2026-09-14,7
MINT,2026-09-22,22.0,1.85,26566517,47.6,21.96,22.65,HOLD,2026-09-14,7
BJC,2026-09-22,18.0,1.69,10849681,66.8,16.65,16.15,HOLD,2026-09-07,12
PLANB,2026-09-22,6.2,1.64,13132136,52.7,6.22,6.08,HOLD,2026-07-06,57
BGRIM,2026-09-22,19.4,1.57,56459112,52.2,19.61,19.1,HOLD,2026-09-10,9
BA,2026-09-22,19.6,1.55,11635605,61.2,18.92,18.92,HOLD,2026-09-18,3
ADVANC,2026-09-22,351.0,1.45,5145523,46.6,351.0,363.82,HOLD,2026-09-21,2
AWC,2026-09-22,3.08,1.32,38297135,56.8,3.04,2.98,HOLD,2026-07-28,41
JAS,2026-09-22,0.81,1.25,11407017,25.1,0.87,0.99,HOLD,2026-07-15,50
ERW,2026-09-22,3.76,1.08,12934770,54.5,3.74,3.58,HOLD,2026-09-11,8
GPSC,2026-09-22,48.75,1.04,17319266,43.1,50.34,51.12,HOLD,2026-09-10,9
BBL,2026-09-22,197.5,1.02,16036770,65.8,192.2,192.66,HOLD,2026-09-10,9
SCB,2026-09-22,158.0,0.96,27912966,71.0,151.55,152.67,SELL,2026-09-22,1
BCH,2026-09-22,11.2,0.9,7525402,53.4,11.08,10.91,HOLD,2026-09-18,3
WHA,2026-09-22,4.78,0.84,113183789,49.0,4.76,4.91,HOLD,2026-09-15,6
HMPRO,2026-09-22,6.25,0.81,6116950,44.5,6.32,6.49,HOLD,2026-09-04,13
TRUE,2026-09-22,12.8,0.79,61689070,43.6,12.91,13.38,HOLD,2026-09-17,4
TISCO,2026-09-22,129.0,0.78,2350889,64.5,126.33,127.46,HOLD,2026-09-09,10
AMATA,2026-09-22,33.5,0.75,5300618,60.9,32.52,30.38,HOLD,2026-09-04,13
TU,2026-09-22,13.4,0.75,23604505,59.4,12.89,12.76,HOLD,2026-09-22,1
QH,2026-09-22,1.38,0.73,9033006,39.1,1.4,1.42,HOLD,2026-09-15,6
MOSHI,2026-09-22,35.5,0.71,257763,32.9,37.36,39.16,HOLD,2026-09-07,12
MEGA,2026-09-22,36.0,0.7,883660,47.2,35.79,37.05,HOLD,2026-09-02,15
BANPU,2026-09-22,14.7,0.68,6074330,81.7,12.86,11.96,HOLD,2026-07-24,14
KTC,2026-09-22,37.25,0.68,9320487,50.9,37.12,37.91,HOLD,2026-09-08,11
RATCH,2026-09-22,38.25,0.66,6523697,54.3,37.88,38.05,HOLD,2026-09-15,6
ITC,2026-09-22,16.9,0.6,13685890,47.4,17.1,17.15,SELL,2026-09-22,1
CCET,2026-09-22,8.95,0.56,37354240,47.8,9.19,8.86,HOLD,2026-09-03,14
LH,2026-09-22,3.62,0.56,21559355,41.4,3.64,3.71,HOLD,2026-09-22,1
PRM,2026-09-22,9.65,0.52,4751624,45.1,9.77,9.83,HOLD,2026-09-18,3
BH,2026-09-22,197.5,0.51,2119207,54.1,196.15,192.0,HOLD,2026-09-17,4
BCP,2026-09-22,54.25,0.46,20671298,51.8,56.39,50.16,HOLD,2026-07-15,50
AOT,2026-09-22,62.25,0.4,27386171,47.5,62.51,63.55,HOLD,2026-09-17,4
AEONTS,2026-09-22,98.0,0.26,188068,43.1,98.49,102.19,HOLD,2026-08-28,18
TASCO,2026-09-22,17.0,0.0,4118468,53.2,17.21,15.95,HOLD,2026-07-17,48
STGT,2026-09-22,10.6,0.0,1260114,44.4,10.82,10.76,HOLD,2026-09-11,8
TLI,2026-09-22,11.5,0.0,8929217,54.5,11.31,11.49,HOLD,2026-08-26,20
TIDLOR,2026-09-22,17.9,0.0,11653860,36.9,18.6,19.05,HOLD,2026-09-11,8
SISB,2026-09-22,8.95,0.0,1510714,33.6,9.14,9.48,HOLD,2026-09-01,16
SCGP,2026-09-22,30.75,0.0,4884293,55.9,30.01,30.1,HOLD,2026-09-09,10
PR9,2026-09-22,19.3,0.0,2516338,54.4,19.23,18.55,HOLD,2026-09-18,3
MTC,2026-09-22,29.75,0.0,7088014,35.8,30.25,32.34,HOLD,2026-09-03,14
CKP,2026-09-22,2.42,0.0,2901362,46.6,2.44,2.51,HOLD,2026-09-02,15
CBG,2026-09-22,55.75,0.0,4082017,59.3,54.25,53.27,HOLD,2026-09-22,1
BDMS,2026-09-22,19.9,0.0,28285573,50.1,19.98,19.7,HOLD,2026-09-04,13
CHG,2026-09-22,1.6,0.0,44175900,56.1,1.55,1.57,HOLD,2026-09-10,9
COCOCO,2026-09-22,5.65,0.0,217534,45.0,5.72,5.87,HOLD,2026-09-10,9
CK,2026-09-22,17.8,0.0,4375091,45.7,17.98,18.3,HOLD,2026-09-01,16
BAM,2026-09-22,6.9,0.0,41924110,67.9,6.52,6.66,HOLD,2026-08-25,21
BCPG,2026-09-22,6.75,0.0,7910637,37.0,7.15,7.18,HOLD,2026-09-17,4
DOHOME,2026-09-22,3.46,0.0,4243051,38.9,3.52,3.74,HOLD,2026-09-17,4
PTT,2026-09-22,42.0,0.0,65683576,60.9,41.62,40.24,HOLD,2026-08-17,27
SCC,2026-09-22,268.0,0.0,5637658,59.8,262.0,257.86,HOLD,2026-09-22,1
OSP,2026-09-22,16.1,0.0,14564067,38.0,16.35,17.06,HOLD,2026-09-01,16
ICHI,2026-09-22,13.7,0.0,3212577,40.7,13.85,14.43,HOLD,2026-09-04,13
GULF,2026-09-22,62.25,0.0,29249577,48.4,62.02,64.1,HOLD,2026-09-04,13
SNNP,2026-09-22,6.7,0.0,645538,45.9,6.7,6.89,HOLD,2026-09-21,2
SAPPE,2026-09-22,32.25,0.0,117525,37.7,33.71,33.93,HOLD,2026-09-21,2
ROJNA,2026-09-22,5.75,0.0,532284,45.3,5.77,5.97,HOLD,2026-09-08,11
TOP,2026-09-22,68.75,-0.36,23529061,60.2,65.19,64.37,HOLD,2026-09-22,1
KCE,2026-09-22,67.0,-0.37,17132357,73.0,60.65,51.79,HOLD,2026-08-06,34
CPN,2026-09-22,63.75,-0.39,10493989,41.6,64.66,66.09,HOLD,2026-09-02,15
KBANK,2026-09-22,257.0,-0.39,9469411,64.2,249.75,246.62,HOLD,2026-09-21,2
SAWAD,2026-09-22,22.8,-0.44,12001557,45.2,22.97,23.97,HOLD,2026-09-01,16
M,2026-09-22,21.1,-0.47,497614,46.0,21.16,21.39,HOLD,2026-09-15,6
STA,2026-09-22,21.2,-0.47,5957338,51.5,21.77,20.04,HOLD,2026-08-20,24
AP,2026-09-22,7.9,-0.63,8031673,38.9,8.08,8.12,HOLD,2026-09-22,1
PTTEP,2026-09-22,149.0,-0.67,13941993,45.4,150.82,149.46,HOLD,2026-09-09,10
BEM,2026-09-22,6.9,-0.72,20542108,53.9,6.79,6.85,HOLD,2026-09-21,2
EGCO,2026-09-22,130.0,-0.76,933939,49.7,130.72,131.57,HOLD,2026-09-16,5
OR,2026-09-22,12.5,-0.79,11208402,50.3,12.51,12.6,HOLD,2026-09-11,8
BLA,2026-09-22,24.1,-0.82,1784923,44.5,24.25,25.01,HOLD,2026-08-31,17
IVL,2026-09-22,29.0,-0.85,16753598,68.4,26.84,24.45,HOLD,2026-09-10,9
