Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
BAM,2026-09-10,6.7,5.51,63277766,61.2,6.42,6.69,HOLD,2026-08-25,13
BANPU,2026-09-10,15.3,4.79,17118411,84.6,12.89,11.97,HOLD,2026-07-24,14
SCGP,2026-09-10,31.0,4.2,22913297,61.5,29.59,29.77,HOLD,2026-09-09,2
KCE,2026-09-10,58.5,4.0,32624450,65.1,55.99,47.79,HOLD,2026-08-06,26
TLI,2026-09-10,11.4,3.64,39837607,52.3,11.27,11.55,HOLD,2026-08-26,12
HANA,2026-09-10,48.0,2.67,23035281,64.0,46.3,40.7,HOLD,2026-08-18,18
BLA,2026-09-10,24.3,2.53,3330702,47.5,24.35,25.36,HOLD,2026-08-31,9
TTB,2026-09-10,2.96,2.07,680420052,53.0,2.93,2.91,HOLD,2026-06-15,64
BDMS,2026-09-10,20.2,2.02,71669804,57.0,19.83,19.63,HOLD,2026-09-04,5
CHG,2026-09-10,1.57,1.95,36930560,51.9,1.55,1.58,HOLD,2026-09-10,1
STGT,2026-09-10,11.1,1.83,4248699,56.3,10.92,10.74,BUY,2026-09-10,1
KTB,2026-09-10,44.0,1.73,88470910,55.6,43.7,42.99,HOLD,2026-06-17,62
MEGA,2026-09-10,35.75,1.42,744041,43.8,36.23,37.28,HOLD,2026-09-02,7
BJC,2026-09-10,16.7,1.21,7457721,58.6,16.2,15.74,HOLD,2026-09-07,4
PR9,2026-09-10,19.5,1.04,3515496,65.1,18.77,18.26,HOLD,2026-08-21,15
AAV,2026-09-10,1.01,1.0,24722039,37.2,1.03,1.05,HOLD,2026-08-20,16
BCH,2026-09-10,11.0,0.92,6702162,51.3,11.1,10.72,HOLD,2026-08-21,15
BH,2026-09-10,198.0,0.76,2240247,56.9,196.22,190.38,HOLD,2026-08-03,29
SPALI,2026-09-10,16.2,0.62,2370151,51.7,16.27,16.08,HOLD,2026-08-14,20
TCAP,2026-09-10,83.0,0.61,3793561,49.1,85.15,80.2,HOLD,2026-06-18,61
RCL,2026-09-10,43.0,0.58,7516333,59.7,43.17,37.8,HOLD,2026-08-11,23
LH,2026-09-10,3.64,0.55,11101362,40.1,3.66,3.73,HOLD,2026-09-10,1
ERW,2026-09-10,3.86,0.52,27238833,64.5,3.73,3.47,BUY,2026-09-10,1
SAWAD,2026-09-10,22.7,0.44,6077657,39.0,23.4,24.24,HOLD,2026-09-01,8
KBANK,2026-09-10,245.0,0.41,12588747,46.6,249.35,243.18,HOLD,2026-06-17,62
SCB,2026-09-10,149.0,0.34,14230687,38.7,151.35,153.05,HOLD,2026-09-01,8
PTTEP,2026-09-10,155.0,0.32,20189664,66.3,149.32,147.21,HOLD,2026-09-09,2
ADVANC,2026-09-10,355.0,0.28,6540924,45.5,357.2,368.14,HOLD,2026-08-27,11
BCP,2026-09-10,58.0,0.0,27256483,67.5,54.0,47.15,HOLD,2026-07-15,42
BBL,2026-09-10,190.0,0.0,7553894,45.3,191.05,192.88,HOLD,2026-09-10,1
BA,2026-09-10,18.4,0.0,6935011,41.2,19.1,18.87,HOLD,2026-08-04,28
AP,2026-09-10,8.15,0.0,6738942,52.1,8.17,8.05,HOLD,2026-07-14,43
DOHOME,2026-09-10,3.5,0.0,5297041,36.3,3.62,3.79,HOLD,2026-09-02,7
CPALL,2026-09-10,46.0,0.0,21439220,43.0,46.35,47.05,HOLD,2026-09-04,5
CPN,2026-09-10,64.5,0.0,9014508,42.0,65.44,66.58,HOLD,2026-09-02,7
CPF,2026-09-10,23.7,0.0,15206109,61.2,23.33,22.51,HOLD,2026-07-02,51
